term_id,sense_id,sense_label,definition,review_status,gap_interpretation
T09,T09-S1,irreducible_ideal,An ideal that cannot be written as the intersection of two ideals both strictly larger than it.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T11,T11-S1,relatively_prime_elements,Elements whose greatest common divisor is a unit.,contiguous_T01_T60_review_complete_zero_raw_hit,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T11,T11-S2,comaximal_generated_ideals,Elements whose generated ideals sum to the unit ideal.,contiguous_T01_T60_review_complete_zero_raw_hit,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T14,T14-S2,ideal_product,The ideal generated by products of elements from the factor ideals.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T15,T15-S3,factor_system,A cocycle/factor-system object in the later R823 chapters.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T17,T17-S2,reciprocal_representation,A multiplication-reversing representation in the historical R823 terminology.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T17,T17-S3,representation_image,The image ring/object produced by a representation; not the map itself.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T22,T22-S2,historical_ideal_basis,"A finite ideal generating system in historical usage, not necessarily a free-module basis.",contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T25,T25-S2,scalar_extension,Change of coefficient ring/field by tensor or direct-product construction.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T26,T26-S1,galois_extension,A normal separable field extension.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T31,T31-S2,reduced_norm,The reduced-norm invariant of a central simple algebra.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T31,T31-S3,reduced_degree,The historical reduced-degree invariant in the R823 corpus.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T33,T33-S1,direct_complement,A subobject completing another to a direct sum.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T33,T33-S3,orthogonal_complement,Vectors orthogonal to a given subspace under a form.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T35,T35-S3,geometric_congruence,Equality of geometric shape and size; explicitly excluded from algebraic evidence.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T37,T37-S2,ideal_power,An iterated ideal product.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T44,T44-S2,test_or_trial,The ordinary test/trial sense of prueba/prova; excluded from proof evidence.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T51,T51-S4,coefficient_domain_linkage,Historical coefficient-domain wording whose algebraic type must resolve to coefficient ring or coefficient field and links to T52.,contiguous_T01_T60_review_complete_zero_accepted_support,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
T52,T52-S1,coefficient_ring,The ring from which coefficients are taken.,contiguous_T01_T60_review_complete_zero_raw_hit,zero accepted support in the internal v11 evidence boundary; not evidence of absence from the language and not a human-access result
