"ledger_kind","origin","row_key","lane_scope","label_or_decision","followup_decision"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
"source_use_adverse","outputs/R6_212DF_BRANCH_VISIBLE_LIVE_RETRY_RECOVERY_CONTINUATION_20260706/fable/R6_212DF_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER.csv","","mixed_or_unspecified","source-use/adverse-evidence row","retain adverse/source-use caution; no authority widening"
