"manifest_id","relative_path","bytes","sha256","media_type","release_role","scope","status","caveat"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-001","AUTHORITY_SCOPE_AND_RIGHTS.md","1114","DE9287A65CBB43BAA0550D9DCE5559A7C20A7C18A45171ED009F641CCB1DD410","text/markdown","archive_custody_control","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-002","HANDOFF_IDENTITY.json","1335","131BA76605A5CE85DB0C455CD52796D29EB4A19CE95C6B6A31079F63F4EED3E9","application/json","archive_custody_control","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-003","independent_review/INDEPENDENT_EVIDENCE_VALIDATION.json","992","2B8892F1102F060E3252B04CF2ECDC74F18019FF0BB6BADC6EBAA55F4549897E","application/json","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-004","independent_review/INDEPENDENT_EVIDENCE.csv","14356","28BF8F3A6C66E68A075C7D1BCA997376D3C50E650F83BAD53FEE0371317F59B4","text/csv","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-005","independent_review/INDEPENDENT_EVIDENCE.jsonl","37633","A33F6EE70C45AC4A7DD87ED3489143FF92B98FA136B5A613CCF5757EDC3DF864","application/x-ndjson","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-006","independent_review/INDEPENDENT_FINAL_AUDIT.md","2698","C07B84088B595A42C6C57557A0C309B10BDDC61AAF29AB85D9A1BFB73A8CC7AF","text/markdown","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-007","independent_review/INDEPENDENT_RENDERED_VISUAL_QA.md","2024","B54BB7B56E83C8BCEC551A407355F084353125D8AE9DBA3F0C5F7B857C556729","text/markdown","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-008","independent_review/INDEPENDENT_RIGHTS_AND_RELEASE_VALIDATION.json","247","4A9BC67B0C5444E7343F44D31555C3EC8F6056BCF60376D9250BCA4D6C691F34","application/json","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-009","independent_review/INDEPENDENT_RIGHTS_AND_RELEASE.csv","1749","AA40E4E063D166B9D43A8FE72C413BE43C94244779FC47630AB669CC107EE091","text/csv","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-010","independent_review/INDEPENDENT_VALIDATION.json","4709","BC201975D77BDD1BE7ACE8C8E83BB4885555164E4359BAFB1F39E01A21F93960","application/json","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-011","independent_review/REVIEW_PRIVACY_SCAN_VALIDATION.json","474","5609AC3DAC5899C777F97B1660E664188DDC676420277D97AE107954AD23D898","application/json","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-012","independent_review/REVIEW_PRIVACY_SCAN.csv","229","A605186A6005D04457A5F79F7C98B34207DEBCA6B4A8BBEB0911ED0E5462B455","text/csv","independent_review_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
"SGA2-X-L39P-PUBLIC-20260722-0001-MAN-013","producer/DETERMINISTIC_REPLAY_VALIDATION.json","3071","3E5B93AD8E9E578A4E9A567EBA0701F24F24FCEBD9BE5E2619C05384D96FCAFF","application/json","producer_evidence","French lines 3555-3566","exact_rights_curated_public","bounded_working_translation_not_complete_expose_or_volume"
