"category","item_id","status","topic_or_scope","evidence_note","non_claim_boundary"
"control","AGENTS.md","observed","repo control","sha256=EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control",".github/copilot-instructions.md","observed","repo control","sha256=CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"git_frontier","safe_checkout","observed","repo frontier","HEAD=42c5c93e477685d109049f1156486e12aefa0d1c; upstream=42c5c93e477685d109049f1156486e12aefa0d1c; status=## codex/noether-pc-20260629...origin/codex/noether-pc-20260629","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"register","normalized_register","audited","R2 register","rows=61; row_audit_pass=61; consistency_attention=0","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","","observed","source_url domain","rows=8","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","cyberleninka.ru","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","daramet.tm.kg","observed","source_url domain","rows=2","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","edu.gov.kg","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","edu.tatar.ru","observed","source_url domain","rows=2","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","ft.antat.ru","observed","source_url domain","rows=5","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","kesgitle.edu.tm","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","kitaphana.net","observed","source_url domain","rows=2","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","kpfu.ru","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","ky.wikipedia.org","observed","source_url domain","rows=2","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","mpht-oshsu.com","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","new.bizdin.kg","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","pubhtml5.com","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","tamgasoft.kg","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","tarim68.blogbus.com","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","test-edu.tatar.ru","observed","source_url domain","rows=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","tt.wikipedia.org","observed","source_url domain","rows=3","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","wiki.uygur.com","observed","source_url domain","rows=13","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","www.ewlat.biz","observed","source_url domain","rows=4","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","www.kitaphana.net","observed","source_url domain","rows=6","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","www.okuma.kg","observed","source_url domain","rows=2","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"domain_count","www.scribd.com","observed","source_url domain","rows=2","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"license_bucket_count","cc_by_sa_signal","observed","license/access signal bucket","rows=4","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"license_bucket_count","copyright_signal","observed","license/access signal bucket","rows=18","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"license_bucket_count","creative_commons_signal","observed","license/access signal bucket","rows=2","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"license_bucket_count","other_access_signal","observed","license/access signal bucket","rows=37","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"evidence_tier_consistency","consistent","observed","evidence tier vs flag consistency","rows=61","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"duplicate_url_status","duplicate_url_group","observed","source_url duplicate status","rows=22","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"duplicate_url_status","unique_url","observed","source_url duplicate status","rows=39","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
