"lane","witness_or_route_id","target_language_or_access_target","source_title_or_route","source_owner_or_site","topic_language_access_tags","evidence_tier","source_type","source_url","local_source_body_path","source_body_bytes","source_body_sha256","probe_metadata_path","probe_metadata_bytes","probe_metadata_sha256","related_gap_ids","license_or_access_signal","ethics_authority_notes","gap_or_blocker_note","non_claim_boundary"
"Session I / R6 Indigenous, Creole, and Sign Access","DGS-SAR-001","DGS / German Sign Language access route","Sign2MINT app shell plus runtime/polyfills/main/styles assets","Sign2MINT / OpenMINT route metadata","DGS; signed-language access; MINT/STEM; mathematics route metadata; no media reuse; no accepted signs","T2 captured app/source route; T3 API route metadata; T4 DGS reviewer/source-owner return and T5 media/reuse missing","captured_dynamic_shell_and_assets","https://sign2mint.de/page/about","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T193000Z_r6_dgs_dynamic_resolver_capture\dgs_dynamic_resolver_capture_metadata_20260701T193000Z.json","21388","8beefe5d7d933ed5349ae29b2ab2f9e2d1bb789f6da361ff32676701631c3dce","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003; R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","public route or headers-only access signal recorded; media/reuse clearance not recorded; API/CDN route access restrictions remain blockers where observed","Signed-language qualified reviewer/source-owner route required; sign authority is separate from text labels, API metadata, video URL existence, and media permission","no accepted DGS sign, copied video/media, SWU promotion, translation, constructed surface, or pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","DGS-SAR-002","DGS / German Sign Language access route","Sign2MINT sign-count category cache","Sign2MINT / OpenMINT route metadata","DGS; signed-language access; MINT/STEM; mathematics route metadata; no media reuse; no accepted signs","T2 captured JSON route; category metadata only; reviewer/source-owner return missing","sign2mint_count_cache","https://sign2mint-searchcache.s3.eu-central-1.amazonaws.com/signCount.json","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T193000Z_r6_dgs_dynamic_resolver_capture\captures\sign2mint_signCount_20260701T193000Z.json","143","9500c8dd766e35734f7e768adfa7d87e5a74c4da8c377de405ed0bee6168a9dc","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003; R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","public route or headers-only access signal recorded; media/reuse clearance not recorded; API/CDN route access restrictions remain blockers where observed","Signed-language qualified reviewer/source-owner route required; sign authority is separate from text labels, API metadata, video URL existence, and media permission","no category row becomes an accepted sign source; no media copy, translation, surface, or pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","DGS-SAR-003","DGS / German Sign Language access route","Sign2MINT signSearch targeted math/statistics probe set","Sign2MINT / OpenMINT route metadata","DGS; signed-language access; MINT/STEM; mathematics route metadata; no media reuse; no accepted signs","T2 captured API summary; term metadata only; no video/sign acceptance","sign2mint_api_sign_search_probe_set","https://api.sign2mint.de/dictionaryService/v1/signSearch","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T193000Z_r6_dgs_dynamic_resolver_capture\dgs_sign2mint_api_probe_summary_20260701T193000Z.json","10366","82e9f703689a0eb1dcec80d6f270749cad50d24efea301c027591272c10cf519","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003; R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","public route or headers-only access signal recorded; media/reuse clearance not recorded; API/CDN route access restrictions remain blockers where observed","Signed-language qualified reviewer/source-owner route required; sign authority is separate from text labels, API metadata, video URL existence, and media permission","no accepted sign, no copied API prose/media, no SWU/signwriting promotion, no translation, no constructed surface, no pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","DGS-SAR-004","DGS / German Sign Language access route","Sign2MINT dictionaryEntry selected detail probe set","Sign2MINT / OpenMINT route metadata","DGS; signed-language access; MINT/STEM; mathematics route metadata; no media reuse; no accepted signs","T2 captured API summary; video metadata present; DGS reviewer and media/reuse gates missing","sign2mint_dictionary_entry_probe_set","https://api.sign2mint.de/dictionaryService/v1/dictionaryEntry","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T193000Z_r6_dgs_dynamic_resolver_capture\dgs_sign2mint_dictionary_entry_probe_summary_20260701T193000Z.json","11262","69e607de10d1cd5e7996594900e8924f35bb4e6f019c2906b391e2175b057926","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003; R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","public route or headers-only access signal recorded; media/reuse clearance not recorded; API/CDN route access restrictions remain blockers where observed","Signed-language qualified reviewer/source-owner route required; sign authority is separate from text labels, API metadata, video URL existence, and media permission","no accepted sign, no copied video/thumbnail, no SWU promotion, no translation, no constructed surface, no pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","DGS-SAR-005","DGS / German Sign Language access route","Sign2MINT selected video/thumbnail route HEAD metadata","Sign2MINT / OpenMINT route metadata","DGS; signed-language access; MINT/STEM; mathematics route metadata; no media reuse; no accepted signs","T2 route metadata only; T5 media/reuse clearance missing","sign2mint_media_head_metadata","https://cdn.openmind-server.de/sign2mint/video/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T193000Z_r6_dgs_dynamic_resolver_capture\dgs_sign2mint_media_route_head_metadata_20260701T193000Z.json","8406","11ad6d5f12c39fb69a5c1d6e5cb8eb0002e66fae02f425a67de2c76a67fe8c07","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003; R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","public route or headers-only access signal recorded; media/reuse clearance not recorded; API/CDN route access restrictions remain blockers where observed","Signed-language qualified reviewer/source-owner route required; sign authority is separate from text labels, API metadata, video URL existence, and media permission","no copied video, no copied thumbnail, no stills, no accepted signs, no translation, no surface, no pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","DGS-SAR-006","DGS / German Sign Language access route","Fachgebaerdenlexikon specialist/vocational sign dictionary comparator","Fachgebaerdenlexikon","DGS; signed-language access; MINT/STEM; mathematics route metadata; no media reuse; no accepted signs","T2 captured comparator locator; DGS/STEM scope not established","dgs_specialist_dictionary_comparator","https://fachgebaerdenlexikon.de/de/home/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T181500Z_r6_signed_language_discovery_gap_pass2\captures\dgs_fachgebaerdenlexikon_home.html","34635","261169328c17c2d61d52c6f8e229e35413dc4e74b8ff222866c20e62390b79bc","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003; R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","public route or headers-only access signal recorded; media/reuse clearance not recorded; API/CDN route access restrictions remain blockers where observed","Signed-language qualified reviewer/source-owner route required; sign authority is separate from text labels, API metadata, video URL existence, and media permission","no STEM concept acceptance, no copied video/media, no translation, no surface, no pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","DGS-SAR-007","DGS / German Sign Language access route","University of Goettingen mathematics videos in DGS page","University of Goettingen","DGS; signed-language access; MINT/STEM; mathematics route metadata; no media reuse; no accepted signs","T2 captured video page; T5 media/reuse and DGS reviewer gates missing","goettingen_math_video_route","https://www.uni-goettingen.de/de/videos%2Bin%2Bdeutscher%2Bgeb%C3%A4rdensprache%2B%28dgs%29/693397.html","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T181500Z_r6_signed_language_discovery_gap_pass2\captures\dgs_goettingen_math_videos.html","41503","6691fe457130e30d62df5d35f45be5c992a9da252e2fc84a01b09b18d4ff1389","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003; R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","public route or headers-only access signal recorded; media/reuse clearance not recorded; API/CDN route access restrictions remain blockers where observed","Signed-language qualified reviewer/source-owner route required; sign authority is separate from text labels, API metadata, video URL existence, and media permission","no copied mp4, no derived still, no accepted sign, no translation, no surface, no pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","DGS-SAR-008","DGS / German Sign Language access route","University of Goettingen DGS math-video HEAD metadata","University of Goettingen","DGS; signed-language access; MINT/STEM; mathematics route metadata; no media reuse; no accepted signs","T2 route metadata only; media/reuse clearance missing","goettingen_video_head_metadata","https://studip.uni-goettingen.de/plugins.php/mediacastplugin/media/check/...","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T193000Z_r6_dgs_dynamic_resolver_capture\dgs_dynamic_resolver_capture_metadata_20260701T193000Z.json","21388","8beefe5d7d933ed5349ae29b2ab2f9e2d1bb789f6da361ff32676701631c3dce","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003; R6-URL-GAP-004; R6-URL-GAP-005; R6-URL-GAP-006","public route or headers-only access signal recorded; media/reuse clearance not recorded; API/CDN route access restrictions remain blockers where observed","Signed-language qualified reviewer/source-owner route required; sign authority is separate from text labels, API metadata, video URL existence, and media permission","no copied mp4, no derived still, no sign acceptance, no translation, no surface, no pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","R6-ASL-SAR-001","ASL / American Sign Language STEM access route","ASL-STEM home/category index","ASL-STEM / University of Washington route","ASL; signed-language access; STEM; mathematics-adjacent route metadata; video pointer; no media reuse; no accepted signs","T2 captured source route; T3 candidate scope; T4 reviewer and T5 media/reuse missing","asl_video_first_source_route_metadata","https://aslstem.cs.washington.edu/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\asl\aslstem_home.html","66240","58c115cae26182c4ed173c46c0482ca5cf9451a8eb468cf16bf047547ad49741","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003","public route or headers-only access signal recorded; video/media reuse clearance not recorded","ASL qualified reviewer/source-owner route required; English gloss and video route are metadata only until reviewer/source-owner and media gates are satisfied","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
"Session I / R6 Indigenous, Creole, and Sign Access","R6-ASL-SAR-002","ASL / American Sign Language STEM access route","ASL-CORE Physics: Equation","ASL-CORE route","ASL; signed-language access; STEM; mathematics-adjacent route metadata; video pointer; no media reuse; no accepted signs","T2 captured source and video route; T3 candidate video scope; T4 reviewer and T5 media/reuse missing","asl_video_first_source_route_metadata","https://aslcore.org/physics/entries/?id=equation","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\asl\aslcore_physics_equation.html","30155","a9fdc95f9ed5d4ac20a3d0d1e2290d3a548a3fb32455691f3809ffec9dceeccd","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\work\source_canon_retries_20260705\sign_access_dgs_asl\sign_access_dgs_asl_route_probe_results_20260705.json","9643","2de9ffa1385bec312e92d541ed0e0b463053ec3c23535d433d54bc9573289113","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003","public route or headers-only access signal recorded; video/media reuse clearance not recorded","ASL qualified reviewer/source-owner route required; English gloss and video route are metadata only until reviewer/source-owner and media gates are satisfied","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","support metadata and source-route provenance only; not an accepted sign, visual inventory, caption, transcript, screenshot, copied media, translation, source-authority row, license/media clearance, review claim, completion claim, or package payload instruction"
