"field","value","source","boundary"
"verified_current_frontier","516abae30cca69f3372944d9e320593d467bfa82","git fetch/show origin/codex/noether-pc-20260629","current live branch frontier"
"verified_current_subject","Add 2DE R3 Non-Slavic route context returns","git show 516abae3","B3 route-context package visibility only"
"intermediate_frontier","7748c119590f7f3937be5ed8aa5dfd3eca4ea7ed","git log aab4cc97..516abae3","intermediate package lineage"
"intermediate_subject","Add 32E OLP Persianate Tajik returns batch","git show 7748c119","B3 package visibility only"
"prior_olp_frontier","aab4cc97a4894c046ea9bb153f73210d8d0d2fa3","ACTIVE_SESSION_STATE and prior OLP packet set","prior OLP owner packet lineage"
"prior_olp_subject","Add R3 330 route provenance source-use gap","git show aab4cc97","prior OLP route package visibility"
"compare_aab4_to_7748_ahead_by","1","git rev-list --count aab4cc97..7748c119","route delta count only"
"compare_aab4_to_7748_changed_paths","100","git diff --name-only aab4cc97..7748c119","route delta count only"
"compare_7748_to_516_ahead_by","1","git rev-list --count 7748c119..516abae3","route delta count only"
"compare_7748_to_516_changed_paths","87","git diff --name-only 7748c119..516abae3","route delta count only"
"compare_aab4_to_516_ahead_by","2","git rev-list --count aab4cc97..516abae3","route delta count only"
"compare_aab4_to_516_changed_paths","187","git diff --name-only aab4cc97..516abae3","route delta count only"
"b3_post_aab4_32e_olp_persianate_tajik_returns","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_AAB4CC97_32E_OLP_PERSIANATE_TAJIK_RETURNS_BATCH_20260707","B3 outputs","B3 package/reference context only"
"b3_post_aab4_packaged_roots","4","B3 SUMMARY.json","B3 package visibility only"
"b3_post_aab4_package_files","83","B3 SUMMARY.json","B3 package visibility only"
"b3_post_aab4_manifest_bad","0","B3 SUMMARY.json","B3 verification only"
"b3_post_aab4_sha_bad","0","B3 SUMMARY.json","B3 verification only"
"b3_post_7748_2de_r3_nonslavic_route_context_returns","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_7748C119_2DE_R3_NONSLAVIC_ROUTE_CONTEXT_RETURNS_20260707","B3 outputs","B3 package/reference context only"
"b3_post_7748_packaged_roots","2","B3 SUMMARY.json","B3 package visibility only"
"b3_post_7748_package_files","70","B3 SUMMARY.json","B3 package visibility only"
"b3_post_7748_manifest_bad","0","B3 SUMMARY.json","B3 verification only"
"b3_post_7748_sha_bad","0","B3 SUMMARY.json","B3 verification only"
"b3_safety_hits","0","B3 SUMMARY.json","B3 safety context only"
"direct_source_body_evidence_changed","false","OLP 516 package generation and B3 handoff","no source-body promotion"
"source_body_promotions","0","OLP 516 route accounting","zero-claim boundary"
"real_reviewer_return_rows","0","OLP 516 review-boundary accounting","no direct reviewer/source return evidence changed"
"mapping_count_delta","0","OLP 516 packet validation","zero unless direct evidence changes"
"translation_count_delta","0","OLP 516 packet validation","zero unless direct evidence changes"
"approval_count_delta","0","OLP 516 packet validation","zero unless direct evidence changes"
"five_hour_reset_rule","after any five-hour pause or app/token/rate-limit reset, reread heartbeat/logbook/state, verify branch/frontier if possible, wake stale siblings, and continue from artifacts","current heartbeat/delegation rule","recovery procedure only"
"generated_utc","2026-07-07T18:20:20Z","local packet refresh","artifact timestamp only"
"packet_kind","source-use/Fable","OLP package role","lane support only"
"previous_package","OLP_AAB4CC97_SOURCE_USE_FABLE_2DE_ROUTE_20260707","local artifact lineage","prior context only"
