record_id,revision,status,locator,printed_pages,physical_pages,source_structure,print_reading,inherited_witness,check,english_disposition,notes
N04-S08-CMP-001,1,active,Theorem VIII R823 4273,146,29,general folding process generated by n-minus-one fundamental foldings,matching,matching,PASS,retain complete theorem statement,named result
N04-S08-CMP-002,1,active,three-part plan R823 4276-4280,146,29,three ordered generation stages with defects one lambda and lambda-minus-one,matching,matching,PASS,retain all three stages,structural control
N04-S08-CMP-003,1,active,formula 62 R823 4282-4290,147,30,two zero relations for normal forms S and T with paired lambda upper bounds,matching,matching but unexplained,PASS,retain or disclose explicit-minimum normalization,source ambiguity N04-S08-ISSUE-002
N04-S08-CMP-004,1,active,form-row display R823 4292-4295,147,30,product of all S and T row pairings from one through n-minus-one,matching,matching,PASS,retain all factors,unnumbered display
N04-S08-CMP-005,1,active,stage-one initial folding R823 4296-4299,147,30,q n-minus-tau-minus-one S-tau over T n-minus-tau p tau-minus-one,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-006,1,active,formula 63 R823 4301-4304,147,30,three factors with common p subscript tau-plus-one,matching,matching,PASS,retain,numbered formula
N04-S08-CMP-007,1,active,post-63 folding R823 4305-4308,147,30,q n-minus-tau-minus-two w S-tau over S n-minus-tau-minus-one p-tau,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-008,1,active,q-prime substitution and sum R823 4309-4313,147,30,equality substitution; epsilon term; sum alpha from one through paired upper bounds,matching equality and all indices,matching,PASS,ledger paired-bound interpretation,focused crop retained
N04-S08-CMP-009,1,active,iterated form R823 4315-4317,147,30,three factors shifted from tau to tau-plus-one,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-010,1,active,stage-one result R823 4319-4321,147,30,w S-sigma over p sigma-plus-one equals target folding,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-011,1,active,formula 64 R823 4323-4326,147,30,T-tau S-tau followed by ascending S sequence,matching,matching,PASS,retain,numbered process formula
N04-S08-CMP-012,1,active,formula 65 R823 4328-4332,148,31,S-sigma T-sigma followed by descending T sequence,matching,matching,PASS,retain,numbered process formula
N04-S08-CMP-013,1,active,dual chain after 65 R823 4334-4339,148,31,four-level chain with T n-minus-sigma and ordinary epsilon products,matching,inherited has T 1-minus-sigma and inserted pairing bars,PASS,follow source and print,high-risk inherited delta
N04-S08-CMP-014,1,active,stage-one weight count R823 4340,148,31,weight decreases two times one-plus-sigma-minus-tau and two times one,matching,matching,PASS,retain,inline formulas
N04-S08-CMP-015,1,active,stage-two weight decomposition R823 4342,148,31,two times lambda-squared plus lambda sigma-minus-tau decomposition,matching,matching,PASS,retain all parentheses,inline formulas
N04-S08-CMP-016,1,active,stage-two initial folding R823 4344-4347,148,31,q n-minus-tau-minus-lambda S-tau over T n-minus-tau p tau-minus-lambda,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-017,1,active,formula 66 R823 4349-4352,148,31,R-lambda S-tau over p tau-plus-lambda times S tau-plus-one over p tau-plus-one,matching,matching,PASS,retain,numbered formula
N04-S08-CMP-018,1,active,stage-two process sequence R823 4353-4356,148,31,R-lambda S-tau paired with descending S sequence,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-019,1,active,stage-two shift equality R823 4357-4360,148,31,q shifted product equals epsilon R-lambda S tau-plus-one,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-020,1,active,stage-two result R823 4361-4364,148-149,31-32,R-lambda S-sigma over p sigma-plus-lambda equals desired general folding,matching,matching,PASS,retain,unnumbered display across page boundary
N04-S08-CMP-021,1,active,stage-two dual chain R823 4366-4371,149,32,four-level R-lambda chain with ordinary epsilon products,matching,inherited inserts pairing bars in first two right sides,PASS,follow source and print,high-risk inherited delta
N04-S08-CMP-022,1,active,special n equals two lambda folding R823 4372-4375,149,32,S n-over-two with T n-over-two equals S-lambda with T-lambda; three-part epsilon equality,matching,matching up to harmless equality reversal,PASS,retain source order,stage-three special case
N04-S08-CMP-023,1,active,R definitions R823 4376-4382,149,32,R lambda-plus-one; s S-one; sigma S-one lower; R-lambda similarity,matching,matching,PASS,retain all upper and lower indices,unnumbered display
N04-S08-CMP-024,1,active,formula 67 R823 4384-4388,149,32,two sequences totaling two-lambda-minus-one fundamental foldings,matching,matching,PASS,retain,numbered process formula
N04-S08-CMP-025,1,active,lambda-minus-one equality chain R823 4389-4393,149,32,four equivalent matrix products ending S-lambda over T-lambda,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-026,1,active,formula 68 R823 4395-4399,150,33,two rho-indexed fundamental-folding sequences,matching,matching,PASS,retain,numbered process formula
N04-S08-CMP-027,1,active,first-half form and substitutions R823 4400-4408,150,33,q n-minus-rho-minus-one T-rho; w and R rho-plus-one substitutions,matching,matching,PASS,retain,three unnumbered displays
N04-S08-CMP-028,1,active,second-half result and y substitution R823 4409-4416,150,33,q n-minus-rho-minus-lambda S rho-plus-lambda-minus-one; y substitution,matching,matching,PASS,retain,two unnumbered displays
N04-S08-CMP-029,1,active,formula 69 R823 4418-4421,150,33,q n-minus-rho-minus-lambda-plus-one S-rho over y R n-minus-rho-minus-one p rho-minus-lambda-plus-one,matching,matching,PASS,retain,numbered formula
N04-S08-CMP-030,1,active,R substitution and y resolution R823 4422-4430,150,33,R n-minus-lambda substitution; q-prime rho-minus-one zero relation,matching,matching,PASS,retain all primes and shifts,two unnumbered displays
N04-S08-CMP-031,1,active,formula-20 value R823 4431-4435,150,33,epsilon S-rho R-lambda chain with bracketed product exponent,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-032,1,active,type-43 equivalence R823 4436-4441,150,33,q S over R p equals epsilon w T over R-lambda p,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-033,1,active,q-prime resolution chain R823 4442-4447,150,33,q-prime lambda-minus-one then q-double-prime n-minus-lambda-minus-one,matching,inherited corrupts both subscripts,PASS,follow source and print,high-risk inherited delta
N04-S08-CMP-034,1,active,formula-21 value R823 4448-4454,150,33,w q chain equivalent to general folding,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-035,2,active,dual process sequence R823 4455-4459,150,33,first sequence descends in R823 but second sequence also descends,first sequence ascends T rho-plus-one through rho-plus-lambda-minus-one while second sequence descends,inherited witness repeats the erroneous R823 first sequence,PASS,restore ascending first sequence and retain descending second sequence; disclose N04-S08-SRCDEF-003,revision 2 supersedes the false matching conclusion in revision 1
N04-S08-CMP-036,1,active,dual equivalent folding R823 4460-4463,151,34,q n-minus-rho-minus-lambda T-rho over S n-minus-rho p rho-minus-lambda,matching,matching,PASS,retain,unnumbered display
N04-S08-CMP-037,1,active,degree transformation R823 4467,151,34,m rho-neighbors change by plus one minus two plus one,matching,matching,PASS,retain,inline formula
N04-S08-CMP-038,1,active,formula 70 R823 4468-4473,151,34,tridiagonal alpha system; rho range; alpha boundary values,matching,inherited repeats ambiguous boundary syntax,PASS,clarify alpha-zero equals alpha-n equals zero,source ambiguity N04-S08-ISSUE-004
N04-S08-CMP-039,1,active,determinant footnote R823 4473,151,34,Delta recurrence telescoping differences and initial values three and two,matching,matching,PASS,retain complete note,first original note
N04-S08-CMP-040,1,active,final equivalence rows R823 4475,151-152,34-35,q n-minus-sigma-minus-lambda and p tau-minus-lambda are variable rows,matching,inherited changes lambda to undefined i,PASS,follow source and print,high-risk inherited delta
N04-S08-CMP-041,1,active,equivalence cross-reference note R823 4475,151,34,reference to consideration at end of next section,matching,matching,PASS,retain complete note,second original note
N04-S08-CMP-042,1,active,section-eight closing and section-nine boundary R823 4475-4477,152,35,two closing lines then blank then section-nine heading,matching,inherited boundary lines 1292-1294 match structurally,PASS,end section-eight at line 4475,shared physical page boundary
N04-S08-CMP-043,1,active,Schlussform compound R823 4442,150,33,split lexical compound Schluss form,closed compound Schlussform,inherited English final form,PASS,translate final form and disclose source defect N04-S08-SRCDEF-001,print-to-R823 word-break defect routed upstream
N04-S08-CMP-044,1,active,Schlussausdruecke compound R823 4475,151,34,split lexical compound Schluss ausdruecke,closed compound Schlussausdruecke,inherited English final expressions,PASS,translate final expressions and disclose source defect N04-S08-SRCDEF-002,print-to-R823 word-break defect routed upstream
N04-S08-CMP-045,1,active,first dual sequence sign range R823 4457,150,33,T rho-minus-one through rho-minus-lambda-plus-one,T rho-plus-one through rho-plus-lambda-minus-one,inherited repeats R823 error,PASS,restore printed plus-sign range and immediately disclose N04-S08-SRCDEF-003,substantive print-to-R823 formula defect routed upstream
N04-S08-CMP-046,1,active,dative plural phrase R823 4348,148,31,mit der beiden Reihen,mit den beiden Reihen,inherited translates with the two rows,PASS,follow print-correct with the two rows and immediately disclose N04-S08-SRCDEF-004,grammatical-case print-to-R823 defect routed upstream
