record_id,revision,status,r823_lines,printed_pages,physical_pages,unit_type,source_features,print_check,english_disposition
N04-S08-ALIGN-001,1,active,4270-4280,146,29,heading_theorem_plan,section heading; Theorem VIII; three-stage construction plan,all prose symbols theorem numbering and list items checked,translate complete opening and retain theorem scope
N04-S08-ALIGN-002,1,active,4281-4295,147,30,normal_form_setup,normal-form assumption; formula 62; linear form row f,both vanishing relations bounds and all S T p q indices checked,retain print-controlled symbols and ledger paired upper bounds
N04-S08-ALIGN-003,1,active,4296-4326,147,30,stage_one_forward,stage-one construction; formula 63; transformed sum; formula 64,all substitutions products sum bounds epsilon and iteration indices checked,avoid silent minimum-bound choice
N04-S08-ALIGN-004,1,active,4327-4341,147-148,30-31,stage_one_dual,formula 65; dual relation chain; total-weight count,all T-row subscripts products ellipsis and weight expressions checked,reject inherited T subscript and pairing-bar regressions
N04-S08-ALIGN-005,2,active,4342-4364,148-149,31-32,stage_two_forward,weight decomposition; formula 66; forward iteration and result,print has dative plural den beiden Reihen where R823 has der beiden Reihen; other lambda sigma tau exponents factors and repeated-process count checked,follow the print-correct case with immediate N04-S08-SRCDEF-004 disclosure; revision 2 supersedes revision 1 silent-match scope
N04-S08-ALIGN-006,1,active,4365-4371,149,32,stage_two_dual,dual stage-two relation chain,all R-lambda T q p indices and ordinary product groupings checked,reject inherited grouping changes
N04-S08-ALIGN-007,1,active,4372-4393,149,32,stage_three_special,special n equals two lambda case; formula 67; lambda-minus-one chain,all n-over-two lambda R S T sigma u x indices checked,retain source equivalences
N04-S08-ALIGN-008,1,active,4394-4421,149-150,32-33,stage_three_general,formula 68; substitutions; formula 69,all rho lambda shifts and first-half second-half factors checked,retain exact formula sequence
N04-S08-ALIGN-009,1,active,4422-4435,150,33,formula_69_resolution,R substitution; y resolution; formula-20 value,all primes brackets exponents and zero relation checked,follow print and R823
N04-S08-ALIGN-010,1,active,4436-4454,150,33,equivalence_chain,type-43 equivalence; w and R resolution; formula-21 value,all q-prime subscripts and final equivalence checked; print closes Schlussform,reject two inherited q-subscript corruptions and follow the closed print compound with immediate disclosure
N04-S08-ALIGN-011,2,active,4455-4464,150-151,33-34,dual_completion,recursive decomposition; dual sequence; equivalent folding,first sequence restored from print as ascending rho-plus-one through rho-plus-lambda-minus-one; second sequence confirmed descending,disclose N04-S08-SRCDEF-003; revision 2 supersedes revision 1 matching claim
N04-S08-ALIGN-012,1,active,4465-4473,151,34,uniqueness_formula,uniqueness argument; degree transformation; formula 70; determinant note,all alpha m l indices signs range and recurrence checked,clarify both boundary alpha values as zero with disclosure
N04-S08-ALIGN-013,1,active,4474-4475,151-152,34-35,equivalence_coda,second equivalence formulation; original note; closing two lines,critical q n-minus-sigma-minus-lambda and p tau-minus-lambda checked; print closes Schlussausdruecke; shared-page boundary checked,reject inherited i subscript; follow the closed print compound with immediate disclosure; stop before section 9
