record_id,revision,status,source_term,chosen_english,rejected_choice,reason,locator
N04-S08-TERM-001,1,active,Faltungsprozess,folding process,contraction process,continues the established Paper 04 operator register,R823 4270 onward
N04-S08-TERM-002,1,active,Grundfaltung,fundamental folding,basic contraction,continues the established defined technical term,R823 throughout
N04-S08-TERM-003,1,active,kogrediente Faltung,cogredient folding,covariant folding,preserves the source distinction between cogredience and covariance,R823 4271 onward
N04-S08-TERM-004,1,active,Defekt,defect,degree,continues the established technical parameter name,R823 throughout
N04-S08-TERM-005,1,active,Formenreihe,form row,sequence of forms,continues the established Reihe normalization,R823 4291 onward
N04-S08-TERM-006,1,active,invariante Bildung,invariant formation,invariant construction,continues the established Paper 04 normalization,R823 4273 onward
N04-S08-TERM-007,1,active,Gewichtsindex,weight index,weight degree,keeps index terminology distinct from degree terminology,R823 4300 onward
N04-S08-TERM-008,2,active,Gewichtsabnahme,weight decrease,loss of weight,first literal bounded source occurrence corrected to line 4342; exact source and target occurrence control,R823 4342 onward
N04-S08-TERM-009,1,active,Normalformeigenschaft,normal-form property,normality,avoids importing a later algebraic meaning not defined by Noether,R823 4327 onward
N04-S08-TERM-010,2,active,Erzeugung,generation,production,first bounded source occurrence corrected to line 4273; exact source and target occurrence control,R823 4273 onward
N04-S08-TERM-011,1,active,dualistischer Prozess,dual process,dualist process,idiomatic English while retaining the stated dual relation,R823 4327 onward
N04-S08-TERM-012,2,nonoccurrence_control,Matrizenprodukt,matrix product,determinant product,global Paper 04 register control only; verified absent from the bounded German source and English target,not present in R823 4270-4475 or the bounded English target
N04-S08-TERM-013,1,active,Schlussform,final form,terminal form,idiomatic mathematical English and follows the closed print compound,R823 4442
N04-S08-TERM-014,1,active,Schlussausdruecke,final expressions,terminal expressions,idiomatic mathematical English and follows the closed print compound,R823 4475
N04-S08-TERM-015,1,active,Anfangsausdruecke,initial expressions,starting expressions,pairs symmetrically with final expressions,R823 4475
N04-S08-TERM-016,2,active,Zusammensetzbarkeit,composition from fundamental foldings is possible at all,composability,conceptual paraphrase control: the German noun is rendered by the target-attested clause rather than a standalone noun,R823 4340
