control_id,revision,status,role,locator,bytes,sha256,scope,method,disposition
N04-S08-CTRL-001,1,active,textual_authority,R823 cumulative German TeX,2125031,EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,lines 4270-4475,whole-file SHA-256,editable routing authority subject to print adjudication
N04-S08-CTRL-002,1,active,authority_slice,R823 lines 4270-4475,15980,632F0D39480AE22CC73DAB2839E5E883110FF5210D6A8C7F5E26C81982778427,206 lines,UTF-8 CRLF bounded slice with trailing CRLF,exact bounded-source fingerprint
N04-S08-CTRL-003,1,active,original_print,paper 04 original 1911 scan,72444867,D7F7CE6D4B311FFD968ED47DC9C1478CFFCF9F446A86BF90263E0C9D1B41C9EF,printed pages 146-152 physical 29-35,whole-file SHA-256,original-print authority for glyphs notes and boundaries
N04-S08-CTRL-004,1,active,rendered_scan_control,excluded_source_evidence:printed-page-146-render,1378006,C179A3DDC03521EACADD98AAFCBF8197B01FC76306E3AD4592C0A59019DA227F,printed page 146 partial,excluded source-evidence hash receipt,section opening theorem and three-part plan
N04-S08-CTRL-005,1,active,rendered_scan_control,excluded_source_evidence:printed-page-147-render,1062087,6C8CBDE7A254250333900EDB5E381952D571F586E86E74CBC54A55EE6246F324,printed page 147,excluded source-evidence hash receipt,formulas 62-64 and stage-one construction
N04-S08-CTRL-006,1,active,rendered_scan_control,excluded_source_evidence:printed-page-148-render,1241271,4CD9B0DC265DDDC7ACEB0BB3F59E680F5F5BA08743B1A96C6C58774642EC2CE4,printed page 148,excluded source-evidence hash receipt,formula 65 dual chain and formula 66
N04-S08-CTRL-007,1,active,rendered_scan_control,excluded_source_evidence:printed-page-149-render,1303649,B20BF7F297F2786BCA6B7B8C84F035DA07D329B6493CF5B98EB0C48964D5FC29,printed page 149,excluded source-evidence hash receipt,stage-two dual chain and formula 67
N04-S08-CTRL-008,1,active,rendered_scan_control,excluded_source_evidence:printed-page-150-render,1168221,9C7BF11A25C3AE7E708E2673F1503B6F9D1E5F14AD52E8603B2CC7601A8415FC,printed page 150,excluded source-evidence hash receipt,formulas 68-69 and q-prime chains
N04-S08-CTRL-009,1,active,rendered_scan_control,excluded_source_evidence:printed-page-151-render,1441334,B0528C6CC108995280DF4B36000AB96098F42BBD515AD65563632856CDBD59A0,printed page 151,excluded source-evidence hash receipt,formula 70 notes and closing equivalence paragraph
N04-S08-CTRL-010,1,active,rendered_scan_control,excluded_source_evidence:printed-page-152-render,1439153,5BD366C3CB2BD836C46BF1E20F593BB508F39C7B7659E6063B30A76DAC62CF45,printed page 152 partial,excluded source-evidence hash receipt,section-eight closing lines and section-nine boundary
N04-S08-CTRL-011,1,active,rendered_scan_overview,excluded_source_evidence:printed-page-contact-sheet,1647157,120612FAF72AA97B84A59B9903088F16F7B7210C5C3FB7D1B4D85A668D98927B,seven source pages,excluded source-evidence hash receipt,page-envelope review control only
N04-S08-CTRL-012,1,active,focused_scan_control,excluded_source_evidence:formula-63-focus-crop,158298,73662781FFD0D84EB6BBA1ABDED7D2E38AAA8F157E6D0D4C622928B0632B715F,printed page 147 formula 63 neighborhood,excluded source-evidence hash receipt,confirms equality in q-prime substitution and surrounding bounds
N04-S08-CTRL-013,1,active,comparison_only,inherited English Paper 04 TeX,109132,200C9F9115C22D93455A3B7AA372687059E539C6D01959D30EEB25BBEEFFE722,lines 1085-1292,whole-file SHA-256,target-language comparison only
N04-S08-CTRL-014,1,active,comparison_slice,inherited English lines 1085-1292,15094,6325DC6DE34F4631453645DEECB2D7065DEADE9BBEC9057E25A5DD1619A7A966,208 lines,UTF-8 CRLF bounded slice with trailing CRLF,comparison fingerprint only
N04-S08-CTRL-015,1,active,external_alert_receipt,external_alert_receipt:N04-S08-SRCDEF-001+N04-S08-SRCDEF-002,2261,9505D6A1724936E8D0DA968172AB88E50003BF082816C66DCEB12EED5F0CA477,R823 lines 4442 and 4475,external custody receipt verified by exact bytes and SHA-256,two closed compounds restored from print and routed upstream
N04-S08-CTRL-016,1,active,external_alert_receipt,external_alert_receipt:N04-S08-SRCDEF-003,3487,6BEAE2793DEA5AA477D3E3F74DB108D386C2C9483BE228269A0F83BC9534FD09,R823 line 4457,external custody receipt verified by exact bytes and SHA-256,first dual sequence plus-sign range restored from print and routed upstream
N04-S08-CTRL-017,1,active,external_alert_receipt,external_alert_receipt:N04-S08-SRCDEF-004,2349,440FB6092695D0BE79088C7BD18BB76348BD45CD6B45EC8577E8A5F99D2A5B01,R823 line 4348,external custody receipt verified by exact bytes and SHA-256,print-correct dative plural restored and routed upstream
N04-S08-CTRL-018,1,active,focused_scan_control,excluded_source_evidence:dual-sequence-focus-crop,90379,1ADF367A3F4DE16F9F3948AB1C5BC8734EB67D5ADB334740FAAF32D064F99B9D,printed p150 first and second dual sequences,excluded source-evidence hash receipt,confirms ascending plus-sign first sequence and descending minus-sign second sequence
