German source term,Spanish policy,Japanese policy,Note
Variationsproblem / Variationsprobleme,problema variacional / problemas variacionales,変分問題,Keep mathematical-adjectival force; do not paraphrase as mere optimization problem.
invariant / Invariante,invariante / invariante,不変 / 不変量,Use noun/adjective distinction according to syntax.
Transformationsgruppe,grupo de transformaciones,変換群,Lie-theoretic technical term.
endliche kontinuierliche Gruppe,grupo continuo finito,有限連続群,"Finite number of parameters, not finite cardinality."
unendliche kontinuierliche Gruppe,grupo continuo infinito,無限連続群,Infinite continuous group depending on arbitrary functions.
willkürliche Funktionen,funciones arbitrarias,任意関数,Retain arbitrary-function terminology.
Lagrangesche Ausdrücke,expresiones lagrangianas,ラグランジュ式,Euler-Lagrange expressions in Noether terminology.
Divergenzrelationen,relaciones de divergencia,発散関係,Relations obtained as divergences.
Abhängigkeiten,dependencias,従属関係,Dependencies among Euler-Lagrange expressions.
Erhaltungssätze,leyes de conservación,保存則,Conservation laws.
eigentliche / uneigentliche,propias / impropias,真性 / 非真性,For conservation/energy-law distinction.
Verschiebungsgruppe,grupo de traslaciones,平行移動群,Translation group.
allgemeine Relativität,relatividad general,一般相対性,Noether’s widened sense is noted in the final paragraph.
