lane,output_path,exists,files,files_delta_since_9d7_parent_packet,new_files_after_9d7_parent_packet,compare_rows_9d7_to_96c,csv,manifest_named,sha_named,latest_path,latest_sha256,routing_status,next_action,claim_boundary
Romance,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs,true,867,45,50,29,346,65,70,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\NOETHER_ROMANCE_BLOCKER_RESOLUTION_OUTPUT_MANIFEST_20260704.sha256,2CFF12E86EAC8D394DE1D88C16B98DE264E92F74B8B1EE8A72F4D7E040C8F98E,draft-capable-if-source-gated,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CJK draft/source,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs,true,726,15,18,0,279,87,103,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\SHA256SUMS.txt,473E1BE05C1B9F474052E0184A0B6921319A358F7CE90E8335FB1ACC4AEB854D,draft-capable-if-source-gated,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
CJK native/source,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs,true,936,15,15,0,391,146,146,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_9D7DB086_SOURCE_BODY_CODEPOINT_AUDIT_20260706.zip.sha256,E7FA6D4BAF49FB3FD149DEE6B08A3AD290A34B370B40C80EA9BA1EDA83E03997,source-recovery-or-route-only,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs,true,554,30,29,24,328,40,69,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_9D7DB086_CURRENT_HEAD_DELTA_20260706\PACKAGE_VALIDATION.json,1A83685DCBD6914148FD7F3DA586D7C591210C70C83F2159B35FFA8E0B89288A,draft-capable-if-source-gated,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Persianate/Tajik,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs,true,579,37,37,0,394,42,71,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_8F5FC8C_SOURCE_OWNER_RECOVERY_DELTA_20260706\SHA256_VERIFICATION_20260706.csv,AB7B50468CA91763A4E091D4FCC04CD8C8EB14110E1DD40575494CDCFB248F15,draft-capable-if-source-gated,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R2 Pan-Turkic,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs,true,963,0,0,0,371,87,76,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\transfer\R2_9D7DB086_ZERO_ROW_RECOVERY_SEARCH_AUDIT_20260706_TRANSFER_SUMMARY.csv,9622342272711E960F0EBCCD43AC19C03D5DAE64DDFEE1793122F4A5C84CCFC8,source-recovery-or-route-only,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R3 Arabic/Persianate linear algebra,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs,true,1454,0,0,0,508,163,161,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_9D7DB086_RECOVERY_SCAFFOLD_INCREMENT_20260706\R3_9D7DB086_RECOVERY_SCAFFOLD_INCREMENT_20260706T091108Z\SHA256SUMS.txt,3518A5F51B866F27039D09B8CC396A9C8AE239F6A076587D9860EDDBB565F88F,source-recovery-or-route-only,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R6 Indigenous/Creole/Sign,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs,true,902,14,14,46,417,51,60,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_9D7DB086_SOURCE_OWNER_REVIEWER_RECOVERY_QUEUE_20260706\SHA256SUMS.txt,647CB14E2C4DB2C77C29E8ABEF1D5514BB2117D8EF60A52E8198DA010BD2EA2E,source-recovery-or-route-only,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R7 Malay/SEA/Pacific,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs,true,818,24,15,0,481,41,40,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\SHA256SUMS.txt,A4D3672A586FE541FE443F455E03361FB3191F8D64798460003E76849DAA8476,source-recovery-or-route-only,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9 Africa/Horn/West,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs,true,767,23,73,0,534,29,28,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\SHA256SUMS.txt,41FC2E89F927827A5D79D8FEBE7165E437E4A403BFFE359109D925027086016C,source-recovery-or-route-only,route latest owner-lane output to B3; continue whole-corpus source recovery/draft support as gated,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
