artifact,bytes,sha256,scope_note
R9_AMHARIC_OCR_FONTMAP_TRIAGE_20260704.csv,2162,3CFA5242501D722C2FE9988D53F0C0AC3A166038BA2172759DCD4BF8F3C81B5D,registered_output_checksum_self_excluded
R9_AMHARIC_OCR_FONTMAP_TRIAGE_20260704.md,3429,20F7D1A5E425B7805879AF544AF6C7B86A4B6C17C3E3732BB90F66EE03154954,registered_output_checksum_self_excluded
R9_ARTIFACT_MANIFEST_20260704.json,5333,CEAEB10C1BA7FEA4F3556AB28DA261092B1D0EF9ECE1480B219E84CC419DFCA9,registered_output_checksum_self_excluded
R9_BLOCKED_ROW_SOURCE_CLOSURE_WORKLOG_20260704.md,3679,67D5188AB3AE20E857F8F37F80C61CBAD885C2F8C5C378DE4090C20F443A8208,registered_output_checksum_self_excluded
R9_COMPLETION_AND_NEXT_READER_HANDOFF_20260704.md,1793,1FEBAF136E3B24970E35219139CA20E408722AA311FFE26CCD7A9B0E3251B904,registered_output_checksum_self_excluded
R9_COMPLETION_AND_NEXT_READER_HANDOFF_FIXPASS_20260704.md,1873,F88A27AFD0C46A9B115E4AF6F8E86DE2E3897315BB09F446EDD628D7930F29CF,registered_output_checksum_self_excluded
R9_DURABLE_RUN_LOG_20260704.jsonl,12994,9A01F305C377687093C5032B4881DF725D316B465BD1D218E4C42E9164549A46,registered_output_checksum_self_excluded
R9_DURABLE_RUN_LOG_20260704.md,16071,26197C5E4541805CD172FE78764A74114C5EDE5E6AAF9ADF6AAD25D0D9B764A7,registered_output_checksum_self_excluded
R9_NOETHER_GERMAN_ANCHORED_MICRO_SLICES_20260704.csv,12008,DC9993C10C03E5E6FADF4BB1B81E8FDFBB2BE8E41254AD79EFE0CEDEF9119132,registered_output_checksum_self_excluded
R9_NOETHER_GERMAN_ANCHORED_MICRO_SLICES_20260704.md,2483,83A74F9CD593A8DBE1078E227188B161ECEEFA09374457502C4B8339737DEC9F,registered_output_checksum_self_excluded
R9_NONCANONICAL_CORPUS_TRANSLATION_SUPPORT_MATRIX_20260704.md,6003,87909498ACC7AAEB6D30599E5DC4410F289D5B6051A8D24A1E49CC79D13E429A,registered_output_checksum_self_excluded
R9_NONCANONICAL_CORPUS_TRANSLATION_SUPPORT_ROWS_20260704.csv,10403,0B149B05D0D387D01DC3C89AFD2DE38428BD91E1C0EDBBA74F214499E2FCDC7B,registered_output_checksum_self_excluded
R9_OCR_UNICODE_LICENSING_SOURCE_GAP_LEDGER_20260704.csv,6799,BC7B0A185744F205752EFF4F259D8856D05A185D7B10A23D45DDEF4084FD7ABD,registered_output_checksum_self_excluded
R9_OCR_UNICODE_LICENSING_SOURCE_GAP_LEDGER_20260704.md,4503,86655D46214F8A36C7A4726E75E4BD6E04F041E0E11DE409BAFE390FF122E260,registered_output_checksum_self_excluded
R9_REGISTER_AND_INTERLANGUAGE_ROUTING_LEDGER_20260704.md,4288,F4C32F84E539D7D50CD44A01935483B53A4F6D6E27A30B1485F2CBC36B6F4D39,registered_output_checksum_self_excluded
R9_REVIEWER_LEDGER_QUEUE_20260704.csv,4947,8AA591F4552003C868E585C74F28D73630425AFC675FA32FC9CF0A68B69A5BB3,registered_output_checksum_self_excluded
R9_REVIEWER_LEDGER_QUEUE_REFRESH_20260704.csv,7155,75DCE1F7B88A0497F2EB508F5598FDEC66439280521D0A2F54366266F05AF4BC,registered_output_checksum_self_excluded
R9_REVIEWER_LEDGER_QUEUE_REFRESH_20260704.md,4540,5043C6D13DFC5FB0DCDE0616E6515828D9ED11CAD3ADA80F73566D6DC070770C,registered_output_checksum_self_excluded
R9_SESSION_B_PACKAGE_INDEX_NO_UPLOAD_20260704.csv,1857,E9323C5C41728EE44152F2C6C7DB5381A820F9A596400460102129C7A80E99B9,registered_output_checksum_self_excluded
R9_SESSION_B_PACKAGE_INDEX_NO_UPLOAD_FIXPASS_20260704.csv,3445,B17AF5C974622326D73E93F79617386C4B1B45F80FC03054CF7BFB04AC3DE5DE,registered_output_checksum_self_excluded
R9_TIGRIGNA_TIGRINYA_SCRIPT_OCR_TRIAGE_20260704.csv,5258,3ADB31634DD28921715D5E2BE819419125D8B881E9BC11BC8157D67A0C7097BC,registered_output_checksum_self_excluded
R9_TIGRIGNA_TIGRINYA_SCRIPT_OCR_TRIAGE_20260704.md,4950,CF54AC1149B897B3F300CE0357BB424451EA8B50CDA65D29AE94FFD18DFC295C,registered_output_checksum_self_excluded
R9_WEEK_CONTINUATION_RUNBOOK_20260704.md,3416,D9CE4F7B35BF058F01129631B55A1F59CF19425F1B7362673ADD26B4D110FD0F,registered_output_checksum_self_excluded
R9_WHOLE_LANE_COVERAGE_MANIFEST_20260704.json,4414,866BB6F5B82DAEF8CBF1EF1BCACE00D830BBF6D61F7B860CF624E5F3974E5588,registered_output_checksum_self_excluded
