"row_type","witness_id","language_or_scope","archive_family","query_or_probe","source_url","source_type","local_path","sha256","bytes","access_metadata","license_or_access_signal","result_class","evidence_status","next_gate","non_claim_boundary"
"control_file","CTRL-AGENTS","repository instructions","control","AGENTS.md","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","local repo file hash","local control file","observed","observed","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_file","CTRL-COPILOT","repository instructions","control",".github/copilot-instructions.md","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","local repo file hash","local control file","observed","observed","Keep source-canon-first guardrails.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_ledger","CTRL-PARENT","parent ledger","control","NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","C4EB89A023EB36EBD70AF28FA6D1F93C03E92223F400DBD33B94500A22AA4E49","506381","local file hash","local coordination ledger","observed","observed","Use latest parent ledger as coordination anchor.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"control_ledger","CTRL-STEERING","source-canon steering","control","NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","local file hash","local source-canon steering record","observed","observed","Use source-canon steering as coordination anchor.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"register_state","R2-REGISTER-BOUNDARY","R2 Pan-Turkic current register","local_register","is_source_level_tex_or_archive=true","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","75220","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","local normalized register","r2_boundary_unchanged","r2_boundary_unchanged","Direct TeX/LaTeX/arXiv/e-print/source archive or reviewer return required.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"source_level_archive_probe","ARXIV-TT","Tatar","arXiv","site:arxiv.org ""Нётер боҗрасы"" OR ""Нетер боҗрасы""; site:arxiv.org ""полиномнар боҗрасы"" OR ""күпбуыннар боҗрасы""","search-result probe only; no source body captured","current_web_source_level_probe","","","","current web search 2026-07-05T08:26+02:00; exact hard-row phrase bundle","search-result metadata only; no license-clearance claim","no_usable_source_level_target_language_witness","blocked_no_source_level_archive_current_probe","Direct TeX/LaTeX/arXiv/e-print/source archive package or reviewer return.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"source_level_archive_probe","ARXIV-KY","Kyrgyz","arXiv","site:arxiv.org ""Нетер шакеги"" OR ""Нётер шакеги""; site:arxiv.org ""көп мүчөлөр шакеги"" OR ""полиномдор шакеги""","search-result probe only; no source body captured","current_web_source_level_probe","","","","current web search 2026-07-05T08:26+02:00; exact hard-row phrase bundle","search-result metadata only; no license-clearance claim","no_usable_source_level_target_language_witness","blocked_no_source_level_archive_current_probe","Direct TeX/LaTeX/arXiv/e-print/source archive package or reviewer return.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"source_level_archive_probe","ARXIV-TK","Turkmen","arXiv","site:arxiv.org ""Nýoter halkasy"" OR ""Noeter halkasy""; site:arxiv.org ""polinom halkasy""","search-result probe only; no source body captured","current_web_source_level_probe","","","","current web search 2026-07-05T08:26+02:00; exact hard-row phrase bundle","search-result metadata only; no license-clearance claim","no_usable_source_level_target_language_witness","blocked_no_source_level_archive_current_probe","Direct TeX/LaTeX/arXiv/e-print/source archive package or reviewer return.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"source_level_archive_probe","ARXIV-UG","Uyghur","arXiv","site:arxiv.org ""كۆپ ئەزالىق ھالقا"" OR ""نوئېتېر ھالقىسى""","search-result probe only; no source body captured","current_web_source_level_probe","","","","current web search 2026-07-05T08:26+02:00; exact hard-row phrase bundle","search-result metadata only; no license-clearance claim","no_usable_source_level_target_language_witness","blocked_no_source_level_archive_current_probe","Direct TeX/LaTeX/arXiv/e-print/source archive package or reviewer return.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"source_level_archive_probe","GITHUB-TT","Tatar","GitHub","site:github.com ""Нётер боҗрасы"" OR ""полиномнар боҗрасы""","search-result probe only; no source body captured","current_web_source_level_probe","","","","current web search 2026-07-05T08:26+02:00; exact hard-row phrase bundle","search-result metadata only; no license-clearance claim","no_usable_source_level_target_language_witness","blocked_no_source_level_archive_current_probe","Direct TeX/LaTeX/arXiv/e-print/source archive package or reviewer return.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"source_level_archive_probe","GITHUB-KY","Kyrgyz","GitHub","site:github.com ""Нетер шакеги"" OR ""көп мүчөлөр шакеги""","search-result probe only; no source body captured","current_web_source_level_probe","","","","current web search 2026-07-05T08:26+02:00; exact hard-row phrase bundle","search-result metadata only; no license-clearance claim","no_usable_source_level_target_language_witness","blocked_no_source_level_archive_current_probe","Direct TeX/LaTeX/arXiv/e-print/source archive package or reviewer return.","source-canon/provenance/gap support only; source-level archive probe only; no R2 hard-row closure, translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
