filename,bytes,sha256,role,scope_status
01f_Noether_Paper04_Section04_English_R823_SourceChecked_20260718.pdf,262759,2DCE02526EAB5C28D65042B4B1E0533186CA94D10B51DEF714BEE50DE7722EE8,bounded_reader_paper04_section04_english,bounded_working_artifact_not_complete_or_critical
01g_Noether_Paper04_Section05_English_R823_SourceChecked_20260718.pdf,279036,41E8C1FAA1A2B2305C1A72E7C07A10901DA44AEF07321C045BA2CAF86F9F3D7C,bounded_reader_paper04_section05_english,bounded_working_artifact_not_complete_or_critical
03s_Noether_Paper23_Japanese_P31Reconciled_20260718.pdf,270267,2D39C6B9D9E81CC38E29A6FB9A354EC489BF13455CC5D96AAF67CAB9FCCEB748,bounded_reader_paper23_japanese,bounded_working_artifact_not_complete_or_critical
03t_Noether_Paper29_Korean_U01_P31Reconciled_20260718.pdf,68477,509AFF874A21B2FA0D4098330A80FF4FCB9800D84837C9BAF86A439777D2C676,bounded_reader_paper29_korean_u01,bounded_working_artifact_not_complete_or_critical
03u_Noether_Paper29_Korean_U02_P31Reconciled_20260718.pdf,66423,EE0A0ED2E150A5EC48945EA7E47C3F394667F288FF5E933BB00DDF193FBE8988,bounded_reader_paper29_korean_u02,bounded_working_artifact_not_complete_or_critical
26_Noether_Paper04_Section04_English_SourceEvidence_20260718.zip,935465,3713581A54CB4AE9F6AD8182D06125D3AEE0CF58EA1B34E2457E3186C2B36F84,editable_source_and_audit_evidence_paper04_section04,bounded_working_artifact_not_complete_or_critical
27_Noether_Paper04_Section05_English_SourceEvidence_20260718.zip,1837775,AAB7948EF4BD033C968212F0F0FB1C79D914F124B0494F6D6FE487603FE417F5,editable_source_and_audit_evidence_paper04_section05,bounded_working_artifact_not_complete_or_critical
28_Noether_Paper23_Japanese_P31Reconciled_SourceEvidence_20260718.zip,370002,720A8C18DF2C653992D3D9D5169369CD06E706849575A836BE1F2DCA55D1999F,editable_source_and_audit_evidence_paper23_japanese,bounded_working_artifact_not_complete_or_critical
29_Noether_Paper29_Korean_U01_U02_SourceEvidence_20260718.zip,562137,3C32F97DF803DEC083A7AD059B80D202A289F2E7B7ECEA328735CC67DE2468FA,editable_source_and_audit_evidence_paper29_korean_u01_u02,bounded_working_artifact_not_complete_or_critical
30_Noether_Paper23_Japanese_VisualEvidence_20260718.zip,3106137,B4154EF295C46D181FA22220B575114E1F39A6BC4FBEBE99BEF70A6000FDE51E,visual_evidence_paper23_japanese_open_project_renders,bounded_working_artifact_not_complete_or_critical
31_Noether_Paper29_Korean_U01_VisualEvidence_20260718.zip,1037376,061A0DBE6A5DA724B1E53B23F604EB33C4F46D6921A6967A5E4BDA70E977AE76,visual_evidence_paper29_korean_u01_rights_split,bounded_working_artifact_not_complete_or_critical
32_Noether_Paper29_Korean_U02_VisualEvidence_20260718.zip,2173339,FA4015384D9F79F497809CCD189C7C0F6EEE5CDD0A9661613E8EBEEF68C5E821,visual_evidence_paper29_korean_u02_rights_split,bounded_working_artifact_not_complete_or_critical
99_Noether_Public_Status_Multilingual_R823_P04S5_P23JA_P29KO_20260718.md,2260,6D00EDA037C42F4A4709BC273EEDBE4AABC3F8905E88175831D76435CEAA1985,record_wide_public_status_and_claim_boundary,bounded_working_artifact_not_complete_or_critical
