"priority","action_bucket","language","local_id","coverage_status","source_canon_action","title_or_local_title","topic_or_category","license_or_access_signal","hash_match_status","evidence_artifacts","steward_next_action","non_claim_boundary"
"P2","steward_review_possible_license_gap","French","0910.2557v1","live_arxiv_verified_candidate_not_promoted","candidate_verified_not_promoted","Un anneau de deformation universel en conducteur superieur (A universal deformation ring in higher conductor)","math.NT / Noether; anneau; corps","arXiv API license field blank; access/source URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_CANDIDATE_LIVE_ARXIV_VERIFICATION_20260704.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1104.1507v4","live_arxiv_verified_adjacent_candidate_not_promoted","live_arxiv_verified_adjacent_french_candidate_not_promoted","Sur l'homologie des groupes unitaires à coefficients polynomiaux","math.KT / Hilbert:3; module:26; anneau:42; corps:48; invariant:4","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1104.3350v3","live_arxiv_verified_adjacent_candidate_not_promoted","live_arxiv_verified_adjacent_french_candidate_not_promoted","Cycles de codimension 2 et H^3 non ramifié pour les variétés sur les corps finis","math.AG / Hilbert:3; module:33; anneau:8; corps:159; invariant:8","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1405.2056v2","live_arxiv_verified_adjacent_candidate_not_promoted","adjacent_french_noether_hilbert_candidate_not_promoted","Théorèmes de dualité pour les corps de fonctions sur des corps locaux supérieurs et applications arithmétiques","math.AG / Noether; Hilbert","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH2_LIVE_ARXIV_VERIFICATION_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1407.3941v1","live_arxiv_verified_candidate_not_promoted","candidate_verified_not_promoted","Groupes d'extensions et foncteurs polynomiaux","math.AT / Noether","arXiv API license field blank; access/source URL verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_CANDIDATE_LIVE_ARXIV_VERIFICATION_20260704.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1509.07817v1","live_arxiv_verified_adjacent_candidate_not_promoted","live_arxiv_verified_adjacent_french_candidate_not_promoted","Variétés abéliennes sur les corps de fonctions de courbes sur des corps locaux supérieurs","math.AG / Hilbert:3; module:20; corps:79; invariant:2","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1510.05382v1","live_arxiv_verified_adjacent_candidate_not_promoted","live_arxiv_verified_adjacent_french_candidate_not_promoted","On the Bertrandias-Payan module in a p-extension -- capitulation kernel","math.NT / Hilbert:3; module:21; corps:39; ideal:4; invariant:2","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1605.01289v1","live_arxiv_verified_adjacent_candidate_not_promoted","adjacent_french_noether_field_candidate_not_promoted","Dualité et principe local-global sur des corps locaux de dimension 2","math.AG / Noether; Hilbert; corps","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH2_LIVE_ARXIV_VERIFICATION_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1709.00597v2","live_arxiv_verified_adjacent_candidate_not_promoted","live_arxiv_verified_adjacent_french_candidate_not_promoted","Troisième groupe de cohomologie non ramifiée d'un solide cubique sur un corps de fonctions d'une variable","math.AG / Hilbert:5; module:6; corps:19; invariant:1","arXiv API license field blank; access/e-print source archive verified after retry; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_RATE_LIMIT_GAP_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LOCAL_TEX_METADATA_PROBE_20260705.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH3_LIVE_ARXIV_VERIFICATION_RETRY_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"P2","steward_review_possible_license_gap","French","1801.01463v2","live_arxiv_verified_adjacent_candidate_not_promoted","adjacent_french_noether_hilbert_candidate_not_promoted","L'espace adélique d'un tore sur un corps de fonctions","math.AG / Noether; Hilbert","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","live_matches_local=true","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_BATCH2_LIVE_ARXIV_VERIFICATION_20260705.csv","If steward wants main-table expansion, first verify target-language relevance and obtain/record stronger license/access terms; do not promote from this lane.","steward action queue only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
