"field","value","source","boundary"
"current_frontier","32e14f174bd9436bfa31dd5488d712cab56af345","git ls-remote origin refs/heads/codex/noether-pc-20260629","current B3-verified route frontier"
"current_subject","Add CE79 OLP 330 Non-Slavic route batch","git show 32e14f17","B3 route package visibility only"
"parent_frontier","ce79dd0f4ae81b6ef1fb45558b2d85cf4eadd4f9","git show 32e14f17 --parents","prior package frontier lineage"
"parent_subject","Add 330 R3 4065 source-use gap packet","git show ce79dd0f","R3 source-use/gap package lineage only"
"prior_olp_frontier","330ab7bd9ef731ead2816975e0cde76d5435838d","ACTIVE_SESSION_STATE and prior OLP packet set","prior OLP owner packet lineage"
"prior_olp_subject","Add 2BBE OLP 02F route packet set","git show 330ab7bd","prior OLP route package visibility"
"compare_330_to_32e_ahead_by","2","git rev-list --count 330ab7bd..32e14f17","route delta count only"
"compare_330_to_32e_changed_paths","125","git diff --name-only 330ab7bd..32e14f17","route delta count only"
"compare_ce79_to_32e_ahead_by","1","git rev-list --count ce79dd0f..32e14f17","route delta count only"
"compare_ce79_to_32e_changed_paths","80","git diff --name-only ce79dd0f..32e14f17","route delta count only"
"b3_post_ce79_olp_330_nonslavic_route_batch","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_CE79DD0F_OLP_330_NONSLAVIC_ROUTE_BATCH_20260707","B3 outputs","B3 package/reference context only"
"b3_package_roots","4","B3 SUMMARY.json","B3 package visibility only"
"b3_package_files","63","B3 SUMMARY.json","B3 package visibility only"
"b3_package_bytes","194068","B3 SUMMARY.json","B3 package visibility only"
"b3_manifest_bad","0","B3 SUMMARY.json","B3 verification only"
"b3_sha_bad","0","B3 SUMMARY.json","B3 verification only"
"b3_safety_hits","0","B3 SUMMARY.json","B3 safety context only"
"b3_allowed_context_hits","3","B3 SUMMARY.json","allowed context only, not source certification"
"b3_control_exclusions","4","B3 SUMMARY.json","control-file packaging context"
"direct_source_body_evidence_changed","false","OLP 32E package generation and B3 handoff","no source-body promotion"
"source_body_promotions","0","OLP 32E route accounting","zero-claim boundary"
"real_reviewer_return_rows","0","OLP 32E review-boundary accounting","no direct reviewer/source return evidence changed"
"mapping_count_delta","0","OLP 32E packet validation","zero unless direct evidence changes"
"translation_count_delta","0","OLP 32E packet validation","zero unless direct evidence changes"
"approval_count_delta","0","OLP 32E packet validation","zero unless direct evidence changes"
"generated_draft_noncanonical_boundary","preserved","interlinear/terminology package guard","no native review or accepted terminology claim"
"five_hour_reset_rule","after any five-hour pause or app/token/rate-limit reset, reread heartbeat/logbook/state, verify branch/frontier if possible, wake stale siblings, and continue from artifacts","current heartbeat/delegation rule","recovery procedure only"
"generated_utc","2026-07-07T17:47:06Z","local packet refresh","artifact timestamp only"
"packet_kind","source-use/Fable","OLP package role","lane support only"
"previous_package","OLP_330AB7BD_SOURCE_USE_FABLE_2BBE_ROUTE_20260707","local artifact lineage","prior context only"
