archive_path,bytes
combined_tex_bundles/originals__chinese_originals__combined_sources.tex,1692459
combined_tex_bundles/originals__historical_references__combined_sources.tex,229877
combined_tex_bundles/originals__indian_originals__combined_sources.tex,1316143
combined_tex_bundles/originals__islamic_originals__combined_sources.tex,662470
combined_tex_bundles/translation__arabic__combined_sources.tex,1147740
combined_tex_bundles/translation__classical_modern_chinese__combined_sources.tex,1938159
combined_tex_bundles/translation__english_bilingual__combined_sources.tex,5277494
combined_tex_bundles/work_level/01_work_tr_ar__al_kashi_miftah__combined_sources.tex,61685
combined_tex_bundles/work_level/01_work_tr_ar__al_khwarizmi_al_jabr__combined_sources.tex,76440
combined_tex_bundles/work_level/01_work_tr_ar__li_ye_ceyuan_ar_current__combined_sources.tex,410234
combined_tex_bundles/work_level/01_work_tr_ar__omar_khayyam_algebra__combined_sources.tex,41787
combined_tex_bundles/work_level/01_work_tr_ar__qin_shuxue_jz_ar_current__combined_sources.tex,189583
combined_tex_bundles/work_level/01_work_tr_ar__sunzi_suanjing__combined_sources.tex,49456
combined_tex_bundles/work_level/01_work_tr_ar__yang_hui_xiangjie_jz_p1__combined_sources.tex,116574
combined_tex_bundles/work_level/01_work_tr_en__al_kashi_miftah__combined_sources.tex,74158
combined_tex_bundles/work_level/01_work_tr_en__al_khwarizmi_al_jabr__combined_sources.tex,92898
combined_tex_bundles/work_level/01_work_tr_en__al_muqaddasi_taqasim__combined_sources.tex,44593
combined_tex_bundles/work_level/01_work_tr_en__al_tusi_shakl_qatta__combined_sources.tex,69181
combined_tex_bundles/work_level/01_work_tr_en__anon_jiuzhang__combined_sources.tex,277176
combined_tex_bundles/work_level/01_work_tr_en__aryabhata_aryabhatiya__combined_sources.tex,59909
combined_tex_bundles/work_level/01_work_tr_en__bhaskara_bijaganita_p1_3__combined_sources.tex,174889
combined_tex_bundles/work_level/01_work_tr_en__bhaskara_lilavati__combined_sources.tex,51040
combined_tex_bundles/work_level/01_work_tr_en__brahmagupta_bss_translation_current__combined_sources.tex,1197682
combined_tex_bundles/work_level/01_work_tr_en__ibn_al_nadim_fihrist__combined_sources.tex,60751
combined_tex_bundles/work_level/01_work_tr_en__ibn_al_qifti_hukama__combined_sources.tex,53628
combined_tex_bundles/work_level/01_work_tr_en__li_ye_ceyuan_v1_12__combined_sources.tex,566629
combined_tex_bundles/work_level/01_work_tr_en__omar_khayyam_algebra__combined_sources.tex,39896
combined_tex_bundles/work_level/01_work_tr_en__qin_shuxue_jz_f1_9__combined_sources.tex,368837
combined_tex_bundles/work_level/01_work_tr_en__robert_chester_karpinski_al_khwarizmi_1915__combined_sources.tex,78022
combined_tex_bundles/work_level/01_work_tr_en__rosen_algebra_ben_musa_1831__combined_sources.tex,182530
combined_tex_bundles/work_level/01_work_tr_en__ruska_arab_algebra__combined_sources.tex,350339
combined_tex_bundles/work_level/01_work_tr_en__said_al_andalusi_tabaqat__combined_sources.tex,46477
combined_tex_bundles/work_level/01_work_tr_en__smith_karpinski_numerals_1911__combined_sources.tex,58438
combined_tex_bundles/work_level/01_work_tr_en__sunzi_suanjing__combined_sources.tex,63409
combined_tex_bundles/work_level/01_work_tr_en__yang_hui_xiangjie_jz_p1_3__combined_sources.tex,228539
combined_tex_bundles/work_level/01_work_tr_en__zhu_shijie_qimeng_p1_2__combined_sources.tex,257218
combined_tex_bundles/work_level/01_work_tr_zh__anon_jiuzhang__combined_sources.tex,312920
combined_tex_bundles/work_level/01_work_tr_zh__li_ye_ceyuan_fenlei__combined_sources.tex,374213
combined_tex_bundles/work_level/01_work_tr_zh__li_ye_ceyuan_v1_12__combined_sources.tex,436404
combined_tex_bundles/work_level/01_work_tr_zh__qin_shuxue_jz_modern_chinese_current__combined_sources.tex,292476
combined_tex_bundles/work_level/01_work_tr_zh__sunzi_suanjing__combined_sources.tex,52764
combined_tex_bundles/work_level/01_work_tr_zh__yang_hui_xiangjie_jz_p1_3__combined_sources.tex,187092
combined_tex_bundles/work_level/01_work_tr_zh__zhu_shijie_qimeng_p1_2__combined_sources.tex,147078
combined_tex_bundles/work_level/02_work_orig_chinese__anon_jiuzhang__combined_sources.tex,272631
combined_tex_bundles/work_level/02_work_orig_chinese__li_ye_ceyuan__combined_sources.tex,299013
combined_tex_bundles/work_level/02_work_orig_chinese__li_ye_ceyuan_fenlei__combined_sources.tex,357672
combined_tex_bundles/work_level/02_work_orig_chinese__qin_shuxue_jz__combined_sources.tex,301189
combined_tex_bundles/work_level/02_work_orig_chinese__sunzi_suanjing__combined_sources.tex,77717
combined_tex_bundles/work_level/02_work_orig_chinese__yang_hui_xiangjie_jz__combined_sources.tex,227670
combined_tex_bundles/work_level/02_work_orig_chinese__zhu_shijie_qimeng__combined_sources.tex,121763
combined_tex_bundles/work_level/02_work_orig_indian__aryabhata_aryabhatiya__combined_sources.tex,60083
combined_tex_bundles/work_level/02_work_orig_indian__bhaskara_bijaganita__combined_sources.tex,198554
combined_tex_bundles/work_level/02_work_orig_indian__bhaskara_lilavati__combined_sources.tex,48037
combined_tex_bundles/work_level/02_work_orig_indian__brahmagupta_bss__combined_sources.tex,1010373
combined_tex_bundles/work_level/02_work_orig_islamic__al_kashi_miftah__combined_sources.tex,56771
combined_tex_bundles/work_level/02_work_orig_islamic__al_khwarizmi_al_jabr__combined_sources.tex,70624
combined_tex_bundles/work_level/02_work_orig_islamic__al_tusi_shakl_qatta__combined_sources.tex,48257
combined_tex_bundles/work_level/02_work_orig_islamic__omar_khayyam_algebra__combined_sources.tex,32921
combined_tex_bundles/work_level/02_work_orig_islamic__robert_chester_karpinski_1915__combined_sources.tex,66587
combined_tex_bundles/work_level/02_work_orig_islamic__rosen_algebra_ben_musa_1831__combined_sources.tex,161091
combined_tex_bundles/work_level/02_work_orig_islamic__ruska_arab_algebra_1917__combined_sources.tex,228093
combined_tex_bundles/work_level/03_work_reference__al_muqaddasi_taqasim__combined_sources.tex,40952
combined_tex_bundles/work_level/03_work_reference__ibn_al_nadim_fihrist__combined_sources.tex,30761
combined_tex_bundles/work_level/03_work_reference__ibn_al_qifti_hukama__combined_sources.tex,28886
combined_tex_bundles/work_level/03_work_reference__said_al_andalusi_tabaqat__combined_sources.tex,45529
combined_tex_bundles/work_level/03_work_reference__smith_karpinski_numerals_1911__combined_sources.tex,84966
README.md,403
sources/chinese/jiuzhang-suanshu-vols1-3.tex,92670
sources/chinese/jiuzhang-suanshu-vols4-6.tex,84688
sources/chinese/jiuzhang-suanshu-vols7-9.tex,94394
sources/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols1-3.tex,93588
sources/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols4-5.tex,138961
sources/chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols6-10.tex,124196
sources/chinese/li-ye-ceyuan-haijing-vols1-3.tex,66401
sources/chinese/li-ye-ceyuan-haijing-vols10-12.tex,74122
sources/chinese/li-ye-ceyuan-haijing-vols4-6.tex,73104
sources/chinese/li-ye-ceyuan-haijing-vols7-9.tex,84326
sources/chinese/multirow.sty,6902
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1.tex,66154
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicle2.tex,51577
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicle3.tex,36474
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicles3-4.tex,61391
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6.tex,81875
sources/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9.tex,38884
sources/chinese/sunzi-suanjing.tex,77251
sources/chinese/texmf/tex/latex/local/booktabs.sty,6253
sources/chinese/texmf/tex/latex/local/enumitem.sty,54201
sources/chinese/texmf/tex/latex/local/fancyhdr.sty,32579
sources/chinese/texmf/tex/latex/local/indentfirst.sty,1664
sources/chinese/texmf/tex/latex/local/longtable.sty,16605
sources/chinese/texmf/tex/latex/local/microtype.sty,106050
sources/chinese/texmf/tex/latex/local/setspace.sty,23065
sources/chinese/texmf/tex/latex/local/titlesec.sty,50473
sources/chinese/texmf/tex/latex/local/xeCJK-listings.sty,14302
sources/chinese/texmf/tex/latex/local/xeCJK.sty,188283
sources/chinese/texmf/tex/latex/local/xeCJKfntef.sty,40686
sources/chinese/texmf/tex/latex/local/xunicode-addon.sty,27203
sources/chinese/texmf/tex/latex/local/xunicode-extra.def,63168
sources/chinese/titlesec.sty,50473
sources/chinese/tocloft.sty,37263
sources/chinese/yang-hui-xiangjie-jiuzhang-part1.tex,68909
sources/chinese/yang-hui-xiangjie-jiuzhang-part2.tex,86824
sources/chinese/yang-hui-xiangjie-jiuzhang-part3.tex,71045
sources/chinese/zhu-shijie-suanxue-qimeng-part1.tex,54078
sources/chinese/zhu-shijie-suanxue-qimeng-part2.tex,66995
sources/indian/aryabhata-aryabhatiya.tex,59610
sources/indian/bhaskara-ii-bijaganita-part1.tex,82431
sources/indian/bhaskara-ii-bijaganita-part2.tex,66854
sources/indian/bhaskara-ii-bijaganita-part3.tex,48403
sources/indian/bhaskara-ii-lilavati.tex,47566
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk1.tex,75966
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk2.tex,44173
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk3.tex,60243
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk4.tex,93532
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk5.tex,92415
sources/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk6.tex,44333
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk1.tex,54635
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk2.tex,123462
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk3.tex,54158
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk4.tex,30142
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk5.tex,111060
sources/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk6.tex,59396
sources/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk1.tex,39386
sources/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk2.tex,43289
sources/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk3.tex,80809
sources/indian/verse.sty,909
sources/islamic/al-kashi-miftah-al-hisab.tex,56283
sources/islamic/al-khwarizmi-al-jabr-wa-l-muqabala.tex,70124
sources/islamic/al-tusi-shakl-al-qatta.tex,47768
sources/islamic/karpinski-robert-of-chester-latin-translation-1915.tex,66029
sources/islamic/multirow.sty,6902
sources/islamic/omar-khayyam-sinaat-al-jabr.tex,32430
sources/islamic/rosen-algebra-of-mohammed-ben-musa-1831.tex,160570
sources/islamic/ruska-zur-aeltesten-arabischen-algebra-1917.tex,227567
sources/islamic/titleps.sty,26211
sources/islamic/titlesec.sty,50473
sources/master-preamble.tex,4562
sources/references/al-muqaddasi-ahsan-al-taqasim.tex,40459
sources/references/booktabs.sty,6253
sources/references/enumitem.sty,54201
sources/references/etoolbox.sty,48784
sources/references/fancyhdr.sty,32579
sources/references/ibn-al-nadim-kitab-al-fihrist.tex,30268
sources/references/ibn-al-qifti-tarikh-al-hukama.tex,28393
