filename,status,source_count,bytes,pages,text_chars,sha256,sources,category,language_group,title,held_source_count,held_sources,source,note
"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",combined,3,715733,71,50572,3191cf16abe45293774e5cd6376f98d224a7653583a28588c79cde5debcb8e03,"['translations/en/chinese/jiuzhang-suanshu-vols1-3_bilingual.pdf', 'translations/en/chinese/jiuzhang-suanshu-vols4-6_bilingual.pdf', 'translations/en/chinese/jiuzhang-suanshu-vols7-9_bilingual.pdf']",translation_work,english_bilingual,"Anonymous, Jiuzhang Suanshu and Nine Chapters, volumes 1-9",0,[],,
"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",combined,4,1329135,145,281838,e362a3366afb682506388402e0a93597fec25b4de7310dbee270b3b164a0a079,"['translations/en/chinese/li-ye-ceyuan-haijing-vols1-3_bilingual.pdf', 'translations/en/chinese/li-ye-ceyuan-haijing-vols4-6_bilingual.pdf', 'translations/en/chinese/li-ye-ceyuan-haijing-vols7-9_bilingual.pdf', 'translations/en/chinese/li-ye-ceyuan-haijing-vols10-12_bilingual.pdf']",translation_work,english_bilingual,"Li Ye, Ceyuan Haijing, volumes 1-12",0,[],,
"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",combined,5,1122236,104,170020,b3d8d53d7214e539a8522649fbb7af3650bb816baed3b4081a08e3286378baa5,"['translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_bilingual.pdf', 'translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicle2_bilingual.pdf', 'translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicles3-4_bilingual.pdf', 'translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6_bilingual.pdf', 'translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9_bilingual.pdf']",translation_work,english_bilingual,"Qin Jiushao, Shuxue Jiuzhang, fascicles 1-9",0,[],,
10-04 English Translation - Sunzi Suanjing.pdf,combined,1,329239,25,27149,2e8b2f537d898d5805578f0e1cf88de7d0f2eede42c62fc1089f3c297ac6af08,['translations/en/chinese/sunzi-suanjing_bilingual.pdf'],translation_work,english_bilingual,"Sunzi, Sunzi Suanjing",0,[],,
"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",combined,3,907718,68,76500,cd337aef526a28cedc3bd66400a2e40af685a161bae2a7afdd67b67268315779,"['translations/en/chinese/yang-hui-xiangjie-jiuzhang-part1_bilingual.pdf', 'translations/en/chinese/yang-hui-xiangjie-jiuzhang-part2_bilingual.pdf', 'translations/en/chinese/yang-hui-xiangjie-jiuzhang-part3_bilingual.pdf']",translation_work,english_bilingual,"Yang Hui, Xiangjie Jiuzhang Suanfa, parts 1-3",0,[],,
"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",combined,2,678444,77,126936,c36712fd0416a9bea1472b03da20376015caa17f4800e3a161b7868205cb1bc4,"['translations/en/chinese/zhu-shijie-suanxue-qimeng-part1_bilingual.pdf', 'translations/en/chinese/zhu-shijie-suanxue-qimeng-part2_bilingual.pdf']",translation_work,english_bilingual,"Zhu Shijie, Suanxue Qimeng, parts 1-2",0,[],,
10-07 English Translation - Aryabhata - Aryabhatiya.pdf,combined,1,157472,21,21619,6306e79afa1a9c40addab0b2600eb0d5f2700af6c53f4ee0b5f9b62244cadc2d,['translations/en/indian/aryabhata-aryabhatiya_bilingual.pdf'],translation_work,english_bilingual,"Aryabhata, Aryabhatiya",0,[],,
"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",combined,3,413165,63,55229,5dd2234b4c8c2f0bbd4ef1ed9fc9c575d6972031365f5a63a14617e22274c424,"['translations/en/indian/bhaskara-ii-bijaganita-part1_bilingual.pdf', 'translations/en/indian/bhaskara-ii-bijaganita-part2_bilingual.pdf', 'translations/en/indian/bhaskara-ii-bijaganita-part3_bilingual.pdf']",translation_work,english_bilingual,"Bhaskara II, Bijaganita, parts 1-3",0,[],,
10-09 English Translation - Bhaskara II - Lilavati.pdf,combined,1,187197,24,23145,6a91c82f31bb1eb987eed3a737f99549d908085c99d8d9c05fd71a93052da5a1,['translations/en/indian/bhaskara-ii-lilavati_bilingual.pdf'],translation_work,english_bilingual,"Bhaskara II, Lilavati",0,[],,
10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,combined,15,2008244,284,402747,b38faa7ae0b69e5cdf5c3ec002dfb867018d9b66cf1eb7b2f2ef63732756fa36,"['translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk1_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk2_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk3_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk4_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk5_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk6_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk1_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk2_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk3_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk4_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk5_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk6_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk1_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk2_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk3_bilingual.pdf']",translation_work,english_bilingual,"Brahmagupta, Brahmasphutasiddhanta, chunks",0,[],,
