source_term,spanish,japanese,note
Rationalbasis,base racional,有理基底,Central term for Papers 05--06.
Minimalbasis,base mínima,最小基底,Paper 05 and Paper 06 §6.
Integritätsbasis,base de integralidad,整性基底,Basis for integrality/polynomial domains.
Funktionenkörper,cuerpo de funciones,関数体,Usually rational function field in title/context.
Körper,cuerpo,体,Mathematical field.
System,sistema,系,System of rational functions.
algebraischer Rang,rango algebraico,代数的階数,Definition II.
Übertragungsprinzip,principio de transferencia,転移原理,Paper 06 transfer principle.
Involutionsform,forma de involución,インヴォリューション形式,§5.
Involutionsbasis,base de involución,インヴォリューション基底,§5.
Gattungsbereich,Gattungsbereich,Gattungsbereich,Historical German term retained.
Fundamentalpunkt,punto fundamental,基本点,Geometric interpretation in §5.
Lürothsche Funktion,función de Lüroth,Lüroth 関数,Paper 05 and Paper 06 §6.
affektlos,no afectas / affektlos where needed,affektlos,Preserved/cautious; not silently normalized.
