paper,lang,tikzcd,tikzpicture,xymatrix,diagram_total,status
D081,FR,0,0,0,0,inventory/render-quality gate active
D081,EN,0,0,0,0,inventory/render-quality gate active
D082,FR,6,0,0,6,inventory/render-quality gate active
D082,EN,6,0,0,6,inventory/render-quality gate active
D083,FR,17,0,0,17,inventory/render-quality gate active
D083,EN,17,0,0,17,inventory/render-quality gate active
D084,FR,0,0,4,4,inventory/render-quality gate active
D084,EN,3,0,0,3,inventory/render-quality gate active
D085,FR,1,0,0,1,inventory/render-quality gate active
D085,EN,1,0,0,1,inventory/render-quality gate active
D086,FR,7,1,0,8,inventory/render-quality gate active
D086,EN,7,1,0,8,inventory/render-quality gate active
D087,FR,4,0,0,4,inventory/render-quality gate active
D087,EN,4,0,0,4,inventory/render-quality gate active
D088,FR,3,0,0,3,inventory/render-quality gate active
D088,EN,3,0,0,3,inventory/render-quality gate active
D089,FR,0,0,0,0,inventory/render-quality gate active
D089,EN,0,0,0,0,inventory/render-quality gate active
D090,FR,4,0,0,4,inventory/render-quality gate active
D090,EN,4,0,0,4,inventory/render-quality gate active
