"language","local_id","package_extraction_kind","local_hash_matches_prior","source_file_count","text_file_count","tex_file_count","largest_tex_or_source_files","local_title_candidate","local_author_candidate","documentclass","babel_signal","french_signal_count","english_signal_count","local_language_signal","topic_hit_counts","topic_total","source_canon_action","gap_or_next_action","non_claim_boundary"
"French","0605499v2","gzip_single_file_extracted","True","1","1","1","0605499v2.tex","","","","\usepackage[french] {babel}","377","13","local_french_signal_present","corps:4; invariant:4","8","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0605500v2","gzip_single_file_extracted","True","1","1","1","0605500v2.tex","","","","\usepackage[french] {babel}","193","20","local_french_signal_present","corps:3; invariant:11","14","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0611861v1","tar_archive_extracted","True","13","12","11","fom.tex; nablagr.tex; grom.tex; tsgf.tex; fgr-om.tex","Categories de foncteurs en grassmanniennes et filtration de Krull","Aurelien DJAMENT djament@math.univ-paris13.fr","article","\usepackage[frenchb]{babel}","2048","144","local_french_signal_present","Noether:1; module:39; anneau:13; corps:14; invariant:1","68","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0711.3658v2","tar_archive_extracted","True","11","7","4","rat1e.tex; fr0g_.tex; alafrench.tex; def0z.tex","Sur l'ind�pendance de l en cohomologie l -adique sur les corps locaux","Weizhe Zheng","article","\usepackage[english,francais]{babel}","1662","327","local_french_signal_present","module:6; anneau:9; corps:66; invariant:2","83","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0809.0144v3","gzip_single_file_extracted","True","904","1","1","0809.0144v3.tex","A differential -module algebra for = 2 at an even root of unity","A.M. Semikhatov","amsart","","53","1271","local_english_or_mixed_signal","module:89; ideal:3; invariant:7","99","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0812.4685v2","gzip_single_file_extracted","True","664","1","1","0812.4685v2.tex","THREE CROSSED MODULES","Z. ARVAS\. I","article","","42","554","local_english_or_mixed_signal","module:80","80","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0907.2566v3","tar_archive_extracted","True","4","3","2","ThreeHolArx3.tex; rlepsf.tex","The fundamental Gray 3-groupoid of a smooth manifold and local 3-dimensional holonomy based on a 2-crossed module","Jo\ a","article","","235","1549","local_english_or_mixed_signal","module:158; invariant:8","166","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1001.2849v1","gzip_single_file_extracted","True","1","1","1","1001.2849v1.tex","Morphismes quadratiques entre modules sur un anneau carre","Henri Gaudier et Manfred Hartl","amsart","","843","257","local_french_signal_present","module:183; anneau:78","261","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1005.0462v1","tar_archive_extracted","True","2","2","1","torseur.tex","Etude locale des torseurs sous une courbe elliptique","Jilong Tong","compositio","\usepackage[francais]{babel}","943","131","local_french_signal_present","module:39; anneau:7; corps:14; ideal:1; invariant:1","62","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1009.2195v1","tar_archive_extracted","True","2","2","1","Ankara_proceedings.tex","\@nx\@dblarg \@xp\@nx","","birkmult","","55","484","local_english_or_mixed_signal","module:86; ideal:8; invariant:27","121","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1010.0341v3","tar_archive_extracted","True","2","2","1","ouv02.tex","Un theoreme de l'application ouverte sur les corps values algebriquement clos","Laurent Moret-Bailly L'auteur est membre du projet Points entiers et points rationnels \ de l'Agence nationale pour la recherche.","article","\usepackage[english,francais]{babel}","262","17","local_french_signal_present","module:2; anneau:2; corps:20","24","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1109.0527v2","gzip_single_file_extracted","True","692","1","1","1109.0527v2.tex","Lagrangian-invariant sheaves and functors for abelian varieties","Alexander Polishchuk","","","88","2004","local_english_or_mixed_signal","module:6; invariant:41","47","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1110.2366v1","tar_archive_extracted","True","4","4","2","arXiv_Attractiveness_of_IMs.tex; arXiv_Attractiveness_of_IMs.tex","Title label1","Name cor1","elsarticle","","2","1440","local_english_or_mixed_signal","invariant:26","26","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1202.4716v3","gzip_single_file_extracted","True","171","1","1","1202.4716v3.tex","Amenable groups with a locally invariant order are locally indicable","Peter Linnell","amsart","","0","358","local_english_or_mixed_signal","invariant:73","73","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1202.6578v3","gzip_single_file_extracted","True","1","1","1","1202.6578v3.tex","Simultaneity as an Invariant Equivalence Relation","Marco Mamone-Capria\\ Dipartimento di Matematica -- via Vanvitelli, 1 -- 06123 Perugia - Italy \\ E-mail","article","","45","752","local_english_or_mixed_signal","module:4; invariant:81","85","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1204.0960v2","tar_archive_extracted","True","9","3","2","HomoActFinal2.tex; mac.tex","Khovanov module and the detection of unlinks","Matthew HEDDEN","article","","137","2019","local_english_or_mixed_signal","module:126; ideal:2; invariant:25","153","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1211.4431v2","tar_archive_extracted","True","5","4","1","PGMLT_MRLv2.tex","Multivariable Lubin-Tate ( , ) -modules \\�and filtered -modules","Laurent Berger","mrlart7","","98","1043","local_english_or_mixed_signal","Noether:1; module:107; corps:6; ideal:10","124","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1303.5221v2","tar_archive_extracted","True","2","2","1","Brnr.tex","Le groupe de Brauer non ramifie sur un corps global de caracteristique positive","Giancarlo Lucchini Arteche\\[5mm] Departement de mathematique, universite Paris-Sud","article","\usepackage[french, english]{babel}","212","25","local_french_signal_present","anneau:5; corps:23; invariant:1","29","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","low-signal local-only source-canon metadata triage; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
