physical_page	tiff_path	bytes	sha256	pixel_mode	width	height	pixel_sha256
2	control/authority_native_final/P0002.tiff	78430	EB29FE720C0058F0878F2ECB42B920570D41D5E8C8C5416C6E357227FB2CC7B1	1	5046	7075	51113F5836CD7C7123BFD177C85A8015D172D79B4D0B652DDFBF712595B52349
3	control/authority_native_final/P0003.tiff	121540	43BEEDFCC557FE587B019599102121FB0AE01AEFB59554E961C9DBF7B5BF608F	1	5007	7048	43B7FF0B945082C44A097532928A0087422917BB014171B978EB1DCBF80E748D
4	control/authority_native_final/P0004.tiff	79984	C885F95669B1723FE52665CA144783DFD14A00C2F700839F5AAF68FD7B52B29E	1	5080	7099	50C6756AADFF4FDAF57A8647666F690215A0C788406C2DADBAC3477106BEB29F
5	control/authority_native_final/P0005.tiff	96078	5F1EAEE116B022C1D4BD09AA1FA31EB0F2A9E724BFF1408F2502AFF1B859E756	1	4960	7015	272CCEA481ABA4D3D3A817F42BB7FEB063C601D8C7ACD7EB12266D6767F05DAC
6	control/authority_native_final/P0006.tiff	110046	54AA3BDF4628D3002079F8B6990849CC92E0E34164F86B061151AA0987B42176	1	5054	7081	D1ECE3165BC8097006A83FFE1BE5E0C9A32B77EB86DCC8696BC0C5299C192907
7	control/authority_native_final/P0007.tiff	96622	2314D7E94953E496C0777C4820FD2E02CD8BECA5EF2A8A588DDE4DE39B271FC0	1	4960	7015	9B154B48E547B2679D2CFCB5224E3EB3D418995851CCDE975E25C59DD8B77638
8	control/authority_native_final/P0008.tiff	81984	28C2DCCCBFE8436562FBC5A3F774549AC3B9305ED64509EF9CED012B4531D8DF	1	5086	7104	61E62B8BB8D7C68CFD99DD1E5B8186E016119786DA4E5A1C4A81B245FD446208
9	control/authority_native_final/P0009.tiff	117224	E13387C0248397ADC9931D24380520FCA5FA23C0A68481F7D3976BFC62ECE278	1	4960	7015	FEF3BCA8063C3CFC1ECCCB995D5D68D8A5EF1451826470C0C81FA6599082E01E
10	control/authority_native_final/P0010.tiff	89954	D1041BF25BD6A757DF14AFEE05DEFECDC8D6F2FD5EF8C1F21EC261E166231E02	1	4960	7015	AD571AABF1CCBE387CEDC3D0262771ED1347BF626832C1B41EDA71470734E1C3
11	control/authority_native_final/P0011.tiff	97830	F3ECBD70FE6B9F003B9067217C2FBBFDE860E7D9BBAD43C6F96C76DA98929D29	1	4960	7015	0FBF7E2D27C955D84179DEA539321F01985F5C7591F457CF70AF2CF31829A2E7
12	control/authority_native_final/P0012.tiff	110960	8A1F638FEFF21B524FBC07F1F6B415443C38F6634BECBF44145E21154B57C916	1	5055	7082	80AE0AA598A01A22C670B7143E561256728ED387885B67940ED5D0E8F98CB3C8
13	control/authority_native_final/P0013.tiff	85974	887CD8BBC6AC0DC7848396BC032B923F8AABF54D8CC48EAB7FBABB5AF8ED26B1	1	4960	7015	AF4ABD8F5750C2005AB2F5BE26B59938327218A80C16D981A32795AA848D505B
14	control/authority_native_final/P0014.tiff	77266	5B1A3748CD5965033A5CACE24412FE08D6667CB2AA68589F1B2F8AA1593EE5F8	1	5114	7123	C433AAC54D980A386E928B55216555E1BF1427AB2581C181212853FCE6561D11
15	control/authority_native_final/P0015.tiff	67474	DDABBD27B66DD228EC3BFF21CCBD0FA04557D59E3566A0A3437404FDAD783703	1	4960	7015	9BFC896582BCA4C6B008EDA34B27125DE3385C0A8ECE65FB6E9BBAAC605E07AD
16	control/authority_native_final/P0016.tiff	76086	5359A1F064A1AE7645CCF0061F0157F786379DB56460C5CC4A4D795F382B2FC1	1	5046	7075	9EC750EE4A72DC130192A4796825AD7631B616E81B4B90F698DB77B470A13CA4
17	control/authority_native_final/P0017.tiff	84942	813672DC1771DF4C0B8EEF7C495ABEB01EB23466175064D7C309863B7EC75E07	1	4960	7015	A813E967007E2604B481E3A56F764EC4BD90A900CBC9EF0D1496C5E43973FA5F
18	control/authority_native_final/P0018.tiff	73554	B7276159D0136AFD9994CE9138261B9B2C363E9DB378AF657E027956F34AE85C	1	5065	7089	F8CBC6D020A7CF8FDEEF54DEF6D30CE2BB463A8F124F560C2A28977B46C2B4E2
19	control/authority_native_final/P0019.tiff	74076	07DD47439B8E06FF6E4C231AE4703D4FD426EA7DCA9A657EF71E3C8FD3C377A9	1	4960	7015	5C17D1819DED044D5E6571CEAB2B2D52AB2B800400B84BCEA2ACBA447A7BD906
20	control/authority_native_final/P0020.tiff	91380	3897487A767F938CF1DADAB26B5BFA54A8554A806BA3C41136983C158AC939A7	1	5046	7075	6E911F4C6DEAF7139B29C29D7FD621AE14BCB56F473C10CCCB3AFC3CB94CB2CE
21	control/authority_native_final/P0021.tiff	114682	A9A10424612EF121C72914DDF345460F788B97717DBA49AC4A0AF60A7DAEACD9	1	4960	7015	1FA58DCD005A4E69F0BE6E664E87ECCB71F0227325132408E6D29A4AAC6037D0
22	control/authority_native_final/P0022.tiff	99312	BFFA264C65E53364C7D90A84157D8421A6A69A2E07453CF8F2C2042B471CBA61	1	5031	7065	2055406DD62C98C5FC782A713F3C8F124FE4E5C71E31CC0FD9853D85B0ED6882
23	control/authority_native_final/P0023.tiff	97176	94AB7FA9F67B4EF5FC8D6EF9B0DC6F98253C3F0FA4B8590E6391F7359F2987C2	1	4960	7015	B8C4CB1B7D263AAD49371F2DD2223E8059BDBA6F59A36D577076D7F5426B63FB
24	control/authority_native_final/P0024.tiff	76740	7550F588CC68451C9A5A9FBE50C2A6F489741AE8879E1DA550709D3F8F28DF15	1	5011	7051	F5DF83AEF638CDCD64A089E2BF7382DB0695F060DFD9800FDF4922BCFFBAE952
25	control/authority_native_final/P0025.tiff	90274	C21161E3F8DAED2738A17068A502E35169C1B60B50E045B1A638EE2DECF0EBC8	1	4960	7015	40847B7BF014F968D8E1DA8BCB4D088BCF9768649332C39558611887C435C8B8
26	control/authority_native_final/P0026.tiff	110026	80834F20AC3A91AECD16FB7EF00D282DB01CB7161F514B71B624396995835C6C	1	5055	7082	CE3B61F551AA23325C536B826502853E7D5BE3B4417E7787768008D05D35D5FA
27	control/authority_native_final/P0027.tiff	94338	01456EAC3443EADE6B59EB0725BEF942726731055AF5CE5A5A2D656CEDEF4D3D	1	4960	7015	B57227F98B879F469D6D3A00601E6089B95F7BC30F52B6E557A9F7524BC2994F
28	control/authority_native_final/P0028.tiff	92368	CF8FF2D32A019BF506E11FC95331DC7BAF138ED93D1228B1782EC508FA204370	1	5038	7070	C3A544E093AEF6B05FD5149586BFD5583EA0750D702EF70714E92363D565488B
29	control/authority_native_final/P0029.tiff	91292	0C2232A905BDA651641F16648E91B0607AA894E2BAE880C645C7C3FC6F2706D1	1	4960	7015	8B8C8AD1E28C34EB36C688FF6640C186AF2445A9A8A1579A181CFA9343ED746F
30	control/authority_native_final/P0030.tiff	96766	79092357648F91FBF73DD02F304D8D98671DC4DF7A58F4189385428505073F3D	1	5057	7083	B3FF80550EA08C6E6D27823227942270F1D3BF1412F80E4B40DA59B166CCBB29
31	control/authority_native_final/P0031.tiff	82984	0651066670FFE96C68C5F04F189EF61A06A99A5F6B53E023FD2E4D73B2C4C1AB	1	4960	7015	5F188455EE755ED31C4A59EAAD36AD868D892D6B16AACDEAB569CBC4B0156FD4
