physical_page	printed_page	french_record_path	bytes	sha256	canonical_record_sha256
1	0	edition/source_freeze_final_v1/P0001.fr.txt	346	7D14786127A0A51E69CC43669D3461C2AEDDC6E0C0C709D3281F59E2F918A14D	F652256E7C12DC5EC7706394902E32C0A6216E20A3708DB70E9AB12BEC840C4D
2	273	edition/source_freeze_final_v1/P0002.fr.txt	2342	F1A103360915CAFCCB14761165B9D1AF2094C4DD69F621CDBB7EE2BD13013483	612B360BD7269B6169A31FAEE8B0759FD0428D5D4D7469C2F267F63F7B3755E1
3	274	edition/source_freeze_final_v1/P0003.fr.txt	2896	A3EA835E5B11084AA43656D55D6189CAC55DDA27F5A255C269830D1079FEE59D	538F26B6BA06631A303E4649E14AFB971EAABEF439DB102BC1D24485F989AD4A
4	275	edition/source_freeze_final_v1/P0004.fr.txt	2083	0358D44FC52FD9BD611642E7D29EDA9F6123002DBDB6B5FB7F5F9175F584C90B	9612CB8E8CA8E01462E2D9A19DB65296D4D21CF70DECEA7B6E68173BF0890DA6
5	276	edition/source_freeze_final_v1/P0005.fr.txt	2433	43A0F856C7288494FB137040C5D2B9AF9694ED60077C850D4ABFF45B112BACCF	FDEE9504178F6D3454D38BEC721F093EFB95DB5E1686B3FB7FBE68D0897F99CC
6	277	edition/source_freeze_final_v1/P0006.fr.txt	2693	41114C5A72F20A5E1FF8FEAC915129D1EC5D7837DB6C28AA9345F344852BD49C	F66E878E843BBE4D6271C1ADD44CB257E011F4DDCAB948CB7FD0AF49AD53011F
7	278	edition/source_freeze_final_v1/P0007.fr.txt	2588	099872E2FCDA9EC08B90D1AE5D1EB8BC341053042B54C596DD55CDE3F56F1052	CE5D5C0BD88EE7110D3766341BCB8A13A947226BC6676B7349A3567985AD2554
8	279	edition/source_freeze_final_v1/P0008.fr.txt	2119	B1ECDB44C2653462977BE8A4668AE68BA3E9644D183930A9C148DDE689A9D5E6	08B91FD18097A5FEE382B6589DE7266D0AF3AF8243310B0C11EB4DDAB2EC2795
9	280	edition/source_freeze_final_v1/P0009.fr.txt	2920	70650E3AD62855E8C0704759F92792A804E2FA551C882D2F77876E1D2DF0D5A3	2689C7B117E026220847D2CA8C960F6A678ECB33CF7F966B92AA431A91573F27
10	281	edition/source_freeze_final_v1/P0010.fr.txt	2258	F6F62048A95879127F1E747A7FEC8E2871726947C88CAD3345546930AFC3652E	6832133F775C9E74E637FE4B1E29EE6BD8943EAD924581A684EB78C1C183F60D
