physical_page	printed_page	prompt_owner	authority_pdf_sha256	authority_replay_path	authority_replay_sha256	source_record_sha256	english_record_sha256	apparatus_record_sha256	direct_check	object_dispositions	result	action	note
1	0	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P01/page-01.png	1FBD850111C6B7FDC1DD4EFB22B337ACC3472A2D9A3A94DE6ED72CC1CDCD0514	1E9C7258421D3E64895A9A169F2D1DC3A0D30B5349972E8C0006DE0D5EFBED32	A8F5DF0A605F22B5AEA651E130E4DA2E83FB65804DBE732CA04B56A21B03C03F	2C9A2802EA97445F0C4C0CDE29D9F55D882001F1711D2863928FE0F843659A12	Vector NUMDAM cover; colon-form title and author/journal metadata; no article folio; six Link/URI annotations; repository copy matter excluded from both scholarly bodies.	5	PASS	BOUNDARY_AND_SIX_ANNOTATIONS_RECONFIRMED	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
2	273	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P01/page-02.png	C1A6D1F30D56A8F54A6594A87492CF1A1DE65C0CDEDB502BE9314EF9FC35E43D	A7FB6D4CD5C47BDD22EA443D5563122665DB07085E2B49FEBEB6BBA081967396	5477DBA41BB711CC65C5F2B59F8ED4EBC09EB77491E48860E13408E16B539960	B4F0917C589E4171A2AA7701599691FC05BCC1E17E508864D9CE90F2CDAC0165	Period-form article title and byline; eight-entry sommaire; opening explanatory paragraphs; §1 heading; (1.1) and Hasse-Weil zeta product.	8	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
3	274	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P01/page-03.png	43CDD17C3B3DA20D5FC0F7D900E9C8A29739E06E07E67176222CA974ECFF405D	72AEEDA557A30C6B14FFDD909D9CF9585DB224C276544DB078D0D19A7DA59416	EB82225B616985766DB4F8A7A8066252A21208FFB404FE8699410559E0EA8338	C6C89CDC94DAF042F1D0B117D02B82D65F7372DCE77E983DE10323A450B5F0DA	q_x and deg(x); t=q^(−s); (1.1.2)-(1.1.3); Dwork/Grothendieck rationality; ℓ-adic and p-adic terminology; H_c^i finiteness; Frobenius setup.	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
4	275	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P01/page-04.png	2FF27D6C82EF99C0BF26419E4E6E9E3BFCE90B09353927F7C7B7026DD446E2A8	C0E2298738519F158C5DC78C7B56FAB79B0C31A24E654F39FB1AFD920F1646D7	3786FCB37AACCA583EE1074E8B2B8978F91008CF00EA714AA9BCA10649805928	D2F5DE184DB2038F96CD1459F2D7445E1B5B3BBA7A048A495A934BA7607B097A	Fixed-point identifications a)-d); (1.4.1); proper Frobenius action on H_c^i; Lefschetz formula; (1.5.1)-(1.5.3).	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
5	276	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P01/page-05.png	2EEDDE6988B7CFDEA911E00CF7CDA8CB7428CC36F0F870E1E8D9C62984C8C8E6	545D25B0BDCC65975467449C37061B7E1723DF4E77EDE85B821B2047608A7128	7323A58189785F8ED22CA6222223343BF793A263F27BD2D777AF567D09A56484	73C53F016951182761BE5A1A6B3E1BEC5B361F6FC826B9AC5349661BCED03735	(1.5.4); Theorem (1.6); Lemma (1.7); Hankel determinant argument; Q(t) conclusion; definition of P_i(t).	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
6	277	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P01/page-06.png	EDCF92B7C93DCC8158FF71D2ED75B725B281CDBBB21F245A1888A99A2576F2CD	3FA5A1099E2529B9A4BEED6B3F00DB2407F9E8EABB0C59EC5037D4583F9EF81D	0335F58619561655069BE2C451BDFB8964A3918D65BB11AB413A9627FC64E264	61D8B618D4AEDBAA58132C2E367B2882900DA6E607CFA930474B1719A4282CF0	Odd/even factorization P and Q; roots of P_i have absolute value q^(−i/2); independence of ℓ; (1.8)-(1.10) and constructible-sheaf categories.	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
7	278	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P02/page-07.png	88FB1658AB41FFDF50DE62A8EFF68A87B3F44DDD2BEAE0D36863FC6AB75A09E4	A0998C4A5006606C2A994E36B91028260BA387223B14EB60F2E2D829094A74C8	09CD710538685A06009341EF2D39928A4112E5C79350248B1202E1BFAC91BD58	15C8AFE570F90D2A25BF66611EAA15B4A182F6E741A99BB738594D02AAD71C63	Frobenius sheaf square with both horizontal labels F; X×_(F,X,f)[ℱ]; two-step H_c map; trace formula; F_(x_0)^*=F_x^(*deg(x_0)).	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
8	279	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P02/page-08.png	40B5E4F365CC29178D405037103C7AB592C1E996BC645AAC878D0500CB7DB710	95168573CE8F9BE7BE36DDA496FD2B02792BC6248BB44C44F89407CFC638997B	2835927DD2D5B772070EEAF3395FBE3C223AACF1BB0E6287E0AFDBB8F9305BE1	3D5C9EC8D7FAF3407A37F069B9208147DE1A9D070EF61C02987D292391F403DD	L-function formulas (1.14.1)-(1.14.3); Galois dictionary (1.15.1)-(1.15.2); final Galois formula is unstarred where printed.	5	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
9	280	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P02/page-09.png	69FFCFC9135305D89CF3F80229CBA1E66ADFA5143ECBA94C8BDE20A62003B9FE	BF929B5F9302B02E888DE17E6CA1E547086966CC5497462B58B70815F6F1FE6A	95AE3560EFAE424346514B21CD8A6C51EDA35A21B839A8E692A145EE1AF8491C	08636B5E694D15166DE7C12B5FED0208E81E7569A1093B53AFC4C04EB97D0673	Orientation discussion; fundamental class H_c^n in the differentiable case; Ẑ^*; σ_(m,n); Tate-twist convention for negative r.	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
10	281	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	control/pixel_replay/P02/page-10.png	353D8D0024E2627763BCED57FAB523C6D92D6D8FFF9FF1B18AFB909D149662F1	ABA5C3B42E54A8DB3E1DEB67AC70B2FF26921569CF5F8209715B4952CA2DDFF2	142031A357E932B3FDB0F07C897395214407B58102A39320F4E6C5EE2B30F0DB	3DEED14F6AD203B2B6F08E2FDC2AE9B216FCA290947735A846A3E664CF736344	Fundamental class H_c^(2n); Poincaré pairing; q^n dual eigenvalues; functional equation with negative exponents q^(−nχ/2)t^(−χ).	6	PASS	NO_CHANGE_AFTER_DIRECT_AUTHORITY_REPLAY	Direct page-image replay and structured-record binding check completed in cumulative S05 audit; inherited witnesses supplied no controlling reading.
