"branch_head","support_id","concept","source_backing_status","source_hit_count","source_file_count","reviewer_return_status","formula_neighboring_usage_note","allowed_next_artifact","owner_route","claim_ceiling"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-relation","relation","source_support_candidate","4649","70","no reviewer return","R subset A x B; x R y; ordered pairs","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","relation/function language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-function","function","source_support_candidate","8753","78","no reviewer return","f: A -> B; f(x)=y; uniqueness of output","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","relation/function language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-domain","domain","source_support_candidate","782","53","no reviewer return","domain(f); x in A; f: A -> B","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","relation/function language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-range","range","source_support_candidate","574","51","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-coordinate","coordinate","source_support_candidate","4054","40","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-proof","proof","source_support_candidate","569","71","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-theorem","theorem","source_support_candidate","14","7","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-definition","definition","source_support_candidate","170","39","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-set","set","source_support_candidate","4503","85","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-matrix","matrix","source_support_candidate","58","17","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-polynomial","polynomial","source_support_candidate","58","4","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SUPPORT-graph","graph","source_support_candidate","211","43","no reviewer return","source-context/formula-neighboring note slot; owner fill required","source-context notes; term alternatives; formula-neighboring notes; interlinear/interlanguage scaffold slots","language owner lanes","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SCOPE-OPENLOGIC","OpenLogic sets/functions/relations","literal source body present","source-body-present","2","no reviewer return","functions, relations, sets, subset and mapping notation","source pointer and context notes","B3/source-canon and language owners","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SCOPE-DMOI","DMOI relation/function adjacent source","source/provenance witness present","source-witness-provenance","provenance rows","no reviewer return","relation/function definition neighbor contexts","source pointer and context notes","B3/source-canon and language owners","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SCOPE-OPENINTRO","OpenIntro numeracy","literal/provenance support present","source-body/provenance present","2","no reviewer return","numeracy context support only","source pointer and context notes","B3/source-canon and language owners","generated-draft/non-canonical/source-context support only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","OLP-SCOPE-BLANK-SLOT-RETURN","blank slot-return/review templates","review-only infrastructure","support templates present","template/ledger rows","no reviewer return","blank slots must not be converted into reviewer evidence","slot preparation and blocker ledger","B3/source-canon and language owners","generated-draft/non-canonical/source-context support only"
