"lane","drift_kind","file","size_bytes","last_write","sha256","path"
"noether-arabic-rtl-source-evidence-draft-lane","source_canon_or_provenance_drift","NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SHA256_20260704.txt","489","2026-07-04T22:24:36","F1FC5EC56821E7906DCDEF1FAA7A534F58D5D26C012373DF327EAFB3D92592A9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SHA256_20260704.txt"
"noether-arabic-rtl-source-evidence-draft-lane","source_canon_or_provenance_drift","NOETHER_ARABIC_RTL_DURABLE_RUN_LOG_20260704.md","31640","2026-07-04T22:23:54","3E9407ED14963FC8A0C5A2229458903B6C653AAFC02FAEAD870CA22096957BDC","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_DURABLE_RUN_LOG_20260704.md"
"noether-arabic-rtl-source-evidence-draft-lane","source_canon_or_provenance_drift","NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_20260704.csv","10242","2026-07-04T22:23:54","E7DBEE58048F5F2187D67B6DB51A5E956FE9654891013D5BEBAA8011971AFDDA","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_20260704.csv"
"noether-arabic-rtl-source-evidence-draft-lane","source_canon_or_provenance_drift","NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_20260704.md","3623","2026-07-04T22:23:54","00A6FEB299FE9F11CC46FCCB6116EEBCDA14A1EA654F101EBA753EA2B5DF191E","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_20260704.md"
"noether-arabic-rtl-source-evidence-draft-lane","source_canon_or_provenance_drift","NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_SHA256_20260704.txt","364","2026-07-04T22:24:36","08C0D5D7936112B417E54EAAB0B5C1E39EBAA18D4F9D1386FECED040F83DBD72","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_SHA256_20260704.txt"
"noether-arabic-rtl-source-evidence-draft-lane","source_canon_or_provenance_drift","NOETHER_ARABIC_RTL_SOURCE_CANON_COORDINATION_RECHECK_SHA256_20260704.txt","520","2026-07-04T22:24:36","5EF43EFE6218D02090B401D6E1C172954C5D32EB3B3FC72651490AD879FD1D95","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SOURCE_CANON_COORDINATION_RECHECK_SHA256_20260704.txt"
"noether-cjk-native-source-evidence","source_canon_or_provenance_drift","NOETHER_PROGRAM_SOURCE_CANON_CROSS_LANE_INVENTORY_20260704.md","26534","2026-07-04T22:20:37","159694E97672EB89A4D92815B9FFDE783D08E4B4385311CF1770F0CF46FCFE2C","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_CROSS_LANE_INVENTORY_20260704.md"
"noether-cjk-native-source-evidence","source_canon_or_provenance_drift","NOETHER_PROGRAM_SOURCE_CANON_CROSS_LANE_INVENTORY_MANIFEST_20260704.json","2733","2026-07-04T22:20:37","7A07D69C20C63B56BA2FA6B64E28EA136BDB8DB054B07C3BA2A3A559E835033D","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_CROSS_LANE_INVENTORY_MANIFEST_20260704.json"
"noether-cjk-native-source-evidence","source_canon_or_provenance_drift","NOETHER_PROGRAM_SOURCE_CANON_CROSS_LANE_INVENTORY_SHA256SUMS_20260704.txt","992","2026-07-04T22:20:37","ED238D628360611CF2A616A33E64A6BD9D29CC7186B77AB90143AEFC05028BCD","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_CROSS_LANE_INVENTORY_SHA256SUMS_20260704.txt"
"noether-cjk-native-source-evidence","source_canon_or_provenance_drift","NOETHER_PROGRAM_SOURCE_CANON_REQUIRED_FIELD_AUDIT_20260704.csv","17724","2026-07-04T22:23:21","B7645314D3DD79554EE4D778711223066CECC801EAF9D3567E8C303BB2FB4356","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_REQUIRED_FIELD_AUDIT_20260704.csv"
"noether-cjk-native-source-evidence","source_canon_or_provenance_drift","NOETHER_PROGRAM_SOURCE_CANON_REQUIRED_FIELD_AUDIT_20260704.json","23153","2026-07-04T22:23:21","389EEA6B19E13C456672B214ED9D918C8182E3E6C4B15A31E63C135712478C4F","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_REQUIRED_FIELD_AUDIT_20260704.json"
"noether-cjk-native-source-evidence","source_canon_or_provenance_drift","NOETHER_PROGRAM_SOURCE_CANON_REQUIRED_FIELD_AUDIT_20260704.md","5594","2026-07-04T22:23:21","6D77ED278ED40967DCC21FC12E2EB2CD220F7504D4F2C1D59194C0CF0A7B95A5","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_PROGRAM_SOURCE_CANON_REQUIRED_FIELD_AUDIT_20260704.md"
