language_code,source_kind,local_path,relative_path,extension,bytes,sha256,upload_policy
bg,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\bulgarian_sofia_noncommutative_body_problem.pdf,pdf/bulgarian_sofia_noncommutative_body_problem.pdf,.pdf,233234,9377AC5F2F3594AD2F0A7B014C72562D8E0E40007BA06E72B18D3E2B7C941E43,manifest_only_until_license_verified
bg,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\bulgarian_sofia_rings_lecture7.pdf,pdf/bulgarian_sofia_rings_lecture7.pdf,.pdf,163318,D5F91DCC5EAF4DFD1FE0949891A93117510C0D82E894E1FF254C4A78853AB503,manifest_only_until_license_verified
hr,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\croatian_mathhr_algebra_structures_2024.pdf,pdf/croatian_mathhr_algebra_structures_2024.pdf,.pdf,793933,50A255D413C5411F02A4AB6DA487CF1A5CCF2AF0B933E89307FD036E34281124,manifest_only_until_license_verified
hr,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\croatian_pmf_split_prsteni.pdf,pdf/croatian_pmf_split_prsteni.pdf,.pdf,391214,6F0B9C2563C86D99A16601ADB01B4280FDC30707CF2EC407A18E1383D6370E43,manifest_only_until_license_verified
cs,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_cuni_algebra_2021.pdf,pdf/czech_cuni_algebra_2021.pdf,.pdf,2641741,0737A40AD7C560CA8988BBD5D85762DFFB4791E67CCA0BA4F3CA8A2F4EBE65CE,manifest_only_until_license_verified
cs,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_cuni_noncommutative_body_thesis.pdf,pdf/czech_cuni_noncommutative_body_thesis.pdf,.pdf,391722,DDC68FA8BCFE15C190EF8D5A78B4B56920FFEFF8D8486A8E54A02A5E864F504F,manifest_only_until_license_verified
cs,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_cuni_representation_idempotents.pdf,pdf/czech_cuni_representation_idempotents.pdf,.pdf,911997,E5A089E19940503C1B3CB418A3045F0AA1B649E3D1810F3E798BD7982324C0EB,manifest_only_until_license_verified
cs,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_cuni_telesa_pole_note.pdf,pdf/czech_cuni_telesa_pole_note.pdf,.pdf,54193,D4F68D359C2B50DADF954CABA682C4B66CE49E7E3D24294F3F3B2951675D6E8B,manifest_only_until_license_verified
cs,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_karlin_commutative_rings_fields.pdf,pdf/czech_karlin_commutative_rings_fields.pdf,.pdf,481280,0F139BE9D0FD542F9A72ADFDCF698C7643036CDA19377C14B0C01F5F50799DF9,manifest_only_until_license_verified
cs,local_existing_reference_shelf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\czech_karlin_galois_splitting_field.pdf,pdf/czech_karlin_galois_splitting_field.pdf,.pdf,146172,44E8DCB249CDB5D6B084BAD33F1141367C0FD92A14745092594DA6228BE4577C,manifest_only_until_license_verified
