language_code,language_name,candidate_rows,downloaded_source_archives,extracted_tex_files,target,gap_status,next_action
pl,Polish,0,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
cs,Czech,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
sk,Slovak,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
sl,Slovene,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
sr,Serbian,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
hr,Croatian,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
bs,Bosnian,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
cnr,Montenegrin,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
bg,Bulgarian,1,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
mk,Macedonian,1,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
be,Belarusian,1,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
hsb,Upper Sorbian,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
dsb,Lower Sorbian,150,0,0,hundreds_of_source_witnesses_per_language_where_available,below_target_current_pass,"expand arXiv terms, add institutional repositories, add journal/source repositories, and rerun"
