language_code,language_name,scripts,arxiv_candidate_rows,downloaded_redistributable_source_archives,extracted_latex_files,local_reference_shelf_rows
pl,Polish,Latin,0,0,0,17
cs,Czech,Latin,150,0,0,15
sk,Slovak,Latin,150,0,0,2
sl,Slovene,Latin,150,0,0,4
sr,Serbian,Latin;Cyrillic,150,0,0,2
hr,Croatian,Latin,150,0,0,5
bs,Bosnian,Latin,150,0,0,0
cnr,Montenegrin,Latin;Cyrillic,150,0,0,0
bg,Bulgarian,Cyrillic,1,0,0,5
mk,Macedonian,Cyrillic,1,0,0,0
be,Belarusian,Cyrillic,1,0,0,0
hsb,Upper Sorbian,Latin,150,0,0,0
dsb,Lower Sorbian,Latin,150,0,0,0
