"top_root","second_root","path","bytes","extension","object","is_package_path","lane_scope","source_use_label","r6_classification","may_support_draft"
"interlanguage-sidecar","interlanguage-sidecar/20260705","interlanguage-sidecar/20260705/olp_relation_function_fable_block/source_witnesses/external_wikimedia_recovery/20260705/wikimedia_access_license_signal.csv","588",".csv","b9fb7e8d68f8a1f961c0d6507c4971b441d47a48","False","adverse_evidence","do-not-use-as-r6-access-evidence","false_positive_keyword_or_security_marker_not_r6_access_body","no"
"interlanguage-sidecar","interlanguage-sidecar/20260706","interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/user made flr with chat web stuff/v6_1_workpass/NORMALIZATION_APPLY_PASS_DESIGN_v1_CHATGPT_20260705.csv","13507",".csv","2a867e558ca53f24aa642fdb028567eb56f06966","False","adverse_evidence","do-not-use-as-r6-access-evidence","false_positive_keyword_or_security_marker_not_r6_access_body","no"
"interlanguage-sidecar","interlanguage-sidecar/20260706","interlanguage-sidecar/20260706/claude_chatgpt_interlingua_program_full_provenance_dump/interlingua_program_20260704/user made flr with chat web stuff/v6_1_workpass/NORMALIZATION_APPLY_PASS_DESIGN_v1_CHATGPT_20260705.json","26022",".json","734d5b9388c6a4327655ae67d1d1a0eb167bd75e","False","adverse_evidence","do-not-use-as-r6-access-evidence","false_positive_keyword_or_security_marker_not_r6_access_body","no"
"interlanguage-sidecar","interlanguage-sidecar/fable-turkic-gap-frontier-source-canon-20260705T210239Z","interlanguage-sidecar/fable-turkic-gap-frontier-source-canon-20260705T210239Z/candidate_source_bodies/CV-WIKI-ASLA-ALGEBRA.html","124938",".html","65bb8646bde27cdfe0b16fd95aa1b3d128f19013","False","adjacent_interlanguage_not_r6","method-adjacent-do-not-promote","adjacent_interlanguage_source_body_not_indigenous_creole_sign_authority","no"
"interlanguage-sidecar","interlanguage-sidecar/fable-turkic-gap-frontier-source-canon-20260705T210239Z","interlanguage-sidecar/fable-turkic-gap-frontier-source-canon-20260705T210239Z/candidate_source_bodies/CV-WIKI-ASLA-ALGEBRA.raw.wikitext","6697",".wikitext","db2c2be984442247922c57ee209e6e166e12d0a0","False","adjacent_interlanguage_not_r6","method-adjacent-do-not-promote","adjacent_interlanguage_source_body_not_indigenous_creole_sign_authority","no"
"interlanguage-sidecar","interlanguage-sidecar/fable-turkic-gap-frontier-source-canon-20260705T210239Z","interlanguage-sidecar/fable-turkic-gap-frontier-source-canon-20260705T210239Z/source_bodies/CV-WIKI_ASLA_ALGEBRA_AUXILIARY_EXCERPT.txt","1154",".txt","caccf80da67cee6823f7dc7d10cdc6700fa2b0a4","False","adjacent_interlanguage_not_r6","method-adjacent-do-not-promote","adjacent_interlanguage_source_body_not_indigenous_creole_sign_authority","no"
"interlanguage-sidecar","interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706","interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/STANDARDIZATION_SOURCE_SIGNAL_COUNTS_C7FB.csv","4796",".csv","e08350687c2dc5877f716cbea8893e80746be543","False","adverse_evidence","do-not-use-as-r6-access-evidence","false_positive_keyword_or_security_marker_not_r6_access_body","no"
"interlanguage-sidecar","interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706","interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706/INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706/STANDARDIZATION_SOURCE_SIGNAL_COUNTS_C7FB.json","6463",".json","5304057281d673399ca6849a662e183610329abf","False","adverse_evidence","do-not-use-as-r6-access-evidence","false_positive_keyword_or_security_marker_not_r6_access_body","no"
"interlanguage-sidecar","interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706","interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/003__00_SET_EVERY_ASSIGNED_GOAL_VERBATIM_NOW_20260705.md","4083",".md","638a56849db82b1fe40d39ea2a650879fd1bbcd2","False","manual_review_required","oldb-source-signal-needs-r6-review","r6_keyword_source_signal_requires_manual_classification","no"
"language-source-bodies","language-source-bodies/r6-indigenous-creole-sign-20260705","language-source-bodies/r6-indigenous-creole-sign-20260705/ocr-witnesses/OCR_WITNESS_INDEX.csv","1267",".csv","7662be9ba8d3db8f12be229ddcca9b49ac2bd61c","False","indigenous","source-body-ocr-witness","branch_visible_r6_ocr_witness_body_signal_requires_reviewer_authority","source-gated-only-after-reviewer-route; no draft in this packet"
