lexeme_id,language,branch,script,source_form,normalized_form,source_document,source_location,witness_category,witness_weight,source_use,notes
PTR-ALG-0001,fa_IR,Iranic,Arabic-Persian,حلقه,halqe / حلقه,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,line 1209,OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Ring in algebra syllabus; not native-reviewed.
PTR-ALG-0001,prs_AF,Iranic,Arabic-Dari,[gap],[gap],ps_AF/prs_af_ecampus_algebra_momand.pdftotext.txt,retired: prior prs_AF row cited a body reclassified as ps_AF Pashto by language_boundary_audit_20260705; independent Dari witness still required,retired-stale-pashto-misclassified,0,do-not-use-for-prs_AF,Prior ring form حلقه is not usable as Dari evidence; Pashto ps_AF source remains adjacent zero-weight only.
PTR-ALG-0001,tg_Cyrl_TJ,Iranic,Cyrillic,Ҳалқа,halqa / ҳалқа,tg_Cyrl_TJ/tg_cyrl_zarowadk_choriev_olimov_ktm_algebra_number_theory_2017.pdftotext.txt,line 378,OCR-located-in-native-PDF,0.6,source-discovery-witness-not-promoted,Tajik source-discovery only; OCR uses legacy Cyrillic glyphs.
PTR-ALG-0001,ur,Indo-Aryan,Arabic-Nastaliq,[gap],[gap],ur/ur_glossary_technical_terms_english_urdu_mathematics_djvu.txt,searched ring/circle ambiguity; no reliable ring-theory hit,gap-searched,0,gap,Do not import Persian/Dari حلقه into Urdu.
PTR-ALG-0002,fa_IR,Iranic,Arabic-Persian,میدان,meydan / میدان,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 1998-2004,OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Field/Galois syllabus context.
PTR-ALG-0002,prs_AF,Iranic,Arabic-Dari,[gap],[gap],ps_AF/prs_af_ecampus_algebra_momand.pdftotext.txt,retired: prior prs_AF row cited a body reclassified as ps_AF Pashto by language_boundary_audit_20260705; independent Dari witness still required,retired-stale-pashto-misclassified,0,do-not-use-for-prs_AF,Prior field form ساحه is not usable as Dari evidence; Pashto ps_AF source remains adjacent zero-weight only.
PTR-ALG-0002,tg_Cyrl_TJ,Iranic,Cyrillic,майдон,maydon / майдон,tg_Cyrl_TJ/tg_cyrl_zarowadk_choriev_olimov_ktm_algebra_number_theory_2017.pdftotext.txt,line 378,OCR-located-in-native-PDF,0.6,source-discovery-witness-not-promoted,Tajik source-discovery only.
PTR-ALG-0002,ur,Indo-Aryan,Arabic-Nastaliq,میدان,maidan / میدان,ur/ur_glossary_technical_terms_english_urdu_mathematics_djvu.txt,line 3618,OCR-witness-only,0.25,OCR-witness-not-source-truth,Urdu OCR hit is noisy; requires PDF visual/source check before use.
PTR-ALG-0003,fa_IR,Iranic,Arabic-Persian,ایده‌آل,ideal / ایده‌آل,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 1209-1212,OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Ideal in ring-theory syllabus.
PTR-ALG-0003,prs_AF,Iranic,Arabic-Dari,[gap],[gap],ps_AF/prs_af_ecampus_algebra_momand.pdftotext.txt,retired: prior prs_AF row cited a body reclassified as ps_AF Pashto by language_boundary_audit_20260705; independent Dari witness still required,retired-stale-pashto-misclassified,0,do-not-use-for-prs_AF,Prior ideal form اديال / ايديال is not usable as Dari evidence; Pashto ps_AF source remains adjacent zero-weight only.
PTR-ALG-0003,tg_Cyrl_TJ,Iranic,Cyrillic,[gap],[gap],tg_Cyrl_TJ source package,searched ideal/идеал in packaged source bodies,gap-searched,0,gap,No promoted Tajik term row.
PTR-ALG-0003,ur,Indo-Aryan,Arabic-Nastaliq,[gap],[gap],ur source package,searched ideal,gap-searched,0,gap,No Urdu source witness in current package.
PTR-ALG-0004,fa_IR,Iranic,Arabic-Persian,ایده‌آلهای اول,prime ideals / ایده‌آل‌های اول,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,line 1212,OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Persian-only source for this row in current package.
PTR-ALG-0004,prs_AF,Iranic,Arabic-Dari,[gap],[gap],prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 6565-6579 contain استلزام اول = prime implicant, not prime ideal",false-friend-gap,0,adverse-evidence,Do not treat prime implicant as prime ideal.
PTR-ALG-0004,tg_Cyrl_TJ,Iranic,Cyrillic,[gap],[gap],tg_Cyrl_TJ source package,searched,gap-searched,0,gap,No Tajik promoted row.
PTR-ALG-0004,ur,Indo-Aryan,Arabic-Nastaliq,[gap],[gap],ur source package,searched,gap-searched,0,gap,No Urdu witness.
PTR-ALG-0005,fa_IR,Iranic,Arabic-Persian,نظریه گالوا,Galois theory / نظریه گالوا,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,"lines 97, 1985, 1998-2010",OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Eponymic transfer class.
PTR-ALG-0005,prs_AF,Iranic,Arabic-Dari,[gap],[gap],prs_AF source package,searched Galois/گالوا,gap-searched,0,gap,No Dari Galois witness in current package.
PTR-ALG-0005,tg_Cyrl_TJ,Iranic,Cyrillic,[gap],[gap],tg_Cyrl_TJ source package,searched Галуа/Галоа,gap-searched,0,gap,No Tajik Galois witness in current package.
PTR-ALG-0005,ur,Indo-Aryan,Arabic-Nastaliq,[gap],[gap],ur source package,searched,gap-searched,0,gap,No Urdu Galois witness.
PTR-PRF-0006,fa_IR,Iranic,Arabic-Persian,معادله,equation / معادله,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,lines 904-905,OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Formula-neighboring proof/prose.
PTR-PRF-0006,prs_AF,Iranic,Arabic-Dari,معادله,equation / معادله,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,lines 681 and 6802 in mathematical equation/expression contexts,OCR-located-in-native-PDF,0.65,source-witness-pdf-with-ocr-locator,Replaced stale Pashto-cited row with independent Kabul University Dari/Persian C2 witness. Dari/Persian Afghanistan anchor; Pashto eCampus algebra body is excluded from prs_AF authority.
PTR-PRF-0006,tg_Cyrl_TJ,Iranic,Cyrillic,муодила,equation / муодила,tg_Cyrl_TJ/tg_cyrl_zarowadk_choriev_olimov_ktm_algebra_number_theory_2017.pdftotext.txt,"lines 130, 386-408",OCR-located-in-native-PDF,0.6,source-discovery-witness-not-promoted,Tajik source-discovery only.
PTR-PRF-0006,ur,Indo-Aryan,Arabic-Nastaliq,مساوات,equation/equality / مساوات,ur/ur_glossary_technical_terms_english_urdu_mathematics_djvu.txt,line 2545,OCR-witness-only,0.25,OCR-witness-not-source-truth,No promotion without PDF visual check.
PTR-PRF-0007,fa_IR,Iranic,Arabic-Persian,فرمول,formula / فرمول,fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt,"lines 907, 1079",OCR-located-in-native-PDF,0.75,source-witness-pdf-with-ocr-locator,Formula-neighboring use.
PTR-PRF-0007,prs_AF,Iranic,Arabic-Dari,فرمول,formula / فرمول,prs_AF/prs_af_kabul_university_discrete_mathematics_2023-11.pdftotext.txt,"lines 42, 158, 512, 557 and related graph/Boolean contexts",OCR-located-in-native-PDF,0.70,source-witness-pdf-with-ocr-locator,Replaced stale Pashto-cited row with independent Kabul University Dari/Persian C2 witness. Dari/Persian Afghanistan anchor; Pashto فورمول evidence is retained separately as ps_AF adjacent evidence.
PTR-PRF-0007,tg_Cyrl_TJ,Iranic,Cyrillic,формула,formula / формула,tg_Cyrl_TJ/tg_cyrl_zarowadk_choriev_olimov_ktm_algebra_number_theory_2017.pdftotext.txt,line 200,OCR-located-in-native-PDF,0.6,source-discovery-witness-not-promoted,Tajik source-discovery only.
