"field","value","source","boundary"
"current_b3_verified_frontier","32e14f174bd9436bfa31dd5488d712cab56af345","user delegation and Non-Slavic 32E packet","current B3 verified frontier for this wake"
"prior_branch_frontier","ce79dd0f4ae81b6ef1fb45558b2d85cf4eadd4f9","Non-Slavic 32E packet","prior branch context only"
"prior_local_frontier","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","ACTIVE_SESSION_STATE before 32E build","local Persianate/Tajik packet lineage"
"branch_delta_ce79_to_32e_ahead_by","1","Non-Slavic SUMMARY.json","route delta count only"
"branch_delta_ce79_to_32e_changed_paths","80","Non-Slavic SUMMARY.json","route delta count only"
"branch_subject","Add CE79 OLP 330 Non-Slavic route batch","OLP and Non-Slavic README","route/package visibility only"
"b3_context","B3_POST_CE79DD0F_NONSLAVIC_2BBE_OLP_R2_R9_ROMANCE_ROUTE_20260707 has issue files only in local scan","local B3 output scan","held/issue context; not promotion evidence"
"non_slavic_route_package","NON_SLAVIC_CORE_32E14F17_CE79_OLP_330_B3_ROUTE_20260707","sibling Non-Slavic output","source-use/provenance/gap only"
"olp_source_use_package","OLP_32E14F17_SOURCE_USE_FABLE_CE79_ROUTE_20260707","sibling OLP output","Fable/source-use support only"
"direct_persianate_source_body_evidence_changed","false","Non-Slavic EIGHT_LANE_ROUTING_ROWS_32E14F17.csv","no fa_IR/prs_AF/tg_Cyrl_TJ promotion"
"source_body_promotions","0","Non-Slavic README and route rows","zero-claim boundary"
"real_reviewer_return_rows","0","OLP SOURCE_REVIEWER_EVIDENCE_COUNTS_32E14F17.csv","no native review or accepted terminology"
"mapping_translation_approval_delta","0/0/0","OLP ZERO_CLAIM_LEDGER_32E14F17.csv","no mapping, translation, or approval promotion"
"local_git_verification","blocked: not a git repository in this language-lane workspace","git status in local workspace","record blocker; do not push"
"language_lane_push","no","user instruction and packet policy","handoff only"
