"row_id","current_live_frontier","prior_local_frontier","sublane","row_bucket","topic","draft_target_or_status","source_context_locator","source_or_witness_path","source_hash_status","heartbeat_delta_note","manual_review_note","boundary_guard","source_use_label","output_label","continuation_note"
"08bc-manual-001","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","fa_IR","source-gated generated-draft support","Noetherian ring","نوتری","pdf-page-4:line-28:utf16-24","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","hash-match","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","Carry forward only as source-context support from the FAA2C330 package. Current 8B525A12 frontier is recorded as a branch/frontier update, not a review or approval gate.","fa_IR evidence does not authorize prs_AF or tg_Cyrl_TJ.","source-gated generated-draft; non-canonical","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-002","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","fa_IR","source-gated generated-draft support","ideal","ایدهآل","pdf-page-4:line-30:utf16-37","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","hash-match","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","Carry forward only as source-context support from the FAA2C330 package. Current 8B525A12 frontier is recorded as a branch/frontier update, not a review or approval gate.","fa_IR evidence does not authorize prs_AF or tg_Cyrl_TJ.","source-gated generated-draft; non-canonical","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-003","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","fa_IR","source-gated generated-draft support","field","میدان","pdf-page-6:line-11:utf16-40","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","hash-match","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","Carry forward only as source-context support from the FAA2C330 package. Current 8B525A12 frontier is recorded as a branch/frontier update, not a review or approval gate.","fa_IR evidence does not authorize prs_AF or tg_Cyrl_TJ.","source-gated generated-draft; non-canonical","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-004","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","fa_IR","source-gated generated-draft support","ring","حلقه","pdf-page-1:line-17:utf16-33","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-002_Shahrood_zero_divisor_matrix_rings.pdf","hash-match","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","Carry forward only as source-context support from the FAA2C330 package. Current 8B525A12 frontier is recorded as a branch/frontier update, not a review or approval gate.","fa_IR evidence does not authorize prs_AF or tg_Cyrl_TJ.","source-gated generated-draft; non-canonical","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-005","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","prs_AF","source-acquisition gap","algebra","no source-gated Dari rendering emitted","none; independent Dari source witness still missing","language-source-bodies/rtl-persianate-arabic/persianate-tajik/prs_AF rows remain blocker-only in carried local packets","not applicable; no independent prs_AF row source","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","Continue Afghan/Dari source-body recovery. Iranian Persian fa_IR and Pashto ps_AF materials remain adjacent-only and cannot authorize Dari rows.","prs_AF gate remains separate from fa_IR, ps_AF, tg_Cyrl_TJ, Urdu, Arabic, and Ottoman/Turkic.","source-acquisition gap; no generated draft row","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-006","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","prs_AF","source-acquisition gap","field","no source-gated Dari rendering emitted","none; independent Dari source witness still missing","language-source-bodies/rtl-persianate-arabic/persianate-tajik/prs_AF rows remain blocker-only in carried local packets","not applicable; no independent prs_AF row source","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","Continue Afghan/Dari source-body recovery. Iranian Persian fa_IR and Pashto ps_AF materials remain adjacent-only and cannot authorize Dari rows.","prs_AF gate remains separate from fa_IR, ps_AF, tg_Cyrl_TJ, Urdu, Arabic, and Ottoman/Turkic.","source-acquisition gap; no generated draft row","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-007","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","prs_AF","source-acquisition gap","simple","no source-gated Dari rendering emitted","none; independent Dari source witness still missing","language-source-bodies/rtl-persianate-arabic/persianate-tajik/prs_AF rows remain blocker-only in carried local packets","not applicable; no independent prs_AF row source","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","Continue Afghan/Dari source-body recovery. Iranian Persian fa_IR and Pashto ps_AF materials remain adjacent-only and cannot authorize Dari rows.","prs_AF gate remains separate from fa_IR, ps_AF, tg_Cyrl_TJ, Urdu, Arabic, and Ottoman/Turkic.","source-acquisition gap; no generated draft row","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-008","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","prs_AF","source-acquisition gap","ring","no source-gated Dari rendering emitted","none; independent Dari source witness still missing","language-source-bodies/rtl-persianate-arabic/persianate-tajik/prs_AF rows remain blocker-only in carried local packets","not applicable; no independent prs_AF row source","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","Continue Afghan/Dari source-body recovery. Iranian Persian fa_IR and Pashto ps_AF materials remain adjacent-only and cannot authorize Dari rows.","prs_AF gate remains separate from fa_IR, ps_AF, tg_Cyrl_TJ, Urdu, Arabic, and Ottoman/Turkic.","source-acquisition gap; no generated draft row","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-009","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","tg_Cyrl_TJ","source-discovery only","Tajik Wikipedia raw wikitext - Алгебраи хаттӣ","no promoted Tajik term/rendering","discovery row; exact formula-neighboring review still required","tg_Cyrl_TJ/tg_cyrl_linear_algebra_wikipedia.raw.txt","FBF1074CC8AFEAA2681E5D548AB4CACEACED30A85D34F5072F4AF8F690C355A3","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","verify source-language relevance and exact formula-neighboring term context before any Tajik row promotion","Tajik Cyrillic remains discovery/witness-review only; does not authorize fa_IR or prs_AF.","native-source-body","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
"08bc-manual-010","32e14f174bd9436bfa31dd5488d712cab56af345","2bbebc4e7883ce89ec1dbee8543e47ce84356d19","tg_Cyrl_TJ","source-discovery only","Maorif Tajik algebra grade 11 candidate","no promoted Tajik term/rendering","discovery row; exact formula-neighboring review still required","tg_Cyrl_TJ/tg_cyrl_maorif_algebra_grade11_2024_candidate.pdf","AD9C1869625341ABFB5AFE0B6134C3EDABC177C9CC5A7E9BD9339F3ADFE211D4","08BC heartbeat carry-forward; facts unchanged unless listed in blocker/recovery rows.","verify source-language relevance and exact formula-neighboring term context before any Tajik row promotion","Tajik Cyrillic remains discovery/witness-review only; does not authorize fa_IR or prs_AF.","source-discovery-body","generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","32E14F17 32E14F17 B3 verified CE79 OLP 330 Non-Slavic route batch carryforward carry-forward from 2bbebc4e7883ce89ec1dbee8543e47ce84356d19; no native review, source certification, gate promotion, or completion claim."
