"child_packet","csv_name","rows","bytes","sha256","label"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_B3_UPLOADER_READY_SUMMARY.csv","1","1372","F69169A03C9DA83EF331F56170C39B1A745AA148835A37F42E0121FACEAEE29F","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_BRANCH_DELTA_C4304BFD_TO_B95298E7_ALL_PATHS.csv","149","109884","3A5D93B1A32790D38878AE9321C0E5B6199375FE816888826CAD541CCAC8B028","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_BRANCH_DELTA_C4304BFD_TO_B95298E7_CJK_SIGNAL_PATHS.csv","0","82","5F0B8F08A5C5475F2603E6A8234C58077CFE98A4D1435D81932497795CE35C6A","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_BRANCH_FRONTIER_RECONCILIATION.csv","8","888","CC282451D7D2801A9164B4DB87951383B21D5829ABE8822C2741751AF5A17600","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_CJK_ROUTE_PACKET_CLASSIFICATION.csv","0","147","301BAB5EFB8B73669AF7B7C092D54D2D9ADF8B4E05F2BC34CC298158D2FD4C65","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_CURRENT_BRANCH_LOG_TOP.csv","10","4741","147ED8A89CF6DABE44CB065DCC7E3B89D6DE6FC61D1EC1C83A3488ED6770B842","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_DELTA_COMMITS_C4304BFD_TO_B95298E7.csv","1","584","6F72CF7D8A0E2A8EA130CEDC711D7191317FD5CF727E573ACD2BB58E6875CB90","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_EXACT_BLOCKERS_AND_RECOVERY_ROWS.csv","5","3694","933F0B63E0A0F5177B3C697413325483B5AA9E4DF57F4DD7A39BE86BED6E7B68","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_HARDENED_HEARTBEAT_MUTUAL_WAKE_RULES.csv","3","2113","E85632433523F27FF9AE2938CEA5BDD24C3718ED9DBF11E0ECC2B72ABFD580F1","CJK child-return/source-use provenance"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","CJK_NATIVE_B95298E7_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707_JA_ZH_SOURCE_BASELINE_CARRYFORWARD.csv","0","2","7EB70257593DA06F682A3DDDA54A9D260D4FC514F645237F5CA74B08F8DA61A6","CJK child-return/source-use provenance"
