"decision_id","evidence_class","authority_role","unit_id","source_term_or_delta","source_locator","target_locator","chosen_english_or_action","normalization_class","adverse_delta","rejected_alternative","motivation","status","confidence","record_revision","continuation_cursor","revisit_condition"
"SGA2-VIII-C23-POC-TERM-001","terminology","corrected_french_tex","SGA2-VIII-C23-POC-ASSUME","Supposons ces resultats acquis","French line2683","opening assumption","Assume these results established","mathematical_proof_register","candidate uses acquired as a false friend","Suppose these results acquired","idiomatic English while preserving the provisional reduction","applied_self_reviewed","high","1","French source line2715 after blank line2714","independent register review"
"SGA2-VIII-C23-POC-TERM-002","terminology","corrected_french_tex","SGA2-VIII-C23-POC-ASSUME","spectre d'un anneau noetherien regulier","French line2683","opening assumption","spectrum of a regular Noetherian ring","established_SGA2_register","none","spectrum of a Noetherian regular ring","standard English mathematical ordering and capitalization","applied_self_reviewed","high","1","French source line2715 after blank line2714","SGA-wide terminology revision"
"SGA2-VIII-C23-POC-TERM-003","terminology","corrected_french_tex","SGA2-VIII-C23-POC-ASSUME","module de dimension projective finie","French line2683","opening assumption","module of finite projective dimension","standard_homological_register","none","finite-dimensional projective module","avoid changing the homological invariant","applied_self_reviewed","high","1","French source line2715 after blank line2714","authority replacement"
"SGA2-VIII-C23-POC-TERM-004","terminology","corrected_french_tex","SGA2-VIII-C23-POC-LOCAL","recouvrement ouvert","French lines2685-2686","locality paragraph","open covering","established_SGA2_register","none","open cover","retain the current lane's formal register","applied_self_reviewed","high","1","French source line2715 after blank line2714","SGA-wide register revision"
"SGA2-VIII-C23-POC-TERM-005","terminology","corrected_french_tex","SGA2-VIII-C23-POC-LOCAL","ouverts immergeables dans un schema regulier","French lines2686-2687","locality paragraph","open subsets embeddable in a regular scheme","geometric_register","none","opens immersible into a regular scheme","idiomatic English and same object class","applied_self_reviewed","high","1","French source line2715 after blank line2714","SGA-wide terminology revision"
"SGA2-VIII-C23-POC-TERM-006","terminology","corrected_french_tex","SGA2-VIII-C23-POC-LOCAL","conjonction des conditions analogues","French lines2688-2691","locality equivalence","conjunction of the analogous conditions","logic_register","none","collection of similar conditions","preserve the exact logical conjunction","applied_self_reviewed","high","1","French source line2715 after blank line2714","authority replacement"
"SGA2-VIII-C23-POC-TERM-007","notation_policy","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-POC-CJDEF","c_j(x) codim formula","French lines2693-2696 physical79","displayed formula","preserve c_j(x) and the codimension argument order exactly","source_notation_preservation","initial oversized delimiter emitted one forbidden extraction byte","use plain-text code block or retain extraction-hostile delimiter sizing","formula content controls typography and machine extraction normalization is nonsemantic","applied_rebuilt_self_reviewed","high","2","French source line2715 after blank line2714","independent formula and extraction review"
"SGA2-VIII-C23-POC-TERM-008","terminology","corrected_french_tex","SGA2-VIII-C23-POC-WITNESS","donne la codimension","French line2698","witness sentence","realizes the codimension","standard_mathematical_register","candidate says gives the codimension","gives the codimension","realizes states the witness role idiomatically without changing the equality","applied_after_root_phrase_review","high","2","French source line2715 after blank line2714","independent register review"
"SGA2-VIII-C23-POC-TERM-009","terminology","corrected_french_tex","SGA2-VIII-C23-POC-WITNESS","un ouvert du recouvrement","French lines2699-2700","witness sentence","a member of the covering","set_theoretic_register","none","an open of the covering","idiomatic English while X_j remains explicitly an open subset","applied_self_reviewed","high","1","French source line2715 after blank line2714","SGA-wide terminology revision"
"SGA2-VIII-C23-POC-TERM-010","logic_policy","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-POC-DIR","a pour les X_j entraine a pour X","French lines2701-2702 physical79-80","first conclusion","condition (a) for the X_j implies condition (a) for X","source_logic_preservation","direction crosses a physical-page boundary","condition a for X implies condition a for every X_j","retain local-to-global implication exactly","applied_self_reviewed","high","1","French source line2715 after blank line2714","independent logic review"
