path,role,status
README.md,human-facing entry point,current
tex/interslavic_latin/,16 editable Interslavic Latin units,Tranche 001 applied
tex/interslavic_cyrillic/,16 editable Interslavic Cyrillic units,Tranche 001 synchronized
tex/russian_unchanged/,16 editable Russian controls,unchanged in this tranche
tex/ukrainian_unchanged/,16 editable Ukrainian controls,unchanged in this tranche
pdf/interslavic_latin/,16 compiled Latin readers,build-checked
pdf/interslavic_cyrillic/,16 compiled Cyrillic readers,build-checked
pdf/russian_unchanged/,16 compiled Russian controls,build-checked
pdf/ukrainian_unchanged/,16 compiled Ukrainian controls,build-checked
sources/translation_generation_source/,German slice English control and source scan,generation provenance
sources/current_german_authority/,R821-integrated German cumulative and status,current authority control
translation_units/,16 coverage and terminology records,working metadata
audit/,change build and invariant evidence,current
methodology/,production directives,current
scripts/,deterministic tranche application script,current
render_checks/,visual QA contact sheets,current
