lane,packet_path,manifest_rows,manifest_missing_rows,manifest_mismatch_rows,manifest_sha256,sha256sums_sha256
Arabic RTL,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_AEED56E7_2BD_R3_R6_NONSLAVIC_RECOVERY_ROUTE_20260707,96,0,1,D935AB6973F7FA8B8AF8F518155609FA213659E5C8494C6DF3DB68A192CF4379,982C096A4477038B0C2E75532EC21B8EC28F2510A2158DB7056B8D3A3EB1F9C1
Persianate/Tajik,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_AEED56E7_TOKEN_RESET_RECOVERY_20260707,30,30,0,A537FAC229B34ABD4EF669D3CBDE5DACAF8D310042026C0F31657D336C324CFE,8732FBD503CB58DE07ED98D2876C1FD9BA10C5D45084FF0F2E04BE84F5FF339E
CJK native/source,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_20260707,18,0,0,CA20689327ED7EC280C943D74E98958A954ADFA477A797F7371C5143BED3D9B8,0509E8CC843B0282BC51FD4EFF76C116DCBAA986FD1C0306798179B9F0E0A7FC
R6 Indigenous/Creole/Sign AEED,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_AEED56E7_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707,16,0,0,424B2D88F9F247C482E9A6F2A22DB008C903159AD76BC98FE9F764FF5E8EC7DD,FAD20377BA65CFAF603C9D5881F03844E8005DAB9AF8C5D46AF07FFC0910D250
R6 Indigenous/Creole/Sign 6A dedup,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707,10,0,0,96DCEC7C22621F5FD5CEF7DACB16783A23BDBFF93494C1AA1F56D97844B164D2,D5D4326B6DBCE4F5590FA2DDF6E098688F7770D6B1C314057685F0D457E1CF43
R3 Arabic/Persianate held/repaired,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z,10,0,0,CD6613CD12F3A39A673793B531AFFA8354D634A5147D5B08561A2999FC50A8C1,761DFC6B3F3A6A71367665F8402D1E44DFC9E983777998F1ECBA733B2251864A
R9 Africa/Horn/West,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_AEED56E7_FRONTIER_RECOVERY_ROUTE_INTAKE_20260707,18,0,0,A146476A10079ABC9B85A015A61793D1DE3EC6B8F70D15C61DFD2E131206677D,359CCF37FBD786B3E66FAB28BC20EF0534E3C2B6B63E7F0C55D71C655F3823A3
CJK OLP/review support,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_6A895F1C_AEED_PARENT_REVIEW_SUPPORT_ACCOUNTING_20260707,10,0,0,A28F708314876BDFCC051F406C0697264A2806D07EF6DFBC6FA9677A1C8B8C6C,EDEB4190202329C1E1C38ECA2EBAC9582A09F4AE03FB34663F0B745D53779768
Slavic isolation watcher,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_AEED56E7_LIVE_FRONTIER_DELTA_WATCHER_20260707,15,0,0,AFAFB740BB8B2FB297528064B1CD8AC9142FC6B739BFB8DEC0FE6A1D9EC2A6A0,504B9AAD70B43D74E4D796EDDCB893E36D7D97443C5E85D91B0CF97EBF3CB798
B3 AEED route batch,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_2BD3E449_R3_R6_NONSLAVIC_2BD_RECOVERY_ROUTE_BATCH_20260707,11,0,0,82939A878673426B816346736B3F3A3D88A6E7FC87C7442426F3F9E920820F22,A686E0A7F1DC1662D457861EB8C03624061C4882BC768DAD8A2BD119D5F93971
B3 6A R6 dedup / R3 hold,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707,12,0,0,4DA182DCC6273010987B0B01EB8BE612F5100FDA7D3B969B1BBE59D6D8E1D356,9D8B83FDF46F243AF5682C8584B8BF72EAE643FD8F4266CCDD8C586E8BF0D14F
