"observed_head","carried_from_head","language","bcp47","hard_row","row_class","exact_source_status","source_phrase_or_context","formula_neighboring_usage","local_path","sha256","blocker_preserved","closure_allowed","draft_support","next_recovery_or_gate","source_use_label","boundary"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-NOETHERIAN-RING","source-gated generated-draft/noncanonical support","line 184: * [[Нётер ҡулсаһы]]","Нётер ҡулсаһы","ring-family row, no formula on same line","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\ba\wikitext-20260629T101500Z\Ring (mathematics)__Ҡулса (математика).wiki","44d821f09fd2a071eb7c53734c5dae665fba051de2db25685732f501661ee4b2","True","False","Noetherian ring / Noether ring (draft support, source-row anchored)","B3/reviewer may decide whether transition ledger should mark support recovered; this lane keeps no promotion claim","source-gated-generated-draft/noncanonical","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","source-gated generated-draft/noncanonical support","line 133: күпбыуындар ҡулсаһы with R[x_1,x_2,...,x_n] and R[x][y]=R[x,y]","күпбыуындар ҡулсаһы","R[x_1,x_2,...,x_n]; R[x][y]=R[x,y]; tensor formula","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\ba\wikitext-20260629T101500Z\Ring (mathematics)__Ҡулса (математика).wiki","44d821f09fd2a071eb7c53734c5dae665fba051de2db25685732f501661ee4b2","True","False","polynomial ring (draft support, formula-neighboring source-row anchored)","Reviewer/source review required before any transition update","source-gated-generated-draft/noncanonical","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","source-gated generated-draft/noncanonical support","line 11: k[x] [[күпбыуындар ҡулсаһы]] near principal ideals, zero ideal, maximal ideal","күпбыуындар ҡулсаһы","k[x] over field k; ideals, zero ideal, maximal ideal in same row","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\ba\wikitext-direct-20260705\DirectWikiAPI__Коммутатив ҡулса.wiki","b65e6a3d65184941b2a7ec86023717907be828163b82d2a58c70d093ab0bd7fd","True","False","polynomial ring (draft support, formula-neighboring source-row anchored)","Reviewer/source review required before any transition update","source-gated-generated-draft/noncanonical","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Bashkir","ba","L-POLYNOMIAL-RING","source-gated generated-draft/noncanonical support","lines 44-47: күпбыуындар балдағы properties over domains, factorial rings, and fields","күпбыуындар балдағы","polynomial-ring properties; register variant балдаҡ/балдағы","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\language-source-bodies\pan-turkic\bodies\ba\wikitext-20260629T101500Z\Polynomial__Күпбыуын.wiki","a866b9f7cf2b4dfdc2d6b1a53b0ebb16ea212adacd90454703de24548159851b","True","False","polynomial ring (register alternative, reviewer decision required)","Reviewer decides register handling; no term promotion from this lane","source-gated-generated-draft/noncanonical","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Azerbaijani","az","L-NOETHERIAN-RING","zero-row/gap recovery blocker","no zero-row payload row found","locate exact target-language mathematical source body or reviewer return for this row","","","","True","False","","continue exact target-language source-body/reviewer-return recovery","gap/recovery/blocker-preservation","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Azerbaijani","az","L-POLYNOMIAL-RING","zero-row/gap recovery blocker","no zero-row payload row found","locate exact target-language mathematical source body or reviewer return for this row","","","","True","False","","continue exact target-language source-body/reviewer-return recovery","gap/recovery/blocker-preservation","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Kazakh","kk","L-NOETHERIAN-RING","zero-row/gap recovery blocker","no zero-row payload row found","locate exact target-language mathematical source body or reviewer return for this row","","","","True","False","","continue exact target-language source-body/reviewer-return recovery","gap/recovery/blocker-preservation","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Kyrgyz","ky","L-NOETHERIAN-RING","zero-row/gap recovery blocker","searched-path blocker row; no exact source body","searched local bodies: bodies/ky/wikitext-20260629T101500Z; bodies/ky/wikitext-direct-20260705; bodies/ky/pdf-witnesses; bodies/ky/current-probe; bodies/ky/current-web-hard-row-20260706; ocr-witnesses/ky","ring-neighborhood PDF contains factor-ring glossary terms but no Noetherian-ring row","","","True","False","","Find exact Kyrgyz Noetherian-ring source row or reviewer return","gap/recovery/blocker-preservation","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Kyrgyz","ky","L-POLYNOMIAL-RING","zero-row/gap recovery blocker","searched-path blocker row; ring-neighbor body only","glossary PDF plus OCR: фактор-шакек lines 194, 246; polynomial neighbors lines 136, 238, 305; no көп мүчөлөр шакеги row","factor-ring and polynomial glossary neighbors only; no R[x] or polynomial-ring formula row","","","True","False","","Search Kyrgyz university algebra notes for көп мүчөлөр шакеги or formula-neighboring R[x]","gap/recovery/blocker-preservation","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","faa2c330deb886098750dafb5c500e244e1333fe","Tatar","tt","L-NOETHERIAN-RING","zero-row/gap recovery blocker","searched-path blocker row; no exact source body","searched local bodies: bodies/tt/pdf-witnesses; bodies/tt/current-probe; bodies/tt/prior-retry; bodies/tt/wikitext-20260629T101500Z; ocr-witnesses/tt; source-rescribe-workpass/tt","Tatar algebra/polynomial bodies exist, but no Нётер/Нетер боҗрасы source row","","","True","False","","Find exact Tatar Noetherian-ring source row in math dictionary, textbook, university PDF, source archive, or reviewer return","gap/recovery/blocker-preservation","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
