"observed_head","language","bcp47","hard_row","source_use_label","exact_source_status","permitted_use","not_permitted_use","closure_allowed","reviewer_return_required","boundary"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Bashkir","ba","L-NOETHERIAN-RING","source-gated-generated-draft/noncanonical","line 184: * [[Нётер ҡулсаһы]]","source-context note; generated-draft/noncanonical pretranslation support; reviewer routing","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Bashkir","ba","L-POLYNOMIAL-RING","source-gated-generated-draft/noncanonical","line 133: күпбыуындар ҡулсаһы with R[x_1,x_2,...,x_n] and R[x][y]=R[x,y]","source-context note; generated-draft/noncanonical pretranslation support; reviewer routing","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Bashkir","ba","L-POLYNOMIAL-RING","source-gated-generated-draft/noncanonical","line 11: k[x] [[күпбыуындар ҡулсаһы]] near principal ideals, zero ideal, maximal ideal","source-context note; generated-draft/noncanonical pretranslation support; reviewer routing","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Bashkir","ba","L-POLYNOMIAL-RING","source-gated-generated-draft/noncanonical","lines 44-47: күпбыуындар балдағы properties over domains, factorial rings, and fields","source-context note; generated-draft/noncanonical pretranslation support; reviewer routing","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Azerbaijani","az","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","no zero-row payload row found","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Azerbaijani","az","L-POLYNOMIAL-RING","gap/recovery/blocker-preservation","no zero-row payload row found","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Kazakh","kk","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","no zero-row payload row found","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Kyrgyz","ky","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","searched-path blocker row; no exact source body","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Kyrgyz","ky","L-POLYNOMIAL-RING","gap/recovery/blocker-preservation","searched-path blocker row; ring-neighbor body only","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Tatar","tt","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","searched-path blocker row; no exact source body","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Tatar","tt","L-POLYNOMIAL-RING","gap/recovery/blocker-preservation","searched-path blocker row; polynomial lexical bodies only","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Turkmen","tk","L-NOETHERIAN-RING","gap/recovery/blocker-preservation","searched-path blocker row; no exact source body","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"fd3754d1f1d286e48791770427f3a2059f1854f5","Turkmen","tk","L-POLYNOMIAL-RING","gap/recovery/blocker-preservation","searched-path blocker row; algebra/polynomial context only","gap ledger; recovery-search planning; blocker preservation","hard-row closure; accepted terminology; canonical approval; bridge/pilot; branch-weight propagation","False","True","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
