defect_id,evidence_class,authority_role,unit_id,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,finding,target_action,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-APP31-SRCDEF-001,witness_independence,direct_compiled_source_pdf_same_edition,SGA2-VIII-APP31,physical84,2874-2886,96-97,84,"compiled French reader is generated from corrected TeX and is not independent corroboration","use only for page layout symbol emphasis and marker checks",same_edition_caveat_applied,high,1,French line2888,independent print witness discovery
SGA2-VIII-APP31-SRCDEF-002,corrected_branch,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31,French2886,2886,96-97,84,"second sisi branch restores de la page pageref condition while original branch suppresses it","translate corrected branch as condition iv on p.74 and retain branch provenance",corrected_branch_applied,high,1,French line2888,authority replacement
SGA2-VIII-APP31-SRCDEF-003,page_system_ambiguity,corrected_french_tex_plus_label_resolution,SGA2-VIII-APP31,French2811-and2886,2886,96-97,84,"pageref condition resolves to recomposed running74; source statement lies on printed93 physical82","state p.74 faithfully and disclose all page systems in authority and ledgers",resolved_by_locator_disclosure,high,1,French line2888,cumulative page-map review
SGA2-VIII-APP31-SRCDEF-004,printed_page_token,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31,French2886-after-verifiee,2886,96-97,84,"pageoriginale p97 token is inside the source line immediately after verifiee rather than at the physical page boundary","place target locator immediately after satisfied and distinguish physical84 running76",locator_preserved,high,1,French line2888,render review
SGA2-VIII-APP31-SRCDEF-005,apparent_scope_tension,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31,French2876-and2879,2876-2879,96,84,"bridge advertises a nonproper morphism while theorem assumes f proper; the composite through open immersion g is the nonproper application","preserve both source statements without changing f and record scope distinction",resolved_no_emendation,high,1,French line2888,proof logic review
SGA2-VIII-APP31-SRCDEF-006,glyph_normalization,corrected_french_style_plus_manager_closed_option_A_and_append_only_lane_control,SGA2-VIII-APP31,style352-and354,2879-2886,96-97,84,"corrected source Fa and Ga are upright operators; manager-closed Option A establishes calligraphic English target F/G as explicit normalization and never literal source preservation","retain the byte-identical calligraphic target under EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001; cite addendum SHA B6870E65A6A36DD6B4A6291CF38A36AC95BF4903541BF65147C0CB60D6E7858D and canonical controls AUTH-005 through AUTH-008",closed_manager_option_A_no_source_emendation_pending_independent_re_review,high,2,French line2888,only explicit SGA2-wide typography-policy replacement
SGA2-VIII-APP31-SRCDEF-007,comparison_lineage,comparison_only_not_authority,SGA2-VIII-APP31,comparison601-630,2874-2886,96-97,84,"jcreinhold is one self-described LLM lineage and uses fenced formula Unicode notation page74 without system caveat and linked citation apparatus","use only for accepted or rejected wording comparison after French audit",comparison_caveat_applied,high,1,French line2888,upstream candidate revision
SGA2-VIII-APP31-SRCDEF-008,unit_boundary,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31,French2887-2888,2887-2888,97,84,"blank2887 separates theorem proof from Proposition3.2 on the same physical source page; source adds no QED","exclude blank and proposition body; add no proof symbol",boundary_preserved,high,1,French line2888,next bounded unit assignment
SGA2-VIII-APP31-SRCDEF-009,target_extraction_failure_and_repair,target_pdf_text_layer,SGA2-VIII-APP31,codimension-and-Leray-displays,2879-and2883-2885,96,84,"enlarged delimiter commands generated two U+0001 extraction bytes although the visual formulas were correct","replace only enlarged delimiters with ordinary source-matching parentheses; preserve mathematical grouping and append failed and repaired states",repair_closed_zero_forbidden_controls_one_formfeed,high,1,French line2888,artifact mutation or extraction regression
SGA2-VIII-APP31-SRCDEF-010,target_glyph_delta,corrected_french_style_plus_target_precedent,SGA2-VIII-APP31,style298-and-French2879,2879,96,84,"source ZZ is mathbf Z while target is mathbb Z","retain target provisionally with explicit formula and terminology adverse-delta records; make no source emendation",open_manager_consolidation_no_source_emendation,high,1,French line2888,SGA-wide notation adjudication or cumulative Expose VIII freeze
SGA2-VIII-APP31-SRCDEF-011,target_glyph_delta,corrected_french_style_plus_target_precedent,SGA2-VIII-APP31,style348-and380,2879-2886,96-97,84,"source R and E are upright operators while target R and E are ordinary math italic","retain target provisionally with exact formula-role preservation and explicit adverse-delta records",open_manager_consolidation_no_source_emendation,high,1,French line2888,SGA-wide notation adjudication or cumulative Expose VIII freeze
SGA2-VIII-APP31-SRCDEF-012,source_internal_glyph_switch,corrected_french_tex_plus_style_manager_closed_option_A_and_target_precedent,SGA2-VIII-APP31,French2879-conclusion-F,2879,96,84,"the theorem conclusion uses plain italic F amid surrounding corrected upright Fa occurrences; manager-closed Option A regularizes both to established English calligraphic F without claiming literal source preservation","retain the byte-identical calligraphic target under EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001 and disclose both source forms; canonical controls AUTH-005 through AUTH-008",closed_manager_option_A_no_source_emendation_pending_independent_re_review,high,2,French line2888,only explicit SGA2-wide typography-policy replacement
SGA2-VIII-APP31-SRCDEF-013,public_evidence_privacy_failure_and_repair,build_transcript_evidence,SGA2-VIII-APP31,old-public-logs-lines95-118,2874-2886,96-97,84,"first sanitized logs replaced only contiguous roots and leaked reconstructable wrapped private MiKTeX font paths across line continuations","retain raw logs internally; replace the whole wrapped font-resource block with one public-safe summary; scan all public text for names directories drive paths and split continuations",repair_closed_strong_privacy_scan_zero_hits,high,1,French line2888,artifact mutation or privacy-regression audit
