alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-APP31-ALIGN-001,section_heading,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-SECTION,SGA2-VIII-APP31,2874,96,84,76,section heading,complete,"Preserve visible section number 3 title Applications and label dependency",production_self_reviewed_pending_independent_seal,high,none,"omit number or treat heading as metadata only",SGA2-VIII-APP31-BRIDGE,French line2888,cumulative assembly,1
SGA2-VIII-APP31-ALIGN-002,application_bridge,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-BRIDGE,SGA2-VIII-APP31,2876,96,84,76,bridge paragraph,complete,"Preserve nonproper-morphism application frame without claiming f is nonproper",production_self_reviewed_pending_independent_seal,high,"f in theorem is proper while composite through open immersion may be nonproper","rewrite theorem f as nonproper",SGA2-VIII-APP31-THM,French line2888,logic review,1
SGA2-VIII-APP31-ALIGN-003,theorem_opening,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-THM,SGA2-VIII-APP31,2878-2879,96,84,76,Theorem3.1 opening,complete,"Preserve f:X to Y preschemes; Y locally Noetherian; f proper",production_self_reviewed_pending_independent_seal,high,none,"schemes or nonproper f",SGA2-VIII-APP31-HYP,French line2888,terminology review,1
SGA2-VIII-APP31-ALIGN-004,theorem_hypotheses,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-HYP,SGA2-VIII-APP31,2879,96,84,76,Theorem3.1 hypotheses,complete,"Preserve local embeddability in regular prescheme; n in Z; U open; coherent O_U-module F; under closed Option A EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001 the upright French F becomes established English calligraphic F and the target is unchanged",production_self_reviewed_manager_policy_closed_pending_independent_re_review,high,"closed Option A is an explicit English normalization from upright French F and never literal source preservation; addendum SGA2_VIII_NGT1_FG_POLICY_POSTSEAL_ADDENDUM_20260719.md SHA B6870E65A6A36DD6B4A6291CF38A36AC95BF4903541BF65147C0CB60D6E7858D; canonical controls AUTH-005 through AUTH-008","claim source F is calligraphic or literal target preservation; mutate the target",SGA2-VIII-APP31-COND; DECISION:EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001,French line2888,only explicit SGA2-wide typography-policy replacement,2
SGA2-VIII-APP31-ALIGN-005,codimension_depth_condition,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-COND,SGA2-VIII-APP31,2879,96,84,76,codimension display and following clause,complete,"Preserve both closures; intersection with X minus U; codimension one; prof F_x at least n",production_self_reviewed_pending_independent_seal,high,"candidate uses bar-x shorthand and raw prof","drop either closure or replace depth operator in formula",SGA2-VIII-APP31-CONCL,French line2888,formula review,1
SGA2-VIII-APP31-ALIGN-006,theorem_conclusion,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-CONCL,SGA2-VIII-APP31,2879,96,84,76,Theorem3.1 conclusion,complete,"Preserve O_Y modules R^p of composite f circle g coherent for p below n and g canonical immersion",production_self_reviewed_pending_independent_seal,high,none,"drop composite parentheses or call g a proper map",SGA2-VIII-APP31-LERAY,French line2888,formula review,1
SGA2-VIII-APP31-ALIGN-007,leray_spectral_sequence,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-LERAY,SGA2-VIII-APP31,2882-2885,96,84,76,proof first paragraph and display,complete,"Preserve Leray; R-star abutment; E_2 p-q indices; nested R^p f_* and R^q g_*",production_self_reviewed_pending_independent_seal,high,"candidate uses bullet and fenced text","R-bullet or code-block formula",SGA2-VIII-APP31-EXT,French line2888,formula review,1
SGA2-VIII-APP31-ALIGN-008,coherent_extension,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-EXT,SGA2-VIII-APP31,2886,96,84,76,proof extension sentence,complete,"Preserve coherent O_X-module G; restriction to U isomorphic to F; EGA I 9.4.3; closed Option A EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001 retains established English calligraphic G/F from upright French G/F with target unchanged",production_self_reviewed_manager_policy_closed_pending_independent_re_review,high,"closed Option A explicitly normalizes upright French G/F to calligraphic English G/F and never claims literal source preservation; canonical controls AUTH-005 through AUTH-008","claim source G or F is calligraphic or literally preserved; mutate the target",SGA2-VIII-APP31-PAGE74; DECISION:EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001,French line2888,only explicit SGA2-wide typography-policy replacement,2
SGA2-VIII-APP31-ALIGN-009,corrected_page_reference,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-PAGE74,SGA2-VIII-APP31,2886,96-97,84,76,proof condition iv clause,complete,"Use corrected second sisi branch: condition iv on p.74; identify 74 as running page with printed93 and physical82 controls",production_self_reviewed_pending_independent_seal,high,"candidate presents page74 without page-system caveat","omit corrected page reference or call it printed page74",OUTBOUND:SGA2-VIII-condition-iv,French line2888,cumulative locator review,1
SGA2-VIII-APP31-ALIGN-010,printed_page_marker,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-APP31-MARKER,SGA2-VIII-APP31,2886,96-97,84,76,gray printed-page marker after satisfied,complete,"Place printed-p97 locator at source token position immediately after verifiee or satisfied while retaining physical84 and running76",production_self_reviewed_pending_independent_seal,high,"margin marker visually shifts but source token position is recorded","equate printed97 with physical84 or place token at line start",SGA2-VIII-APP31-FIN,French line2888,locator review,1
