physical_page	source_record_sha256	english_record_sha256	alignment_finding	status
1	0DC0216CD224F747BD8F6C2DE486E9B61ABFCCF649BB9F7824D8E442022F1F20	6C830A0E01956AB977CCD4A970BF67E48B0AEE7401BB65850CFBB0B5DA11FABD	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
2	E1AB6606838FCC5EB6A73C512F09661EE2BA848B34F22879A0E2F21EF5A1F06F	32B37E9ED540690C1FAAD13C1720A2D55990423A1E00973C9FF01D54DF6323C9	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
3	9A1F5823A1F04E717CA4F20DA6730A8EE07FADABF3747A01F5D67388D42F6584	07385662302A951286DFB6FF09CFCAAE1E1C3FECA5976C13DE13B86F09CF2883	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
4	C0EE889F6DC1705BDA3ED15DE313D35D7A7650B1CCFD85C93DA23F18D08B56B0	537004D7DDDC0195A7C84B1B2465280699F960F2780FABB167F1BFAB7ABEE815	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
5	AF911FFCB5F6C052D57383DFA5A0882B5399A271AD863F8A4622EECC71BAF728	21A3A3D10550E564CD70401870B62D8A51A8F949DB9E605CF4752D297D970777	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
6	1AAD6B9965029912C355ED6B5188E0FE83965D829002026E694A12E94883CE9D	F38AC5E1C7F3B80109651A1D4B71D630798E2332B133FF5D3EA9B72B7404551C	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
7	E694A168AE4E6730B29D57F41D2D635192E8ACB3CBD4BBD96DB1EAA37A93499C	4E3057F1795113251794B7A4F6F21391D74E80526FF9A5AB8DA7E54A31914FD4	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
8	AEB5A8535BD39DC11571C9AA6C4CDC9EE499675DDEB460EBDDFCAC6038FC750E	433FCEF43D813D8275127C55018B94D103C6CBA0E2098AD5B79486EA419C4F11	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
9	0B873B65CA40CD905DBE2AE336BE3B0BB974EBC64381002AE16358DF2B5242FD	7E110D728AB81479C33AA900481594881F20A6081AA9D1934B2AC3140AEEA8E9	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
10	8F5F9D8C90D8FA78B95E6077A81E92F28AD485E8EE46F84A595A9F1BF8141CDC	9DDEC31CFA2B76BE5AF29FB6A66F7CAB7172E93A66D7439BC753D4CD963EF284	Standalone English checked against frozen French; theorem numbering, formulas, page boundary, roles, and terminal matter aligned.	COMPLETE
