physical_page	canonical_archive_path	byte_identity_group	finding	disposition	status
1	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Authority freeze corrected the title accent to COMPLÉMENT and retained Pierre Deligne as sole author; candidate layout and title were rejected.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
1	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Authority freeze corrected the title accent to COMPLÉMENT and retained Pierre Deligne as sole author; candidate layout and title were rejected.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
2	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Authority freeze retained page-local wording and Theorem 3; candidate normalization was not used as source.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
2	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Authority freeze retained page-local wording and Theorem 3; candidate normalization was not used as source.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
3	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Candidate rewrites the printed exact sequence; authority form beginning with ℤ was restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
3	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Candidate rewrites the printed exact sequence; authority form beginning with ℤ was restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
4	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Candidate reads 'de Lê'; authority reads '[6]'. Authority page boundary for Conjecture 1.3 was retained.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
4	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Candidate reads 'de Lê'; authority reads '[6]'. Authority page boundary for Conjecture 1.3 was retained.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
5	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Candidate changes φ(k), the sphere inequality, and omits the commutative diagram; authority readings were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
5	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Candidate changes φ(k), the sphere inequality, and omits the commutative diagram; authority readings were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
6	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Candidate drops closure bars and changes an inequality in the Lemma 1.5 proof; authority readings were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
6	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Candidate drops closure bars and changes an inequality in the Lemma 1.5 proof; authority readings were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
7	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Candidate silently changes printed π₁(V,z), reindexes the hyperplanes, and alters the neighborhood formula; authority readings were retained.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
7	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Candidate silently changes printed π₁(V,z), reindexes the hyperplanes, and alters the neighborhood formula; authority readings were retained.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
8	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Candidate substitutes simplified two-panel TikZ and shifts Section 2; complete three-stage authority diagram and physical boundary were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
8	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Candidate substitutes simplified two-panel TikZ and shifts Section 2; complete three-stage authority diagram and physical boundary were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
9	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Candidate omits the local diagram, replaces ū, rewrites the exact sequence, and shifts 2.3; authority readings were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
9	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Candidate omits the local diagram, replaces ū, rewrites the exact sequence, and shifts 2.3; authority readings were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
10	candidate_d036/36_Groupe_Fondamental.tex	SHA256_AA2B61189B7B	Candidate shifts proof matter onto page 10 and omits/normalizes terminal details; authority bibliography, postscript, address, and EOF were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
10	candidate_d036/36_Groupe_Fondamental.pdf	SHA256_80084FED9531	Candidate shifts proof matter onto page 10 and omits/normalizes terminal details; authority bibliography, postscript, address, and EOF were restored.	ZERO_ACCEPTED_POST_FREEZE_LOCATOR_ONLY	COMPLETE
