volume,source_pages,section,figure,audit_status,action
I,p.113,§33,Fig. 1,missing from earlier cumulative pass; source page rendered and checked,added as TikZ to Volume I German and English cumulative PDFs in this release
I,pp.145-151,§§44-46,Fig. 2,present in prior cumulative record,retained
I,p.159,§48,Fig. 4,present in prior cumulative record,retained
I,p.276,§85,Fig. 5,present in prior cumulative record,retained
I,p.287,§94,Fig. 6,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.287,§94,Fig. 7,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.288,§94,Fig. 8,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.289,§94,Fig. 9,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.290,§94,Fig. 10,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.293,§96,Fig. 11,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.293,§96,Fig. 12,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.295,§97,Fig. 13,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.295,§98,Fig. 14,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
I,p.297,§98,Fig. 15,visible in current source scan and checked against rendered source pages,reproduced as TikZ in new independent German/English PDFs and appended Volume I cumulative PDFs
