row_id,lane_or_scope,bucket,evidence_artifacts,covered_draft_action,source_acquisition_action,boundary
C-SUFF-001,CJK covered source-canon transition rows,source-canon sufficient for scoped draft work,NOETHER_CJK_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.json; NOETHER_CJK_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md,Continue target renderings source-context notes formula-neighbor usage and interlanguage scaffold for covered CJK rows,Keep residual CJK gaps in source-acquisition status,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-002,R2 Pan-Turkic covered sufficiency slice rows,source-canon sufficient for scoped draft work,NOETHER_R2_PAN_TURKIC_SOURCE_CANON_SUFFICIENCY_DRAFT_SLICE_20260705T1620.*,Begin/continue draft support for covered Pan-Turkic rows with source anchors and alternatives,Keep hard blockers and zero-source-package rows as gaps,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-003,R3 Arabic/Persianate covered rows,source-canon sufficient for scoped draft work,R3_SUFFICIENCY_TRANSITION_DRAFT_SUPPORT_20260705T142321Z,Continue draft support rows term alternatives and gap validation,Keep R3 gap rows separate,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-004,Arabic RTL covered source-probed algebra rows,source-canon sufficient for scoped draft work,NOETHER_ARABIC_RTL_SUFFICIENCY_TRANSLATION_TRANSITION_SHA256_20260705.txt; Arabic rollup/probe artifacts,Start/continue RTL draft support with formula-neighbor and rendering checks,Continue probes for rows lacking source anchors,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-005,Persianate covered source-evidence rows,source-canon sufficient for scoped draft work,NOETHER_PERSIANATE_TAJIK_SOURCE_SUFFICIENCY_TRANSLATION_TRANSITION_DRAFT_20260705.md,Continue Persianate draft support with source-context and register notes,Keep Tajik witness-poor rows as acquisition gaps,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-006,R7 Malay/Indonesian covered rows,source-canon sufficient for scoped draft work,NOETHER_R7_POST_SUFFICIENCY_MALAY_INDONESIAN_DRAFT_BOUNDARY_AUDIT_ROWS_20260705.csv,Continue Malay/Indonesian draft boundary support for covered rows,Keep other R7 weak rows in witness acquisition,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-007,Romance covered witness rows,source-canon sufficient for scoped draft work,NOETHER_ROMANCE_SOURCE_CANON_CONTINUATION_AUDIT_20260704.md; Romance manifests,Continue draft/corpus support only for rows with source-canon witnesses,Keep unresolved witness rows as source-acquisition gaps,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-008,Slavic covered witness rows,source-canon sufficient for scoped draft work,NOETHER_SLAVIC_SOURCE_CANON_HANDOFF_MANIFEST_20260704.*,Covered Slavic witness rows may receive draft support,Keep open blockers and weak-language gaps separate; no RU/UK proxy promotion,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-009,OLP relation/function covered rows,source-canon sufficient for scoped draft work,SESSION_K_FULL_SUPPORT_LANE_PAYLOAD_20260704.*,Continue relation/function draft support from covered payload rows,Keep raw-body omission/source-boundary rows as gaps,draft non-canonical not-native-reviewed not-approved not-complete
C-SUFF-010,Interlanguage scaffold rows grounded by source witnesses,source-canon sufficient for scoped draft work,NOETHER_INTERLANGUAGE_DURABLE_RUN_LOG_20260704.md; package omission rechecks,Build semi-constructed interlanguage scaffolds only with row-level source anchors,Keep missing policy/authority fields as gaps,draft non-canonical not-native-reviewed not-approved not-complete
C-GAP-001,R2 hard blockers and zero source-package rows,source-canon insufficient,NOETHER_R2_PAN_TURKIC_SOURCE_CANON_DELTA_REGISTER_20260705T1403.csv,,Acquire official/community PDF/HTML/text provenance and record source-package absence,source-canon gap no translation
C-GAP-002,Tajik-specific promoted rows,source-canon insufficient,Persianate/Tajik draft artifact manifests,,Acquire concrete Tajik mathematical witnesses language evidence URLs hashes access signals,source-canon gap no translation
C-GAP-003,R7 non-Malay/Indonesian weak rows,source-canon insufficient,R7 coverage and next-action index,,Search target-language witnesses and record access/license blockers,source-canon gap no translation
C-GAP-004,R9 Africa/Horn/West rows without sufficiency transition,source-canon insufficient,R9 artifact manifests and package index,,Acquire row-level target-language witnesses before draft support,source-canon gap no translation
C-GAP-005,R6 Indigenous/Creole/Sign rows without row-level baseline,source-canon insufficient,R6 boundary audit and manifest,,Acquire source witnesses and separate community-language gaps from covered rows,source-canon gap no translation
C-GAP-006,Slavic open blockers and weak-language gaps,source-canon insufficient,Slavic handoff and blocker manifests,,Continue blocker acquisition without proxying from neighboring languages,source-canon gap no translation
C-GAP-007,Rows backed only by generated translation OCR guess or bridge term,source-canon insufficient,Global governance rule,,Require source witness provenance hash and access fields first,source-canon gap no translation
