path	work_id	artifact_role	language_or_layer	pages	bytes	sha256	integration_disposition	audit_status
candidate/CONTENT_MAP.tsv	D038	CONTENT_TOPOLOGY_MAP	BILINGUAL_AND_APPARATUS	58	40252	0D0E197D542D0B0970D87F52535816CD8EF8CE15A5372D5526F56D12FE98A5F5	INCLUDE_IN_SOURCE_CORPUS	PASS
candidate/D038_ENGLISH_CANONICAL.pdf	D038	CANONICAL_READER_PDF	ENGLISH	58	366544	E8796011E3D59B5A6AB5A30C08C0054296AAEB62032E98CA88272AE382CA596C	INTEGRATE_IN_SPARSE_ENGLISH_READER	PASS
candidate/D038_ENGLISH_CANONICAL.tex	D038	EDITABLE_CANONICAL_TEX	ENGLISH	58	207117	BAE50B82D60B57C21CB381F2E43D425E383C9C9FE199F8068E6C075EF2167AFC	INCLUDE_IN_SOURCE_CORPUS	PASS
candidate/D038_RESTRAINED_APPARATUS.pdf	D038	RESTRAINED_APPARATUS_PDF	BILINGUAL	58	216285	81FA71558CBEAC92D457EA29C52F5D422FD0644C9D14597B25FC2AC5F8C0DC8A	INCLUDE_IN_SOURCE_CORPUS	PASS
candidate/D038_RESTRAINED_APPARATUS.tex	D038	RESTRAINED_APPARATUS_TEX	BILINGUAL	58	102047	233C01C22AA82ACAD31CBC41B3F8FAE6937C4147F07B86EF6D786C3B4185E51F	INCLUDE_IN_SOURCE_CORPUS	PASS
candidate/D038_SOURCE_LANGUAGE_CANONICAL.pdf	D038	CANONICAL_READER_PDF	SOURCE_LANGUAGE	58	374006	95CC5FBD7B97911BF1FE8707C02D9E5AB3AFC58563801A1C03BAEDD309D096E9	INTEGRATE_IN_SPARSE_SOURCE_READER	PASS
candidate/D038_SOURCE_LANGUAGE_CANONICAL.tex	D038	EDITABLE_CANONICAL_TEX	SOURCE_LANGUAGE	58	210680	45CE5F35407A1414379F219AF79E7B833D691A4D8E2C5ECABBAC13A7CD3C36C6	INCLUDE_IN_SOURCE_CORPUS	PASS
candidate/IMAGE_FALLBACK_MANIFEST.tsv	D038	IMAGE_FALLBACK_MANIFEST	AUTHORITY_EVIDENCE	58	9294	60C97AE0F2B4D799DAABA68864654BC36811009AB03ED8A85F7B7E85A500621E	INCLUDE_IN_SOURCE_CORPUS	PASS
candidate/assets/authority_pages/p001.png	D038	AUTHORITY_PAGE_IMAGE_FALLBACK	AUTHORITY_EVIDENCE	1	26695	A43B48958006B19FD59CDF3608031505E3091E44D1915524211BE12E20615A59	INCLUDE_IN_SOURCE_CORPUS	PASS
candidate/assets/authority_pages/p002.png	D038	AUTHORITY_PAGE_IMAGE_FALLBACK	AUTHORITY_EVIDENCE	1	67072	4B1DF95773FE725546A6E38CE234A7B5761DD42E411283A392C89CA18E6F144D	INCLUDE_IN_SOURCE_CORPUS	PASS
