"record_id","revision","status","record_class","occurrence_count","inherited_locator","source_locator","source_and_print","inherited_reading","adverse_class","severity","english_disposition"
"N04-S09-ADV-001","1","active","structural_regression","1","inherited line 1294","R823 4477 printed p152 physical35","complete heading note on ternary-domain dissertation sections 1-3","heading note entirely omitted","original-note omission","high","restored as page-qualified note 152-star"
"N04-S09-ADV-002","1","active","apparatus_regression","2","inherited lines 1299 and 1311","R823 4482 and 4494 printed pp152 and154 physical35 and37","page-local note marks 152-double-star and154-star","two generic footnotes lose page-local identities","note-identity flattening","medium","restored both page-qualified identities"
"N04-S09-ADV-003","1","active","emphasis_regression","3","inherited line 1295","R823 4478 printed p152 physical35","three semantic emphasis runs","all three flattened","semantic-emphasis loss","medium","restored form row invariant and ordering-phrase emphasis"
"N04-S09-ADV-004","1","active","emphasis_regression","1","inherited line 1297","R823 4480 printed p152 physical35","higher-form term emphasized","term flattened","semantic-emphasis loss","medium","restored higher-form emphasis"
"N04-S09-ADV-005","1","active","emphasis_regression","1","inherited line 1300","R823 4483 printed p152 physical35","fewer emphasized","fewer flattened","contrast-emphasis loss","medium","restored fewer emphasis"
"N04-S09-ADV-006","1","active","emphasis_regression","2","inherited line 1307","R823 4490 printed p153 physical36","reducible and reducer emphasized","both terms flattened","defined-term emphasis loss","medium","restored both technical terms"
"N04-S09-ADV-007","1","active","emphasis_regression","1","inherited line 1309","R823 4492 printed p153 physical36","complete Theorem IX statement emphasized","only theorem label emphasized","theorem-scope emphasis loss","high","restored full theorem emphasis"
"N04-S09-ADV-008","1","active","emphasis_regression","1","inherited line 1311","R823 4494 printed p154 physical37","Study emphasized","Study flattened","citation-emphasis loss","low","restored citation emphasis"
"N04-S09-ADV-009","1","active","ambiguity_control","0","inherited line 1303","R823 4486 printed p153 physical36","positive integral lattice point with zero-system tension","same historical wording without disposition","unresolved-domain ambiguity","medium","retained literal wording with explicit ledger disposition"
"N04-S09-ADV-010","1","active","ambiguity_control","0","inherited line 1311","R823 4494 printed p153 physical36","source reuses f while describing h","same source reuse without disposition","referential ambiguity","medium","preserved f and explicitly rejected silent renaming"
"N04-S09-ADV-011","1","active","ambiguity_control","0","inherited line 1299","R823 4482 printed p152 physical35","coordinatewise beta at least alpha with one strict coordinate","inequality sign wording left implicit","inequality-scope ambiguity","medium","made coordinatewise and strict-coordinate sense explicit"
"N04-S09-ADV-012","1","active","punctuation_regression","2","inherited lines 1299 and 1311","R823 4482 and 4494 printed pp152 and154 physical35 and37","print places both note calls before terminal punctuation","inherited places both note calls after terminal punctuation","note-call displacement","medium","restored print placement before semicolon and period"
"N04-S09-ADV-013","1","active","structural_formatting_regression","3","inherited lines 1298-1301","R823 4481-4484 printed p152 physical35","print uses criterion labels 1-parenthesis 2-parenthesis 3-parenthesis","inherited default enumerate uses 1-period 2-period 3-period","list-label substitution","low","restored all three print labels"
