"record_id","revision","status","kind","source_locator","print_locator","source_reading","print_reading","target_reading","result","disposition"
"N04-S09-CMP-001","1","active","boundary","R823 4477","printed p152 physical35","section 9 begins after shared-page section 8 close","matching boundary","section 9 heading only","PASS","retain shared-page boundary"
"N04-S09-CMP-002","1","active","original_note","R823 4477","printed p152 physical35 heading mark star","ternary-domain dissertation sections 1-3 note","matching note with page-local star","note 152-star complete","PASS","restore note omitted by inherited English"
"N04-S09-CMP-003","1","active","source_defect","R823 4478","printed p152 physical35","three emphasis runs absent","Formenreihe plus invarianten plus final ordering phrase emphasized","three corresponding English runs emphasized","PASS","N04-S09-SRCDEF-001 restored and disclosed"
"N04-S09-CMP-004","1","active","source_defect","R823 4480","printed p152 physical35","higher-form term not emphasized","higher-form term emphasized","higher form emphasized","PASS","N04-S09-SRCDEF-002 restored and disclosed"
"N04-S09-CMP-005","1","active","inequality","R823 4482","printed p152 physical35","beta-rho at least alpha-rho for rho 1 through n-minus-1 with one strict coordinate","matching","coordinatewise inequalities with one strict coordinate","PASS","clarify strict-coordinate sense"
"N04-S09-CMP-006","1","active","original_note","R823 4482","printed p152 physical35 note mark double-star","mixed greater-than and less-than comparisons imply incomparability","matching","note 152-double-star complete","PASS","retain full note and beta-minus-alpha values"
"N04-S09-CMP-007","1","active","matrix_pairs","R823 4483","printed p152 physical35","two matrix-pair expressions with S and T rows","matching","both matrix-pair expressions retained","PASS","no inherited formula regression"
"N04-S09-CMP-008","1","active","source_defect","R823 4483","printed p152 physical35","weniger unaccented and colon after z B absent","weniger emphasized and colon present","fewer emphasized with idiomatic English punctuation","PASS","N04-S09-SRCDEF-003 and 004 restored and disclosed"
"N04-S09-CMP-009","1","active","ambiguity","R823 4486","printed p153 physical36","positiv ganzzahliger lattice point","matching","positive integral lattice point","PASS","N04-S09-AMB-001 retained without nonnegative normalization"
"N04-S09-CMP-010","1","active","source_defect","R823 4490","printed p153 physical36","reducible and reducer terms unaccented","both technical terms emphasized","both terms emphasized","PASS","N04-S09-SRCDEF-005 restored and disclosed"
"N04-S09-CMP-011","1","active","theorem","R823 4492","printed p153 physical36","only theorem label emphasized","entire Theorem IX statement emphasized","entire English theorem emphasized","PASS","N04-S09-SRCDEF-006 restored and disclosed"
"N04-S09-CMP-012","1","active","proof_symbols","R823 4494","printed pp153-154 physical36-37","S dot T context plus p-rho p-prime-rho and references 45 38 52 11","matching","all symbols and references retained","PASS","no numbered formula belongs to section 9"
"N04-S09-CMP-013","1","active","ambiguity","R823 4494","printed p153 physical36","h described as a multi-row form f","matching","source reuse of f preserved","PASS","N04-S09-AMB-002 retained without renaming"
"N04-S09-CMP-014","1","active","original_note","R823 4494","printed p154 physical37","generic source footnote plus Study unaccented and comma absent","page-local star plus Study emphasized plus comma after locution","note 154-star with Study emphasized and idiomatic comma","PASS","N04-S09-SRCDEF-007 through 009 restored and disclosed"
"N04-S09-CMP-015","1","active","proof_closure","R823 4496","printed p154 physical37","folding of h and reducer conclusion","matching","complete proof closure retained","PASS","retain f g h roles"
"N04-S09-CMP-016","1","active","article_close","R823 4498-4501","printed p154 physical37 and next scan physical38","final applications sentence then two blank lines and next-paper clearpage","matching Paper 4 close","final sentence only with next paper excluded","PASS","next cursor R823 4501"
"N04-S09-CMP-017","1","active","source_defect","R823 4482","printed p152 physical35","note call 152-double-star follows the semicolon","note call 152-double-star precedes the semicolon","note 152-double-star precedes the semicolon","PASS","N04-S09-SRCDEF-010 restored and disclosed"
"N04-S09-CMP-018","1","active","source_defect","R823 4494","printed p154 physical37","note call 154-star follows the period","note call 154-star precedes the period","note 154-star precedes the period","PASS","N04-S09-SRCDEF-011 restored and disclosed"
"N04-S09-CMP-019","1","active","source_defect","R823 4481-4484","printed p152 physical35","default enumerate labels 1-period 2-period 3-period","printed labels 1-parenthesis 2-parenthesis 3-parenthesis","target labels 1-parenthesis 2-parenthesis 3-parenthesis","PASS","N04-S09-SRCDEF-012 restored and disclosed"
