"record_id","revision","status","source_term","chosen_english","rejected_choice","reason","locator"
"N04-S09-TERM-001","1","active","Formenreihe","form row","form series","continues the established Paper 04 Reihe register","R823 4477 onward"
"N04-S09-TERM-002","1","active","Reduktionssatz","reduction theorem","reduction proposition","standard theorem register and heading parallel","R823 4477 onward"
"N04-S09-TERM-003","1","active","höhere Form","higher form","upper form","preserves the source-defined ordering term","R823 4478 onward"
"N04-S09-TERM-004","1","active","Grundfaltung","fundamental folding","basic contraction","continues the established Paper 04 operator register","R823 4480 onward"
"N04-S09-TERM-005","1","active","Matrizenprodukt","matrix product","determinant product","continues the source-defined notation","R823 4483 onward"
"N04-S09-TERM-006","1","active","Wertesystem","value system","value vector","preserves Noether's historical terminology","R823 4484 onward"
"N04-S09-TERM-007","1","active","Mannigfaltigkeit","manifold","array","retains the geometric lattice description","R823 4486"
"N04-S09-TERM-008","1","active","Gitterpunkt","lattice point","grid point","standard mathematical English","R823 4486"
"N04-S09-TERM-009","1","active","Reihenentwicklung","series expansion","row expansion","continues section 7 terminology and does not confuse Reihe with form row","R823 4488 onward"
"N04-S09-TERM-010","1","active","reduzibel","reducible","reductive","standard reduction-theory adjective","R823 4490 onward"
"N04-S09-TERM-011","1","active","Reduzent","reducer","reducent","continues the Paper 03 project register pending historical-English review","R823 4490 onward"
"N04-S09-TERM-012","1","active","Modul","module","modulus","source denotes a selected finite collection rather than a scalar modulus","R823 4490"
"N04-S09-TERM-013","1","active","Elementarkovariante","elementary covariant","basic covariant","standard invariant-theory term","R823 4494"
"N04-S09-TERM-014","1","active","Polare","polar","polarization","source refers to the resulting forms and not only the operation","R823 4494 onward"
"N04-S09-TERM-015","1","active","Simultaninvariante","simultaneous invariant","joint invariant","continues section 7 register","R823 4494"
"N04-S09-TERM-016","1","active","Gewichtsabnahme","weight decrease","loss of weight","continues sections 6 through 8 quantitative register","R823 4494"
"N04-S09-TERM-017","1","active","kogredient","cogredient","contragredient","source states the same transformation behavior","R823 4494"
"N04-S09-TERM-018","1","active","invariante Bildung","invariant formation","invariant construction","continues the bounded Paper 04 normalization","R823 4478 onward"
