"record_id","revision","status","source_start","source_end","printed_pages","physical_pages","structure","target_locator","disposition"
"N04-S09-ALIGN-001","1","active","4477","4477","152","35","section heading and original heading note","target section heading and note 152-star","PASS"
"N04-S09-ALIGN-002","1","active","4478","4479","152","35","form-row definition and following blank","target opening definition paragraph","PASS"
"N04-S09-ALIGN-003","1","active","4480","4480","152","35","higher-form ordering setup","target higher-form setup paragraph","PASS"
"N04-S09-ALIGN-004","2","active","4481","4485","152","35","three ordering criteria with print labels 1-parenthesis 2-parenthesis 3-parenthesis and original comparability note","target print-matched three-item enumerate and note 152-double-star before semicolon","PASS"
"N04-S09-ALIGN-005","1","active","4486","4487","153","36","lattice-point model and following blank","target lattice-point paragraph","PASS"
"N04-S09-ALIGN-006","1","active","4488","4489","153","36","reduction-theorem transition and following blank","target principal-theorem transition","PASS"
"N04-S09-ALIGN-007","1","active","4490","4491","153","36","reducibility and reducer definition and following blank","target quoted definition","PASS"
"N04-S09-ALIGN-008","1","active","4492","4493","153","36","Theorem IX and following blank","target fully emphasized Theorem IX","PASS"
"N04-S09-ALIGN-009","2","active","4494","4495","153-154","36-37","main proof and original Study note and following blank","target two proof paragraphs and note 154-star before period","PASS"
"N04-S09-ALIGN-010","1","active","4496","4497","154","37","proof closure and following blank","target proof closure paragraph","PASS"
"N04-S09-ALIGN-011","1","active","4498","4498","154","37","final applications sentence","target final paragraph","PASS"
