"control_id","revision","status","role","locator","bytes","sha256","scope","method","disposition"
"N04-S09-CTRL-001","1","active","textual_authority","R823 cumulative German TeX","2125031","EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21","lines 4477-4498","whole-file SHA-256","editable routing authority subject to print adjudication"
"N04-S09-CTRL-002","2","active","authority_slice","external_authority_slice:R823_lines4477_4498","6896","8829FC38E81C8BD644F863ED08F02C9FA7F5804BE0B6BC4C10E37E7D4BB37E91","22 logical lines","exact LF-terminated authority bytes; body excluded","hash-and-scope receipt only"
"N04-S09-CTRL-003","1","active","authority_slice_envelope","R823 lines 4477-4498 CRLF envelope","6918","D9A464C87616E5AD0EA4E3277B47CFB5073CA376AC0B19DE84844AB9F49E7C12","22 logical lines","UTF-8 CRLF with trailing CRLF","cross-platform bounded fingerprint"
"N04-S09-CTRL-004","1","active","original_print","paper 04 original 1911 scan","72444867","D7F7CE6D4B311FFD968ED47DC9C1478CFFCF9F446A86BF90263E0C9D1B41C9EF","printed pages 152-154 physical 35-37","whole-file SHA-256","print authority for glyphs emphasis notes punctuation and boundary"
"N04-S09-CTRL-005","2","active","excluded_scan_render_receipt","excluded_source_evidence:printed_p152_render","1439153","5BD366C3CB2BD836C46BF1E20F593BB508F39C7B7659E6063B30A76DAC62CF45","printed p152","300 dpi render hash; image excluded","shared-page opening and ordering control"
"N04-S09-CTRL-006","2","active","excluded_scan_render_receipt","excluded_source_evidence:printed_p153_render","1589830","3123AFD978F156C8C554FCFC0A6D3C60FC82208A187BBE419D3CE887EDE113BA","printed p153","300 dpi render hash; image excluded","lattice model Theorem IX and proof opening control"
"N04-S09-CTRL-007","2","active","excluded_scan_render_receipt","excluded_source_evidence:printed_p154_render","1263693","085FF3EF8C1FC6A7A89B9BC9FFB3D800347767D37510A30B3738C1A5D95FDAF9","printed p154","300 dpi render hash; image excluded","proof close note and article-end control"
"N04-S09-CTRL-008","2","active","excluded_scan_overview_receipt","excluded_source_evidence:printed_pp152_154_overview","1929649","10F8692A7A76C27C220ABB4A2BB5F57FEDEBF64E3F038A4D1EF8FA8236827F85","three source pages","overview hash; image excluded","page-envelope control only"
"N04-S09-CTRL-009","2","active","excluded_scan_crop_receipt","excluded_source_evidence:printed_p152_criterion_two_crop","169946","D87B771A7BD668B63660D14B67BA624B681622BB697EFCA1D3871A38BD6D04C6","printed p152 criterion two","crop hash; image excluded","confirms emphasis and punctuation"
"N04-S09-CTRL-010","1","active","comparison_only","inherited English Paper 04 TeX","109132","200C9F9115C22D93455A3B7AA372687059E539C6D01959D30EEB25BBEEFFE722","lines 1294-1315","whole-file SHA-256","target-language comparison only"
