"gap_id","target_family","language_access_target","missing_source_type","known_locator_or_url","local_path_or_error_payload","gap_reason","next_gate","blocked_before","source_csv"
"R6-GAP-AUTO-001","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","","","summary gap row from upstream R6 source-canon status; exact URL/local capture not yet assigned","Resolve Vanuatu official PDF capture for Matematiks/Saens before source-authority reader.","no source-authority promotion, terms, excerpts, reuse, translation, visual inventory, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-GAP-AUTO-002","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","","","summary gap row from upstream R6 source-canon status; exact URL/local capture not yet assigned","Resolve Vanuatu official directory/PDF access for Matematiks_2017.pdf and Saens_2017.pdf; keep as lead-only until local capture exists.","no source-authority promotion, terms, excerpts, reuse, translation, visual inventory, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-001","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","https://moet.gov.vu/index.php?id=textbook-readers","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\vanuatu_moet_textbooks_readers_guides.html.error.txt","T1 web/source lead only; local capture failed; official locator and possible exact witness index","Retry official Vanuatu downloads through another route; web-index evidence points to Matematiks/Saens but local capture failed.","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-001A","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","https://education.gov.vu/docs/textbooks/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\vanuatu_education_gov_vu_textbooks_index.html.error.txt","T1 web/source lead only; local capture failed; official locator index; exact witness links visible","Retry official Vanuatu downloads through another route; web-index evidence points to Matematiks/Saens but local capture failed.","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-002","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","https://moet.gov.vu/docs/conference-papers/National%20Curriculum%20Updates_2014.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\vanuatu_national_curriculum_updates_2014.pdf.error.txt","T1 web/source lead only; local capture failed; policy/context source; not term witness","Retry official Vanuatu downloads through another route; web-index evidence points to Matematiks/Saens but local capture failed.","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-002A","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","https://education.gov.vu/docs/conference-papers/National%20Curriculum%20Updates_2014.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\vanuatu_national_curriculum_updates_2014_mirror.pdf.error.txt","T1 web/source lead only; local capture failed; policy/context source; not term witness","Retry official Vanuatu downloads through another route; web-index evidence points to Matematiks/Saens but local capture failed.","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-003","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","https://moet.gov.vu/docs/textbooks/Bislama%20Spelling%20Dictionary_2007.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\vanuatu_bislama_spelling_dictionary_2007.pdf.error.txt","T1 web/source lead only; local capture failed; orthography/reference source; not math witness","Retry official Vanuatu downloads through another route; web-index evidence points to Matematiks/Saens but local capture failed.","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-003A","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","https://education.gov.vu/docs/textbooks/Bislama%20Spelling%20Dictionary_2007.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\vanuatu_bislama_spelling_dictionary_2007_mirror.pdf.error.txt","T1 web/source lead only; local capture failed; orthography/reference source; not math witness","Retry official Vanuatu downloads through another route; web-index evidence points to Matematiks/Saens but local capture failed.","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-004","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","https://education.gov.vu/docs/textbooks/Matematiks_2017.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\vanuatu_moet_matematiks_2017_mirror.pdf.error.txt","T1 web/source lead only; local capture failed; candidate exact Bislama math/STEM witness; reviewer/license return needed","Retry official Vanuatu downloads through another route; web-index evidence points to Matematiks/Saens but local capture failed.","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-CR-P2-005","Creole/contact","Bislama","exact named-language math/STEM witness or source archive","https://education.gov.vu/docs/textbooks/Saens_2017.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\vanuatu_moet_saens_2017_mirror.pdf.error.txt","T1 web/source lead only; local capture failed; candidate exact Bislama science/STEM witness; reviewer/license return needed","Retry official Vanuatu downloads through another route; web-index evidence points to Matematiks/Saens but local capture failed.","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-SRCARCH-GAP-002","Creole/contact","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","named-language mathematical TeX/LaTeX/arXiv/e-print/source archive","","","No R6 TeX/source archive witness located; exact named-language PDF/HTML/DOCX/text source witnesses remain primary source-canon route.","Resolve exact named-language math/STEM witnesses and source-owner/reviewer routes.","no pan-creole register, lexifier substitution, terms, excerpts, translation, or pilot","R6_SOURCE_LOCATOR_SHELF_20260628T230952Z.md"
"R6-GAP-AUTO-003","Creole/contact","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","exact named-language math/STEM witness or source archive","","","summary gap row from upstream R6 source-canon status; exact URL/local capture not yet assigned","Build official/OER locator rows before download attempts; keep named languages separate.","no source-authority promotion, terms, excerpts, reuse, translation, visual inventory, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-GAP-AUTO-004","Creole/contact","Jamaican Creole / Jamaican Patois","exact named-language math/STEM witness or source archive","","","summary gap row from upstream R6 source-canon status; exact URL/local capture not yet assigned","Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","no source-authority promotion, terms, excerpts, reuse, translation, visual inventory, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-GAP-AUTO-005","Creole/contact","Jamaican Creole/Patois","exact named-language math/STEM witness or source archive","","","summary gap row from upstream R6 source-canon status; exact URL/local capture not yet assigned","Find Patois STEM/numeracy witness or reviewer route.","no source-authority promotion, terms, excerpts, reuse, translation, visual inventory, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-GAP-AUTO-006","Creole/contact","Kreyol/Haitian Creole","exact named-language math/STEM witness or source archive","","","summary gap row from upstream R6 source-canon status; exact URL/local capture not yet assigned","Wait for source-owner/reviewer/reuse returns; official MENFP locator supplement still unresolved.","no source-authority promotion, terms, excerpts, reuse, translation, visual inventory, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
"R6-GAP-AUTO-007","Creole/contact","Krio","exact named-language math/STEM witness or source archive","","","summary gap row from upstream R6 source-canon status; exact URL/local capture not yet assigned","Find Krio/local-language STEM or education-language policy witness before any Krio packet work.","no source-authority promotion, terms, excerpts, reuse, translation, visual inventory, or pilot","R6_CREOLE_CONTACT_EXACT_WITNESS_CAPTURE_PASS2_20260701T203000Z.csv"
