"witness_id","language","grade","status","topic_cluster","treated_terms_supported","source_title","authors_or_origin","publication_or_repository","local_evidence_type","local_path_or_package","local_sha256","local_bytes","live_url","source_url","license_signal","version_or_date","notes","gaps_or_limits","native_review_status","canonical_approval_status"
"FR-A-001","French","A","source_witness","commutative_algebra","algebra; commutative algebra; ring; ideal; field; localization; noetherian context","Constructions cachees en algebre abstraite. Dimension de Krull Going Up Going Down","Thierry Coquand; Henri Lombardi","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\1712.04728v2.source","4e8738d5d6d6f450809cc2d2691c8780c6a854baa848a1c08524354340a179a8","68106","https://arxiv.org/abs/1712.04728","https://arxiv.org/e-print/1712.04728v2","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1712.04728; arXiv API license field blank; no license-clearance claim","v2 2018-04-09","Primary French commutative-algebra source witness; live page has TeX source link","Not invariant theory; source witness only","not_native_reviewed","not_approved"
"FR-A-002","French","A","source_witness","algebra_representation","algebra; module; representation; tensor product register","Algebres amassees et applications","Bernhard Keller","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\0911.2903v2.source","831793f96ff067f08f9948bace45e5d02d37773f58a9edef46e76e3c1686186c","46497","https://arxiv.org/abs/0911.2903","https://arxiv.org/e-print/0911.2903v2","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/0911.2903; arXiv API license field blank; no license-clearance claim","v2 2010-02-16","French Bourbaki cluster-algebra source with representation-theory register","Domain-adjacent; not Noether corpus source alone","not_native_reviewed","not_approved"
"FR-A-003","French","A","source_witness","representation_modules","module; representation; automorphism; semisimple; completely reducible; produit tensoriel","Extensions des modules de dimension finie pour les algebres de courants tordues","Jean Auger","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\1508.04495v1.source","25172cba6ec3b7e87a79e7c53ca0f29c29e05478f693375628e44ba969fb669c","135063","https://arxiv.org/abs/1508.04495","https://arxiv.org/e-print/1508.04495v1","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim","v1 2015-08-19","Direct French TeX witness for produit tensoriel and representation-module register","Does not unblock Noether tensor corpus row without German anchor","not_native_reviewed","not_approved"
"FR-A-004","French","A","source_witness","noetherian_functors","noetherian; finitely generated; commutative ring; tensor product context","Sur la noetherianite locale des foncteurs polynomiaux","Aurelien Djament; Antoine Touze","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\2211.16134v2.source","97da3f0c5d0fc77dad4e4de33c9e34b04c2239c9f392e7f404640ea1dd021fae","16474","https://arxiv.org/abs/2211.16134","https://arxiv.org/e-print/2211.16134v2","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/2211.16134; arXiv API license field blank; no license-clearance claim","v2 2023-05-31","Strong modern French noetherianity register; journal reference Tunisian J. Math. 2024","Functor-category domain; not classical invariant theory","not_native_reviewed","not_approved"
"FR-A-005","French","A","source_witness","algebraic_geometry_foundations","ring; field; module; tensor product; localization register","Revetements etales et groupe fondamental SGA 1","Alexander Grothendieck; Michele Raynaud","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\math_0206203v2.source","0a33c9c06908705a2525690faae02f6f07980a4aa069a8b6cff9b1d9bc39acd3","324080","https://arxiv.org/abs/math/0206203","https://arxiv.org/e-print/math/0206203v2","arXiv HTML license href http://arxiv.org/licenses/assumed-1991-2003/; TeX href /src/math/0206203; arXiv API license field blank; no license-clearance claim","v2 2004-01-04","Broad French foundational TeX witness","Very broad; not Noether-specific","not_native_reviewed","not_approved"
"FR-A-006","French","A","source_witness","algebras_fields_groups","algebra; field; tensor product; algebraic groups","Algebres simples centrales sur les corps de fonctions de deux variables","Jean-Louis Colliot-Thelene","arXiv","TeX source package","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\math_0507070v1.source","d8e3ab3651da332ce65e5f3c634aac15805751c086af8e4b683e0f254b09d957","40193","https://arxiv.org/abs/math/0507070","https://arxiv.org/e-print/math/0507070v1","arXiv HTML license href http://arxiv.org/licenses/assumed-1991-2003/; TeX href /src/math/0507070; arXiv API license field blank; no license-clearance claim","v1 2005-07-04","French TeX witness for central simple algebra / field-function register","Adjacent algebra source","not_native_reviewed","not_approved"
"FR-C-007","French","C","pdf_text_witness","hilbert_basis_noetherian","Hilbert basis theorem; noetherian ring","ACGA-cours 2024-2025","Christophe Mourougane","University course notes","PDF plus extracted text","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\added_sources\french\mourougane_acga_cours_2024_25.pdf","c3c2588f0ab62edcb4a8dbf2014afe5dc5f8b8fc1d54c595a29fdc016aa93dd6","586160","https://perso.univ-rennes1.fr/christophe.mourougane/enseignements/2024-25/ACGA/ACGA-cours.pdf","https://perso.univ-rennes1.fr/christophe.mourougane/enseignements/2024-25/ACGA/ACGA-cours.pdf","Public author/institution PDF URL HTTP 200; license not found; local provenance/fallback only; no license-clearance claim","2024-2025","Extracted text SHA256 fa10bfc1ec11f5bc3521445a872d40cfef21f44858375410d236535b7dfd8f8e; line 819 supports theorem-level Hilbert basis context","No TeX/source package verified","not_native_reviewed","not_approved"
"FR-C-008","French","C","pdf_witness","invariant_theory","invariant; covariant; binary forms","Invariants de plusieurs formes binaires","Michel Brion","Numdam / Bulletin de la Societe Mathematique de France","PDF","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\french\fr_numdam_brion_invariants_binary_forms.pdf","5225812d2f3a7e93ee196ea64c5c841bba8d436ada50fb6ebc9345e03520b0c0","1263006","https://www.numdam.org/item/?id=BSMF_1982__110__429_0","https://www.numdam.org/item/?id=BSMF_1982__110__429_0","Numdam article metadata/page verified; Numdam terms state metadata CC0 and full-text files downloadable individually for research or educational purpose, while posting does not transfer authorization and third-party upload requires contractual/explicit agreement; no license-clearance claim","1982","Direct French invariant-theory publication witness; DOI 10.24033/bsmf.1971","PDF fallback; Numdam access terms recorded; no TeX/source archive found here; no third-party upload clearance","not_native_reviewed","not_approved"
"FR-C-009","French","C","pdf_witness","invariant_theory_historical","invariant; covariant; binary forms","Note sur les residus des invariants et covariants des formes binaires","R. Perrin","Numdam / Bulletin de la Societe Mathematique de France","PDF","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\french\fr_numdam_perrin_binary_forms_1883.pdf","df49d087148358a10e8bb40443ab98b7c28b1c33ae1cb790ff8606f75646990a","1362844","https://www.numdam.org/articles/10.24033/bsmf.260/","https://www.numdam.org/articles/10.24033/bsmf.260/","Numdam article metadata/page verified; Numdam terms state metadata CC0 and full-text files downloadable individually for research or educational purpose, while posting does not transfer authorization and third-party upload requires contractual/explicit agreement; no license-clearance claim","1883","Historical French invariant/covariant source; DOI 10.24033/bsmf.260","PDF fallback; historical register; Numdam access terms recorded; no TeX/source archive found here; no third-party upload clearance","not_native_reviewed","not_approved"
"FR-C-010","French","C","pdf_witness","geometric_invariant_theory","geometric invariant theory; quotient; reductive group; representation; Hilbert-Mumford","Theorie geometrique des invariants","Julien Marche","M2 course notes","PDF","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\french\fr_marche_git_notes.pdf","8731e06f40b8354d58d6d938418d6e061a81af1efda2d4524dddaf1b6084c384","453824","https://webusers.imj-prg.fr/~julien.marche/M2/GIT.pdf","https://webusers.imj-prg.fr/~julien.marche/M2/GIT.pdf","Public course PDF URL HTTP 200; license not found; local provenance/fallback only; no license-clearance claim","undated checked 2026-07-04","French geometric invariant-theory source witness","PDF fallback; no TeX source found","not_native_reviewed","not_approved"
