book_page,source_pdf_page_1based,png
269,287,page_images/vol1_pdf-287_bookp269.png
270,288,page_images/vol1_pdf-288_bookp270.png
271,289,page_images/vol1_pdf-289_bookp271.png
272,290,page_images/vol1_pdf-290_bookp272.png
273,291,page_images/vol1_pdf-291_bookp273.png
274,292,page_images/vol1_pdf-292_bookp274.png
275,293,page_images/vol1_pdf-293_bookp275.png
276,294,page_images/vol1_pdf-294_bookp276.png
277,295,page_images/vol1_pdf-295_bookp277.png
278,296,page_images/vol1_pdf-296_bookp278.png
279,297,page_images/vol1_pdf-297_bookp279.png
280,298,page_images/vol1_pdf-298_bookp280.png
281,299,page_images/vol1_pdf-299_bookp281.png
282,300,page_images/vol1_pdf-300_bookp282.png
283,301,page_images/vol1_pdf-301_bookp283.png
