"record_id","work_id","structure_type","label","parent_id","order","source_path","source_line_start","source_line_end","source_file_sha256","source_slice_sha256_lf","target_units","target_locators_json","relations_json","source_language","target_language","authority_state","completion_state","review_state","publication_state","continuation_cursor","record_sha256"
"NOE-P41-KO-WORK-001","NOE-P41","work","Paper 41 complete substantive translated interval",,"1","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","1","151","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","49DF10A086CDF6A0F79766FAE17146D943D4E8A12221A8A5FE0F826274CD45E9","U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12","[{""unit_id"":""U01"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U01_UNCHECKED.tex"",""line_start"":11,""line_end"":21,""file_sha256"":""AA6C1E40F4CAC15106AD2451B9B97EF071A684C6C555FD78475633A58E5597C0"",""slice_sha256_lf"":""B1CE4602C07460DC11B08E31544709D076B67609F25700E5673531E6A4916A58""},{""unit_id"":""U02"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U02_UNCHECKED.tex"",""line_start"":11,""line_end"":18,""file_sha256"":""B717990BFB495620551659CBCFEBF58620BD912A710518C448E462CEC2D94C6E"",""slice_sha256_lf"":""AA849FF2EC3164FCC903FC23C786E9483CCCC5C4DA976608F1E86BC17D650297""},{""unit_id"":""U03"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U03_UNCHECKED.tex"",""line_start"":11,""line_end"":35,""file_sha256"":""5DEF83537B9FC66310CD0DCE291F8E12F40ABD127A0FB2C2AA3A2AD9AE6D57DF"",""slice_sha256_lf"":""1B27C9C37BDB46F0E55819C20A5E6E918D64E11008C784BDAED1307EE907F2E7""},{""unit_id"":""U04"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U04_UNCHECKED.tex"",""line_start"":11,""line_end"":19,""file_sha256"":""16D83FC0EE14E8CE45B530946A0F490A04B36985303A6670868EBC31822779CD"",""slice_sha256_lf"":""0EF19F513CC02A29E3D11CE05A2BFF78F02006C5862195AB08F03570E23AB676""},{""unit_id"":""U05"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U05_UNCHECKED.tex"",""line_start"":11,""line_end"":19,""file_sha256"":""4CDA25B27F69215AC6AC2ABE437A087419960FF39F0955F254394EA0A01AE0B0"",""slice_sha256_lf"":""D256BDC40D790E4F4EA6C9984AB23EC98A26066FB1D8F4FAA46DFC48277B5692""},{""unit_id"":""U06"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U06_UNCHECKED.tex"",""line_start"":11,""line_end"":21,""file_sha256"":""DEB580BB167B165B3DE40777A9F18B9E6D356FBE3CB2E552BB202E374E99A164"",""slice_sha256_lf"":""77DF7E2C3965D32AF62EE53C8AA7178A36540DA7A3AB2149A11B229BCA04C2F8""},{""unit_id"":""U07"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U07_UNCHECKED.tex"",""line_start"":11,""line_end"":26,""file_sha256"":""458C2DEF857180D29A71BE9E977498EA50C8688CB0297CA87E79AE0CE2EF505A"",""slice_sha256_lf"":""7FBFDAEB69DFF04244BD37CA2D2EE9E6308CED99F2C0E5CA2784E7770626A948""},{""unit_id"":""U08"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U08_UNCHECKED.tex"",""line_start"":11,""line_end"":19,""file_sha256"":""D231193F8933E00701296564D113A677A505FCE761FF1F0DDC2EAB0B07D90D12"",""slice_sha256_lf"":""3A4DA8F8554200213C40159ED08648026A1A77DE5DF081FBDF573A8128077CD9""},{""unit_id"":""U09"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U09_UNCHECKED.tex"",""line_start"":12,""line_end"":25,""file_sha256"":""0051DCA8B4FF39B374FBE61D88BBF39F0E99A9A767B28073B2212A967C4DA00A"",""slice_sha256_lf"":""691B42D0E6B7A624B62271D87FFADF8B7A715E5A457EA23A284B62F843B46EDD""},{""unit_id"":""U10"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U10_UNCHECKED.tex"",""line_start"":12,""line_end"":19,""file_sha256"":""B3A79835C998F7C056C6C7721C432EEE4DE6ED5D54B652FC242B7C3C814EC7A0"",""slice_sha256_lf"":""DC149B1092B718044810A4E17CF9C45FFDE70D43086D4EFA5B0A665450CBB4D8""},{""unit_id"":""U11"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U11_UNCHECKED.tex"",""line_start"":12,""line_end"":24,""file_sha256"":""A0DD197BA74A1C065B18652C1C8EA830E56461C5C23A73E1020011ECA9E1FE84"",""slice_sha256_lf"":""AA1A96F4F0059355DCCCC241460BAA084CBB0C1F98448906C41679957B9A091D""},{""unit_id"":""U12"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U12_UNCHECKED.tex"",""line_start"":12,""line_end"":18,""file_sha256"":""33E5D1EBE1620A9AD2E3E4E22EB6E3689D0CBDC238010306CF62083A8DA517E3"",""slice_sha256_lf"":""35F0D19724223CBCA20C39DDF88FBB2D0FE808890C93CEAE79627BC2492B7331""}]","[{""relation"":""contains"",""target_id"":""NOE-P41-KO-U01""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U02""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U03""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U04""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U05""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U06""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U07""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U08""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U09""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U10""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U11""},{""relation"":""contains"",""target_id"":""NOE-P41-KO-U12""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","Paper 41 substantive interval exhausted at line 151; source controls 153--154 excluded; await independent Korean checker","D7F1F6CA20C1129C3FE26DCE1D111BB553718645D473FD2D40B12358BDE70695"
"NOE-P41-KO-U01","NOE-P41","unit","Title and introduction","NOE-P41-KO-WORK-001","1","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","1","11","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","BAD33EF459284C4E06A877CEBD624F8C843DED51B82A608475F7FB9726F0228C","U01","{""unit_id"":""U01"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U01_UNCHECKED.tex"",""line_start"":11,""line_end"":21,""file_sha256"":""AA6C1E40F4CAC15106AD2451B9B97EF071A684C6C555FD78475633A58E5597C0"",""slice_sha256_lf"":""B1CE4602C07460DC11B08E31544709D076B67609F25700E5673531E6A4916A58""}","{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""}","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 13 / Korean U02","B89BD30986D1D7B580CC0F65EC693157A1FEE004CE797F6C5FAB3EE19F838885"
"NOE-P41-KO-U02","NOE-P41","unit","Minimal theorem setup and crossed-product introduction","NOE-P41-KO-WORK-001","2","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","13","20","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","8C0BC86950AD752B9CAED52C54765F6AF6E3592D48996200313845B44942F6BD","U02","{""unit_id"":""U02"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U02_UNCHECKED.tex"",""line_start"":11,""line_end"":18,""file_sha256"":""B717990BFB495620551659CBCFEBF58620BD912A710518C448E462CEC2D94C6E"",""slice_sha256_lf"":""AA849FF2EC3164FCC903FC23C786E9483CCCC5C4DA976608F1E86BC17D650297""}","[{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""},{""relation"":""continues"",""target_id"":""NOE-P41-KO-U01""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 22 / Korean U03","89D722BA7C31AAB521FA93FC8A04509C96C95C5A515E2B44ABAE29FCC9BD54C5"
"NOE-P41-KO-U03","NOE-P41","unit","Crossed-product relations and Brauer classes","NOE-P41-KO-WORK-001","3","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","22","46","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","E1509DFE9ED80F79ED65F770EABF148C56CB853B2E7BD075E629175E2D426EFD","U03","{""unit_id"":""U03"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U03_UNCHECKED.tex"",""line_start"":11,""line_end"":35,""file_sha256"":""5DEF83537B9FC66310CD0DCE291F8E12F40ABD127A0FB2C2AA3A2AD9AE6D57DF"",""slice_sha256_lf"":""1B27C9C37BDB46F0E55819C20A5E6E918D64E11008C784BDAED1307EE907F2E7""}","[{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""},{""relation"":""continues"",""target_id"":""NOE-P41-KO-U02""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 48 / Korean U04","D0D2809B9C68F93FCD432F8B0A5889B4D666ADFAE06D8C1EAAB7D2058A560673"
"NOE-P41-KO-U04","NOE-P41","unit","Cyclic-algebra specialization","NOE-P41-KO-WORK-001","4","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","48","56","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","F0D1FF2818BD95257249E93DB56E891343DF2EB025DD3F46987461ACCA05A0FC","U04","{""unit_id"":""U04"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U04_UNCHECKED.tex"",""line_start"":11,""line_end"":19,""file_sha256"":""16D83FC0EE14E8CE45B530946A0F490A04B36985303A6670868EBC31822779CD"",""slice_sha256_lf"":""0EF19F513CC02A29E3D11CE05A2BFF78F02006C5862195AB08F03570E23AB676""}","[{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""},{""relation"":""continues"",""target_id"":""NOE-P41-KO-U03""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 58 / Korean U05","7951A5B792CC991F11D8595B7909D430A3E7012EDCC0DFD9DF46A72624D7E897"
"NOE-P41-KO-U05","NOE-P41","unit","Extension group and three minimal formulations","NOE-P41-KO-WORK-001","5","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","58","66","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","BCEA8450C5DC412DA1506DD0A8A935AD5517D2B03637C57698B6C3D504FB7788","U05","{""unit_id"":""U05"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U05_UNCHECKED.tex"",""line_start"":11,""line_end"":19,""file_sha256"":""4CDA25B27F69215AC6AC2ABE437A087419960FF39F0955F254394EA0A01AE0B0"",""slice_sha256_lf"":""D256BDC40D790E4F4EA6C9984AB23EC98A26066FB1D8F4FAA46DFC48277B5692""}","[{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""},{""relation"":""continues"",""target_id"":""NOE-P41-KO-U04""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 68 / Korean U06","786589BF4052A50D8280DDAB4DB7A46D54C49288E4C912B5D2B4D4E78F08FF04"
"NOE-P41-KO-U06","NOE-P41","unit","Proof of minimal theorem and Schur-index generalization","NOE-P41-KO-WORK-001","6","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","68","78","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","1EC47AC260130703D0C0313186283365D339F04472184000D219ED44962EA55D","U06","{""unit_id"":""U06"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U06_UNCHECKED.tex"",""line_start"":11,""line_end"":21,""file_sha256"":""DEB580BB167B165B3DE40777A9F18B9E6D356FBE3CB2E552BB202E374E99A164"",""slice_sha256_lf"":""77DF7E2C3965D32AF62EE53C8AA7178A36540DA7A3AB2149A11B229BCA04C2F8""}","[{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""},{""relation"":""continues"",""target_id"":""NOE-P41-KO-U05""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 80 / Korean U07","7736EF2843ED77E4443B0FC256C93311E27C8737BF8060DBAACDB359D1B2FF2B"
"NOE-P41-KO-U07","NOE-P41","unit","Class partitions and induced factor-system class definition","NOE-P41-KO-WORK-001","7","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","80","95","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","6B1BAB1A613156C833C091DFE9C98D8C63610545811F24A5E27EF65FE9751A15","U07","{""unit_id"":""U07"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U07_UNCHECKED.tex"",""line_start"":11,""line_end"":26,""file_sha256"":""458C2DEF857180D29A71BE9E977498EA50C8688CB0297CA87E79AE0CE2EF505A"",""slice_sha256_lf"":""7FBFDAEB69DFF04244BD37CA2D2EE9E6308CED99F2C0E5CA2784E7770626A948""}","[{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""},{""relation"":""continues"",""target_id"":""NOE-P41-KO-U06""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 97 / Korean U08","8EDAAF103BF377BCDB7B6288D691C4D1D23ACEC41ED1DA1C40ACF44BD054D512"
"NOE-P41-KO-U08","NOE-P41","unit","Three principal-genus theorem formulations","NOE-P41-KO-WORK-001","8","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","97","105","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","1432D5DDE7E39212CE1D1EC7478348C0856AEB80A6D4FB7324954781A3075BF5","U08","{""unit_id"":""U08"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U08_UNCHECKED.tex"",""line_start"":11,""line_end"":19,""file_sha256"":""D231193F8933E00701296564D113A677A505FCE761FF1F0DDC2EAB0B07D90D12"",""slice_sha256_lf"":""3A4DA8F8554200213C40159ED08648026A1A77DE5DF081FBDF573A8128077CD9""}","[{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""},{""relation"":""continues"",""target_id"":""NOE-P41-KO-U07""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 107 / Korean U09","C802C79A1B32884DFB94990135B045DA6B2E4103B39BB72922CDB1AF40256C9A"
"NOE-P41-KO-U09","NOE-P41","unit","Proof opening and two auxiliary lemmas","NOE-P41-KO-WORK-001","9","C:\Users\Floris\Documents\interlanguage\03_projects\language_management\cjk\03_working_translations\noether_paper41_zh_translation_001_20260722\source\Noether_Paper41_CurrentGermanAuthority_interval.tex","107","120","C265058425E5E2D1A2289CC03A9DDEDDDF4803A3215DC3F173B93E7AB69D60ED","78A0D977D2F04C537D3DFD91AA23ED2F221EBDA5D5A4A8F8081EA0CFCB93520F","U09","{""unit_id"":""U09"",""path"":""C:\\Users\\Floris\\Documents\\interlanguage\\03_projects\\language_management\\cjk\\03_working_translations\\noether_paper41_ko_translation_001_20260804\\targets\\Noether_P41_Korean_U09_UNCHECKED.tex"",""line_start"":12,""line_end"":25,""file_sha256"":""0051DCA8B4FF39B374FBE61D88BBF39F0E99A9A767B28073B2212A967C4DA00A"",""slice_sha256_lf"":""691B42D0E6B7A624B62271D87FFADF8B7A715E5A457EA23A284B62F843B46EDD""}","[{""relation"":""embedded_in"",""target_id"":""NOE-P41-KO-WORK-001""},{""relation"":""continues"",""target_id"":""NOE-P41-KO-U08""}]","de","ko-KR","preserved_interval_historical_binding_pointer_pending","producer_draft_text_covered","unchecked","private_not_for_publication","continue at Paper 41 snapshot line 122 / Korean U10","729F5F9D1A070CC2242DDBD14CA90E8C3E9903CB406C0D5B431B096F511AA768"
