visual_id,work_id,language_tag,visual_kind,page_number,published_relative_path,parent_pdf_sha256,parent_pdf_pages,pixel_bbox,width_pixels,height_pixels,dpi_x,dpi_y,rotation_degrees,image_sha256,image_bytes,linked_structural_ids,review_outputs,qa_disposition,publication_disposition,rights_basis
VE-NOE-P37-ZH-HANS-001,NOE-P37,zh-Hans-CN,project_pdf_page_render,1,images/zh-Hans-CN/page-1.png,86C7274D137A51469F91D6939D3F3583BFB982CFE69ACE264064A473DA62405A,4,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,F95A40135A30F87DD96490873D55477BC243F38355E0BBB20D136CF79B2D293D,851691,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,open_payload,project-generated target render
VE-NOE-P37-ZH-HANS-002,NOE-P37,zh-Hans-CN,project_pdf_page_render,2,images/zh-Hans-CN/page-2.png,86C7274D137A51469F91D6939D3F3583BFB982CFE69ACE264064A473DA62405A,4,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,3AD234BDBE5AAFF86726CC54402FC782BEE1182FBF8184E21AE8B1E468906FF8,605638,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,open_payload,project-generated target render
VE-NOE-P37-ZH-HANS-003,NOE-P37,zh-Hans-CN,project_pdf_page_render,3,images/zh-Hans-CN/page-3.png,86C7274D137A51469F91D6939D3F3583BFB982CFE69ACE264064A473DA62405A,4,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,04354B2E225DDC98B50CF7D420B5177666D55B400309E3A7002EE5AAEDC799B8,561738,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,open_payload,project-generated target render
VE-NOE-P37-ZH-HANS-004,NOE-P37,zh-Hans-CN,project_pdf_page_render,4,images/zh-Hans-CN/page-4.png,86C7274D137A51469F91D6939D3F3583BFB982CFE69ACE264064A473DA62405A,4,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,A26FA90DF1CC659526C5295E78B5F68284F3FD72EE5450CD0C259279FA118357,683506,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,open_payload,project-generated target render
VE-NOE-P37-ZH-HANT-001,NOE-P37,zh-Hant-controlled,project_pdf_page_render,1,images/zh-Hant-controlled/page-1.png,35ADCF5A0B9FD5AEEAD16F7E126DFB89B1A9D4BB509FE9661A268C6B897AC36A,4,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,F7E7E9E8E4690FA29C690584F7E0B0DC61579EE89675E06621C03154A9A3B583,821462,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,open_payload,project-generated target render
VE-NOE-P37-ZH-HANT-002,NOE-P37,zh-Hant-controlled,project_pdf_page_render,2,images/zh-Hant-controlled/page-2.png,35ADCF5A0B9FD5AEEAD16F7E126DFB89B1A9D4BB509FE9661A268C6B897AC36A,4,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,689A64B37853C811334EA1EB606017832A377CD21D7B74A77D638B87C57D6510,586274,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,open_payload,project-generated target render
VE-NOE-P37-ZH-HANT-003,NOE-P37,zh-Hant-controlled,project_pdf_page_render,3,images/zh-Hant-controlled/page-3.png,35ADCF5A0B9FD5AEEAD16F7E126DFB89B1A9D4BB509FE9661A268C6B897AC36A,4,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,D3BD33A1F69CD38B7A2BFCB85BEA654A7B835F3C1E5201892574F478D89E626D,550745,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,open_payload,project-generated target render
VE-NOE-P37-ZH-HANT-004,NOE-P37,zh-Hant-controlled,project_pdf_page_render,4,images/zh-Hant-controlled/page-4.png,35ADCF5A0B9FD5AEEAD16F7E126DFB89B1A9D4BB509FE9661A268C6B897AC36A,4,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,387C5A257212E47E737D79187A7B9BD920F930BD161F276C7E47BEF328EC2EE9,666992,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,open_payload,project-generated target render
VE-NOE-P37-DE-CONTROL-001,NOE-P37,de-source-control,project_pdf_page_render,1,,509F53D9ADF50FA29375F59BE8B9CE93E8E04E237319AC24B3760F40D291686F,5,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,D652E11A14CE998A2365D827ED43515DCC2F15713CCE0C6E8F2680C4322CA6C5,648759,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,manifest_only_rights_unresolved,German control text redistribution not asserted by this release
VE-NOE-P37-DE-CONTROL-002,NOE-P37,de-source-control,project_pdf_page_render,2,,509F53D9ADF50FA29375F59BE8B9CE93E8E04E237319AC24B3760F40D291686F,5,"[0,0,1489,2105]",1489,2105,179.9844,179.9844,0,757F040811CCE97F82D547EF66B0970EFBDAC9DF1C2651E1AAE6DD62D64B0167,480962,"[""CJK-STR-NOE-P37-WORK"",""NOE-P37-ZH-STRUCTURE-20260718""]","[""9F70B9469D49DE05F44482EBD69C5CFD41E05F02B6A3726C68C11491F7163D85"",""032A21BA82155B4FD1E8B3182D2FBEFF70F137311CF62A0C9F885C8F535B1AE7""]",accepted_no_visible_defect,manifest_only_rights_unresolved,German control text redistribution not asserted by this release
