witness_id,parent_pdf_name,parent_pdf_bytes,parent_pdf_sha256,parent_pdf_pages,source_pdf_index_zero_based,physical_page_one_based,printed_page,parent_media_box_points,parent_rotation_degrees,private_relative_path,witness_role,coordinate_bbox_points,bbox_origin,pixel_width,pixel_height,dpi_x,dpi_y,color_mode,png_bytes,png_sha256,crop_pdf_private_relative_path,crop_pdf_bytes,crop_pdf_sha256,linked_source_path,linked_structural_unit,qa_disposition,rights_disposition,notes
"EG-EGA4-IV4-P185-NAV-R1","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","184","185","186","0 0 610 852","0","qa/authority_high_detail/IV4_printed185_navigation_600dpi.png","adverse_mislabeled_navigation_history","0 0 610 852","pdf_points_lower_left","5084","7100","599.9988","599.9988","RGB","600185","113B46005325A819ACE3AE3F7AA34141C1EA8151CDE6CC0F31CC346A6C0C9D91","","","","source/source_aligned/ega4-19.tex","printed page 186, not the intended Section 19 opening page","rejected_for_page185_locator","rights_blocked_not_public","Filename says printed185, but direct inspection shows printed page 186 and the dimensions match physical page 185."
"EG-EGA4-IV4-P185-NAV-R2","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_navigation_600dpi_r2.png","corrected_full_page_navigation","0 0 600 845","pdf_points_lower_left","5000","7042","599.9988","599.9988","RGB","553368","15FEAAD88DCF9842CA1327E175746173E0EB31FA4FC95900124FC1BA0CDCE319","","","","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening","correct_page_mapping_confirmed","rights_blocked_not_public","Corrected navigation render; no source-alignment completion is claimed."
"EG-EGA4-IV4-P185-A-LEFT-5000DPI","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_5000dpi/p185_a_left.png","targeted_authority_crop","65 650 320 790","pdf_points_lower_left","17709","9723","4999.99","4999.99","L","714354","8C1AD9312454D16850D47F3DB8034269BAE36ECDB39842141068EB6920F5DAA7","qa/authority_high_detail/IV4_printed185_5000dpi/p185_a_left.pdf","141196","FEF4D3F2AB1749AB987DCAADC2E6B939AA25B39BC80DC24A0F54D1A8F785D933","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening and formal-unit sequence","locator_witness_only_source_alignment_not_yet_claimed","rights_blocked_not_public","Coordinate bbox inherited exactly from crop-PDF MediaBox."
"EG-EGA4-IV4-P185-A-RIGHT-5000DPI","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_5000dpi/p185_a_right.png","targeted_authority_crop","290 650 545 790","pdf_points_lower_left","17709","9723","4999.99","4999.99","L","559608","2344D43A992DE38BD4B9E555EF2209B48E4F0C1EE643E9560C5CA2AAF5EF62BA","qa/authority_high_detail/IV4_printed185_5000dpi/p185_a_right.pdf","141199","E6A24A593469D28E232123C1AB7EB6924EBE996BC96F9349095F097DFB28F6B9","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening and formal-unit sequence","locator_witness_only_source_alignment_not_yet_claimed","rights_blocked_not_public","Coordinate bbox inherited exactly from crop-PDF MediaBox."
"EG-EGA4-IV4-P185-B-LEFT-5000DPI","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_5000dpi/p185_b_left.png","targeted_authority_crop","65 500 320 670","pdf_points_lower_left","17709","11806","4999.99","4999.99","L","1024206","4D369BFDD530344F49B3117933F37D1F48010080819C3FA1C086A8B2FCA2C550","qa/authority_high_detail/IV4_printed185_5000dpi/p185_b_left.pdf","141196","F3799F9748EB7E80FFCAD230A9DCE5DB53CB5E706E5E8A901BDD5E34A5E95EB2","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening and formal-unit sequence","locator_witness_only_source_alignment_not_yet_claimed","rights_blocked_not_public","Coordinate bbox inherited exactly from crop-PDF MediaBox."
"EG-EGA4-IV4-P185-B-RIGHT-5000DPI","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_5000dpi/p185_b_right.png","targeted_authority_crop","290 500 545 670","pdf_points_lower_left","17709","11806","4999.99","4999.99","L","760806","0E58CC279E88E8B486303A8F02A25D4B052348905EFC24AF8362727A5D9F06EC","qa/authority_high_detail/IV4_printed185_5000dpi/p185_b_right.pdf","141199","9C188654A61F5B9C63DC905635630B2FB0302296AE70AD13C11635D208E4EBF4","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening and formal-unit sequence","locator_witness_only_source_alignment_not_yet_claimed","rights_blocked_not_public","Coordinate bbox inherited exactly from crop-PDF MediaBox."
"EG-EGA4-IV4-P185-C-LEFT-5000DPI","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_5000dpi/p185_c_left.png","targeted_authority_crop","65 350 320 520","pdf_points_lower_left","17709","11806","4999.99","4999.99","L","1087314","2CCEE9B349F2FDC7932F2294DF126D3DD7D97656AB140F85A228EF61285A3E41","qa/authority_high_detail/IV4_printed185_5000dpi/p185_c_left.pdf","141196","E8ECD6090A3A1BA0E0A856D2E114864EDCB4284A7029C2F76D41ABF6B55A5939","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening and formal-unit sequence","locator_witness_only_source_alignment_not_yet_claimed","rights_blocked_not_public","Coordinate bbox inherited exactly from crop-PDF MediaBox."
"EG-EGA4-IV4-P185-C-RIGHT-5000DPI","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_5000dpi/p185_c_right.png","targeted_authority_crop","290 350 545 520","pdf_points_lower_left","17709","11806","4999.99","4999.99","L","866585","966F8F6717E24FBC1A582CFC842B5EDF6A46ABB3274E37B6B4AED211330EFE55","qa/authority_high_detail/IV4_printed185_5000dpi/p185_c_right.pdf","141199","262A3A64673ABABAADD225926994C9CA620367151CE09AE5E2FD2091B99A0AE7","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening and formal-unit sequence","locator_witness_only_source_alignment_not_yet_claimed","rights_blocked_not_public","Coordinate bbox inherited exactly from crop-PDF MediaBox."
"EG-EGA4-IV4-P185-D-LEFT-5000DPI","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_5000dpi/p185_d_left.png","targeted_authority_crop","65 200 320 370","pdf_points_lower_left","17709","11806","4999.99","4999.99","L","1171472","6CE3E0829E6B4BD82F6FCE24A7024ED9A892A2BED52DF3D27CE0F51069B7E772","qa/authority_high_detail/IV4_printed185_5000dpi/p185_d_left.pdf","141196","C1322E0E4F8350CA1A42A65C99FB8D7CC1E442D5A2999DB49C8A3E6044C835EA","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening and formal-unit sequence","locator_witness_only_source_alignment_not_yet_claimed","rights_blocked_not_public","Coordinate bbox inherited exactly from crop-PDF MediaBox."
"EG-EGA4-IV4-P185-D-RIGHT-5000DPI","EGA_IV-4_PMIHES_tome32_1967.pdf","49852990","B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E","360","183","184","185","0 0 600 845","0","qa/authority_high_detail/IV4_printed185_5000dpi/p185_d_right.png","targeted_authority_crop","290 200 545 370","pdf_points_lower_left","17709","11806","4999.99","4999.99","L","876432","59F377D29424864F63C76D1A697FB2BC718B2C9B01511400EB752033C17BDFE8","qa/authority_high_detail/IV4_printed185_5000dpi/p185_d_right.pdf","141199","02A03339517642CA994A3020740CBAF028D1340FBB62F9B1CAFB70ABB3D4E91A","source/source_aligned/ega4-19.tex","printed page 185 / Section 19 opening and formal-unit sequence","locator_witness_only_source_alignment_not_yet_claimed","rights_blocked_not_public","Coordinate bbox inherited exactly from crop-PDF MediaBox."
