"row_id","lane_scope","target_language_or_access_target","source_title","source_owner","topic_tags","evidence_tier","source_type","source_url","current_status","content_type","byte_count_or_status","sha256_or_error","local_path","license_access_signal","upload_policy","exact_gap_or_blocker","source_package_status","next_source_action","non_claim_boundary"
"R7MAORIPANG001","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","TMoA Pangarau Wahanga Ako Years 0-8 English PDF","New Zealand Ministry of Education / Tahurangi blob route","Aotearoa New Zealand;Maori;Pangarau;Te Marautanga o Aotearoa;Years 0-8;curriculum PDF;official blob","B_PDF_TEMP_HASHED_OFFICIAL_CURRICULUM_FALLBACK","remote PDF curriculum bitstream temp-hashed then deleted","https://mapaoch00pr.blob.core.windows.net/mapaoch00pr/artefacts/pdf/8a01fd39-8f94-4379-913f-e80016b07bc4/TMoA-Pa%25CC%2584ngarau-0-8-English.pdf?rscd=attachment%3B+filename%3D%22TMoA-Pa%25cc%2584ngarau-0-8-English.pdf%22%3B+filename%2A%3DUTF-8%27%27TMoA-Pa%25cc%2584ngarau-0-8-English.pdf&se=2124-10-30T06%3A54%3A02Z&sig=jpFmDCW8oJFctgOiWk6%2B89vP0hNrGFAFkMrlUeN%2BNtQ%3D&sp=rw&sr=b&st=2024-10-28T06%3A54%3A02Z&sv=2018-03-28","200","application/pdf","5318697","74DC27D608AF0F7275D715A684479D43295A0CEDFA6A4A69F0BFAF6D410EFD82","temp_hash_only_no_local_payload_deleted","Official Ministry/Tahurangi public blob URL; no explicit open redistribution license observed in this lane pass; no license clearance claimed","manifest_only_temp_hash_no_payload","Exact PDF byte count and SHA-256 captured, but no PDF body stored in outputs; English PDF version of Pangarau curriculum, not TeX/source archive.","not_TeX_or_source_archive; exact PDF fallback witness","Keep as official Pangarau PDF provenance and search for Maori-language/full official source-package routes.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG002","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","TMoA Pangarau Tuarere 1-4 English PDF","New Zealand Ministry of Education / Tahurangi blob route","Aotearoa New Zealand;Maori;Pangarau;Te Marautanga o Aotearoa;Tuarere 1-4;curriculum PDF;official blob","B_PDF_TEMP_HASHED_OFFICIAL_CURRICULUM_FALLBACK","remote PDF curriculum bitstream temp-hashed then deleted","https://mapaoch00pr.blob.core.windows.net/mapaoch00pr/artefacts/pdf/8a01fd39-8f94-4379-913f-e80016b07bc4/TMoA_P%25C4%2581ngarau_T%25C5%25AB%25C4%2581rere1-4-English.pdf?rscd=attachment%3B+filename%3D%22TMoA_P%25c4%2581ngarau_T%25c5%25ab%25c4%2581rere1-4-English.pdf%22%3B+filename%2A%3DUTF-8%27%27TMoA_P%25c4%2581ngarau_T%25c5%25ab%25c4%2581rere1-4-English.pdf&se=2125-10-23T20%3A10%3A59Z&sig=Ps%2BqfNY9DlakKAtTd7absfnc29xANy6hp92cCpmolJs%3D&sp=rw&sr=b&st=2025-10-21T20%3A10%3A59Z&sv=2018-03-28","200","application/pdf","1662556","526ADC34B1AC2242EE5E05F15C2D2BCCFC216E845C716E8CE1446C672602F68F","temp_hash_only_no_local_payload_deleted","Official Ministry/Tahurangi public blob URL; no explicit open redistribution license observed in this lane pass; no license clearance claimed","manifest_only_temp_hash_no_payload","Exact PDF byte count and SHA-256 captured, but no PDF body stored in outputs; English PDF version of Pangarau curriculum, not TeX/source archive.","not_TeX_or_source_archive; exact PDF fallback witness","Keep as official Pangarau PDF provenance and search for Maori-language/full official source-package routes.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG003","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","Draft Wahanga Ako Pangarau 2024 English PDF","New Zealand Ministry of Education / Tahurangi blob route","Aotearoa New Zealand;Maori;Pangarau;draft curriculum;2024;official blob;PDF","B_PDF_TEMP_HASHED_OFFICIAL_DRAFT_FALLBACK","remote PDF draft bitstream temp-hashed then deleted","https://mapaoch00pr.blob.core.windows.net/mapaoch00pr/artefacts/pdf/bf3fe978-9fdc-4805-b416-825fec2c0afa/Tuhinga-hukihuki-W%25C4%2581hanga-Ako-P%25C4%2581ngarau-08-2024-ENG.pdf?rscd=attachment%3B+filename%3D%22Tuhinga-hukihuki-W%25c4%2581hanga-Ako-P%25c4%2581ngarau-08-2024-ENG.pdf%22%3B+filename%2A%3DUTF-8%27%27Tuhinga-hukihuki-W%25c4%2581hanga-Ako-P%25c4%2581ngarau-08-2024-ENG.pdf&se=2124-09-08T07%3A39%3A06Z&sig=O7kIPy6n0YQn%2B4yrPlatwzcnGk8iMO0XRcSRdbrZIlo%3D&sp=rw&sr=b&st=2024-09-06T07%3A39%3A06Z&sv=2019-02-02","200","application/octet-stream","19071528","4B5A9F159A8CFC64E78D6D7E3C95BB166504AEF6C83EB9AD6FE0E83AF929DE68","temp_hash_only_no_local_payload_deleted","Official Ministry/Tahurangi public blob URL; no explicit open redistribution license observed in this lane pass; no license clearance claimed","manifest_only_temp_hash_no_payload","Exact draft PDF byte count and SHA-256 captured, but no PDF body stored in outputs; draft/English fallback only, not canonical approval or source archive.","not_TeX_or_source_archive; exact PDF fallback witness","Keep as draft provenance only and prefer final official/current Maori-language corpus routes where available.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG004","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","Kauwhata Reo Pangarau Tuarere 2 Years 4-6 page","New Zealand Ministry of Education / Kauwhata Reo","Aotearoa New Zealand;Maori;Pangarau;Tuarere 2;Years 4-6;official HTML;access blocker","D_SEARCH_INDEXED_OFFICIAL_PAGE_DIRECT_403","official HTML page probe","https://kauwhatareo.tahurangi.education.govt.nz/mi/p-ngarau---te-t-rere-2---ng-tau-4-6/5637288584.p","direct_probe_403","direct_probe_no_content_type","direct_probe_403_no_byte_count","Response status code does not indicate success: 403 (Forbidden).","no_local_payload_access_blocked","Official Kauwhata Reo route search-indexed; direct access forbidden in current tooling; no license clearance claimed","manifest_only_indexed_route_and_access_blocker_no_payload","Search index exposes official Pangarau page/PDF listing, but direct route returns 403 so no page hash or file-body capture.","not_TeX_or_source_archive; official page access blocker","Retry through browser/manual access or direct official download links; keep search snippets out of translation support.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG005","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","Kauwhata Reo Pangarau Tuarere 3 Years 7-8 page","New Zealand Ministry of Education / Kauwhata Reo","Aotearoa New Zealand;Maori;Pangarau;Tuarere 3;Years 7-8;official HTML;access blocker","D_SEARCH_INDEXED_OFFICIAL_PAGE_DIRECT_403","official HTML page probe","https://kauwhatareo.tahurangi.education.govt.nz/mi/p-ngarau---te-t-rere-3---ng-tau-7-8/5637289342.p","direct_probe_403","direct_probe_no_content_type","direct_probe_403_no_byte_count","Response status code does not indicate success: 403 (Forbidden).","no_local_payload_access_blocked","Official Kauwhata Reo route search-indexed; direct access forbidden in current tooling; no license clearance claimed","manifest_only_indexed_route_and_access_blocker_no_payload","Search index exposes official Maori mathematical text/PDF listing, but direct route returns 403 so no page hash or file-body capture.","not_TeX_or_source_archive; official page access blocker","Retry through browser/manual access or direct official download links; keep search snippets out of translation support.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG006","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","Kauwhata Reo Pangarau Tuarere 4 Years 9-10 page","New Zealand Ministry of Education / Kauwhata Reo","Aotearoa New Zealand;Maori;Pangarau;Tuarere 4;Years 9-10;official HTML;access blocker","D_SEARCH_INDEXED_OFFICIAL_PAGE_DIRECT_403","official HTML page probe","https://kauwhatareo.tahurangi.education.govt.nz/p-ngarau---te-t-rere-4---ng-tau-9-10/5637291582.p","direct_probe_403","direct_probe_no_content_type","direct_probe_403_no_byte_count","Response status code does not indicate success: 403 (Forbidden).","no_local_payload_access_blocked","Official Kauwhata Reo route search-indexed; direct access forbidden in current tooling; no license clearance claimed","manifest_only_indexed_route_and_access_blocker_no_payload","Search index exposes official Pangarau Years 9-10 page/PDF listing, but direct route returns 403 so no page hash or file-body capture.","not_TeX_or_source_archive; official page access blocker","Retry through browser/manual access or direct official download links; keep search snippets out of translation support.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG007","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","Kauwhata Reo TMoA Pangarau Tuarere 1 page","New Zealand Ministry of Education / Kauwhata Reo","Aotearoa New Zealand;Maori;Pangarau;Tuarere 1;official HTML;access blocker","D_SEARCH_INDEXED_OFFICIAL_PAGE_DIRECT_403","official HTML page probe","https://kauwhatareo.tahurangi.education.govt.nz/mi/tmoa---p-ngarau-t-rere-1/5637239091.p","direct_probe_403","direct_probe_no_content_type","direct_probe_403_no_byte_count","Response status code does not indicate success: 403 (Forbidden).","no_local_payload_access_blocked","Official Kauwhata Reo route search-indexed; direct access forbidden in current tooling; no license clearance claimed","manifest_only_indexed_route_and_access_blocker_no_payload","Search index exposes official Pangarau Tuarere 1 page, but direct route returns 403 so no page hash or file-body capture.","not_TeX_or_source_archive; official page access blocker","Retry through browser/manual access or direct official download links; keep search snippets out of translation support.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG008","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","Kauwhata Reo Te Marautanga o Aotearoa landing page","New Zealand Ministry of Education / Kauwhata Reo","Aotearoa New Zealand;Maori;Pangarau;Te Marautanga o Aotearoa;official landing page;access blocker","D_OFFICIAL_PAGE_DIRECT_403","official HTML landing-page probe","https://kauwhatareo.tahurangi.education.govt.nz/mi/kauwhata-reo/whata-marau/ng-marau/te-t-rewa-marautanga-o-aotearoa/5637154333.c","direct_probe_403","direct_probe_no_content_type","direct_probe_403_no_byte_count","Response status code does not indicate success: 403 (Forbidden).","no_local_payload_access_blocked","Official Kauwhata Reo route; direct access forbidden in current tooling; no license clearance claimed","manifest_only_access_blocker_no_payload","Direct route returns 403 so no page hash or exact body capture in this lane pass.","not_TeX_or_source_archive; official page access blocker","Retry through browser/manual access and link final PDF bodies to official page metadata if accessible.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG009","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","Education Counts Te Ako Pangarau Whaihua spotlight page","Education Counts / New Zealand Ministry of Education","Aotearoa New Zealand;Maori;Pangarau;Effective Pedagogy;BES summary;Te Reo version;access blocker","D_SEARCH_INDEXED_OFFICIAL_PAGE_DIRECT_403","official HTML spotlight page probe","https://www.educationcounts.govt.nz/topics/iterative_bes/resources/spotlight-on/spotlight-on-mathematics-pangarau","direct_probe_403","direct_probe_no_content_type","direct_probe_403_no_byte_count","Response status code does not indicate success: 403 (Forbidden).","no_local_payload_access_blocked","Official Education Counts route search-indexed; direct access forbidden in current tooling; no license clearance claimed","manifest_only_indexed_route_and_access_blocker_no_payload","Search index identifies a Te Reo mathematics pedagogy summary PDF, but direct page access returns 403 and exact PDF URL/body remains uncaptured.","not_TeX_or_source_archive; official page access blocker","Retry Education Counts/browser route or locate current direct Te Reo PDF body; keep search index out of translation support.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7MAORIPANG010","SEA-Pacific","Maori_Pangarau_Aotearoa_NewZealand","UNESCO legacy EdPractices_19ma PDF path wrapper","UNESCO legacy route","Maori;Pangarau;Effective Pedagogy;Te Reo version;legacy PDF path;HTML wrapper","E_LEGACY_PDF_PATH_HTML_WRAPPER","legacy PDF URL returning HTML wrapper","https://www.ibe.unesco.org/fileadmin/user_upload/Publications/Educational_Practices/EdPractices_19ma.pdf","200_non_pdf_wrapper","text/html","244","39F25D09A050BFCA0731827735EF89B91CB24ADA7216726ED532DBC429608E6A","temp_hash_only_no_local_payload_deleted","Legacy UNESCO path returns HTML wrapper, not PDF; no license clearance claimed","manifest_only_wrapper_hash_no_payload","Expected Te Reo PDF body was not returned; current route is a tiny HTML wrapper and not corpus content.","not_TeX_or_source_archive; no PDF body captured","Locate current UNESCO/IBE/IAOED Te Reo PDF body or use official Education Counts route if access opens.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
