source_term,spanish,japanese,notes
vollständig reduzibel,completamente reducible,完全可約,Group/ring/module context
Normalteiler,divisor normal,正規因子,Historical group terminology
Körper (nicht notwendig kommutativ),cuerpo no necesariamente conmutativo; anillo de división,必ずしも可換とは限らない体；斜体,Use at first occurrence; later may abbreviate
Rang,rango,階数,Module rank over K
Hyperkomplexes System,sistema hipercomplejo,超複素系,Paper 34 term
Gruppenring,anillo de grupo,群環,Finite-group algebra
Restklassenring,anillo de clases residuales,剰余類環,Ring quotient
Idempotent,idempotente,冪等元,Idempotent element
Rechtsideal / Linksideal,ideal derecho / ideal izquierdo,右イデアル / 左イデアル,Noncommutative ideal theory
zweiseitig einfach,bilateralmente simple,両側単純,Two-sided simple ring
Radikal,radical,根基,Maximal nilpotent ideal
Dedekindsches System,sistema de Dedekind,Dedekind 系,Historical semisimple synonym
Matrixeinheiten,unidades matriciales,行列単位,Matrix units
Automorphismenkörper,anillo de división de automorfismos,自己同型斜体,Noncommutative division-ring language
