symbol_or_macro,meaning,use
"\frakO, \frako, \frakp",Fraktur order/prime notation,Paper37 normal basis and local group-ring notation
\Om,Omega base field in Paper38 source/control,Defined as \Omega in all current TeX
\N,Norm operator,Paper38 local degree/norm notation
\mathfrak R_K,Brauer algebra group assigned to K,Paper38 ordering theorem
"a_{S,T}",factor-system constants,Paper39 crossed-product notation
"u_S, v_S",crossed-product group symbols,Paper39
"(a,Z)",cyclic algebra with cyclic splitting field Z,Paper38/Paper39
"\Omega_\lambda, \Delta_\lambda",root-number/discriminant factors,Paper37 conductor comparison
"\Gcal, \Hcal, \Kcal, \Pcal, \Scal, \Tcal, \Zcal",calligraphic/Fraktur control macros for Paper40 source symbols,Paper40 control/cumulative TeX
\Sp,trace operator abbreviation in Paper40 controls,"Defined as operator macro, not a product of S and p"
"\frR, \frS, \frT, \frZ, \frB, \frD, \frM, \frN, \frP",Fraktur algebra/module/ring symbols,Paper40 Spanish/Japanese cumulative support
macro_or_symbol,meaning,notes
\Gg,Fraktur G / Galois group,Used heavily in Papers41-42 for Galois group.
\Hh,Fraktur H / subgroup,Used in non-Galois splitting-field passage.
\Ii,Fraktur I / ideal group,Used in Paper41 class group construction.
\PP,Fraktur P / prime ideal over p,Local p-adic notation.
\oo,Fraktur o / base principal order,Paper42 order notation.
\Sp,trace operator,Left as Sp to match source/control; translated as traza / トレース in prose.
E_\Gg,group idempotent/sum of operators,Paper42 matrix-unit construction.
[\mathcal O_a,k],intersection of maximal order with subfield,Rendered as corte / 交わり.
\mathfrak A,difference quotient,Paper 43 central ideal quotient.
\mathfrak B,difference ideal,Generated by all x-ξ differences.
"\mathfrak D, \mathfrak d",differents in the two corresponding rings,Preserve upper/lower distinction.
\mathfrak M,defining ideal,Ideal of polynomial relations.
\operatorname{Sp},sum of conjugates / trace-like sum,Kept as source operator Sp.
\mathfrak K_F,Galois extension ring after coefficient extension to F,Do not read as field extension only.
