source_term,spanish,japanese,notes
Idealdifferentiation,diferenciación de ideales,イデアル微分,Paper 43 title and central construction.
Differente,diferente,ディファレント,Technical algebraic-number-theory different/different ideal; not ordinary difference.
Differenzenideal,ideal de diferencias,差分イデアル,Ideal generated by corresponding differences x-ξ.
Differenzenquotient,cociente de diferencias,差分商,Ideal quotient (0):B or M:B depending on context.
Differentialquotient,cociente diferencial,微分商,Used for ideal/polynomial differential quotient.
definierendes Ideal,ideal definidor,定義イデアル,Ideal of relations among generators.
Hauptordnung,orden principal,主オーダー,Main/principal order in algebraic integers.
Erweiterungsring,anillo de extensión,拡大環,For Galois extension ring and coefficient extension.
Galoisscher Erweiterungsring,anillo de extensión galoisiano,ガロア拡大環,Ring obtained after coefficient extension to Galois closure.
Ergänzungsmodul,módulo complementario,補加群,Complementary module in Dedekind different definition.
Ergänzungsbasis,base complementaria,補基底,Complementary basis determined by identity components.
direktes Produkt,producto directo,直積,Coefficient extension/direct product formation.
Restklassenring,anillo de clases residuales,剰余類環,Residue-class ring modulo prime powers.
Zusatznummern,números suplementarios,補助数,Ore ramification exponent terminology.
