"prior","current","status","path","classification","r3_consumption"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/B3_UPLOADER_READY_SUMMARY.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/MANIFEST.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/PACKAGE_VALIDATION.json","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_BRANCH_DELTA_FROM_8E839C49.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_BRANCH_VISIBLE_8E_AUDIT_LEDGER.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_DELTA_COMMITS_FROM_8E839C49.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_EXACT_BLOCKERS_AND_RECOVERY_ROWS.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_LANGUAGE_GATE_BOUNDARY_ROWS.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_LOCAL_8E_ROW_REFRESH_PACKET_STATUS.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
"7108987C","2bbdbfe51cdd20fb4242f4f40fa86579f540d5a3","A","interlanguage-sidecar/rtl-persianate-arabic-8b525a12-8e-current-head-source-use-gap-audit-20260706/R3_8B525A12_8E_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T170120Z/R3_8B525A12_MUTUAL_WAKE_APPENDIX.csv","r3_8b_packet_branch_visibility","branch-visible copy of prior local R3 packet; compare hashes; no new language authority by itself"
