physical_page	article_page	printed_page	comparator_physical_page	page_class	disposition	prompt_id	anchor
1	0	0	0	JSTOR_COVER_COPY_PROVENANCE	EXCLUDE_FROM_SCHOLARLY_BODIES_RETAIN_PROVENANCE	P01	JSTOR COVER: provenance/copy matter only; excluded from scholarly bodies
2	1	103	1	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P01	printed 103: publication line; title; P. DELIGNE and G. LUSZTIG; Introduction
3	2	104	2	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P01	printed 104: Introduction end; Lusztig acknowledgement; contents; conventions
4	3	105	3	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P01	printed 105: Chapter 1, Some basic definitions
5	4	106	4	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P01	article continuation, printed 106
6	5	107	5	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P01	article continuation, printed 107
7	6	108	6	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P02	article continuation, printed 108
8	7	109	7	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P02	article continuation, printed 109
9	8	110	8	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P02	article continuation, printed 110
10	9	111	9	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P02	article continuation, printed 111
11	10	112	10	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P02	article continuation, printed 112
12	11	113	11	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P02	article continuation, printed 113
13	12	114	12	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P03	article continuation, printed 114
14	13	115	13	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P03	article continuation, printed 115
15	14	116	14	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P03	printed 116: Chapter 2, Examples in classical groups
16	15	117	15	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P03	article continuation, printed 117
17	16	118	16	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P03	printed 118: Chapter 3, The fixed point formula
18	17	119	17	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P03	article continuation, printed 119
19	18	120	18	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P04	article continuation, printed 120
20	19	121	19	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P04	article continuation, printed 121
21	20	122	20	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P04	article continuation, printed 122
22	21	123	21	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P04	printed 123: Chapter 4, The character formula
23	22	124	22	SCHOLARLY_ARTICLE	INCLUDE_ARTICLE	P04	article continuation, printed 124
